Африк	Afrika
Гагауз нутаг	Gagaus
Бөгжний эзэн: Хоёр цамхаг	Ringenes herre: To tårn
Оливер Твист	Oliver Twist
Ибрахим Афеллай	Ibrahim Afellay
Сергей Новиков	Sergej Novikov (skiskytter)
Мозамбикийн хоолой	Mosambikkanalen
Хавьер Эрнандес Балькасар	Javier Hernández Balcázar
Швейцарийн хөлбөмбөгийн шигшээ	Sveits' herrelandslag i fotball
Ким Ён-Сам	Kim Young-sam
Роберт Дауни, хүү	Robert Downey jr.
Оюу	Turkis (edelsten)
Бадахшан аймаг	Badakhshan (provins)
Плевен	Pleven
Ассемблер хэл	Assembler
Сату-Маре аймаг	Satu Mare (fylke)
Эван Макгрегор	Ewan McGregor
Тоби Магуайр	Tobey Maguire
Мемфис Гриззлис	Memphis Grizzlies
Карло Гольдони	Carlo Goldoni
Монгол улсын төрийн далбаа	Mongolias flagg
Колийн хойг	Kolahalvøya
Органик хөдөө аж ахуй	Økologisk landbruk
Свен Бендер	Sven Bender
Өндрийн харайлт	Høydehopp
Афоризм	Aforisme
StarCraft	StarCraft
Исидор Айзек Раби	Isidor Isaac Rabi
Мэдрэгч дэлгэц	Berøringsskjerm
Идлэг шонхор	Tartarfalk
Найман өнцөгт	Oktogon
Сакраменто Кингc	Sacramento Kings
Хэрэглээний програм хангамж	Applikasjonsprogramvare
Польш улсын хөлбөмбөгийн шигшээ баг	Polens herrelandslag i fotball
Астеносфер	Astenosfære
Стилиян Петров	Stilijan Petrov
Жеффри Раш	Geoffrey Rush
Фабиан Делф	Fabian Delph
Сэргээш	Doping
Дэниел Дэй-Льюис	Daniel Day-Lewis
Эрэлт ба нийлүүлэлт	Tilbud og etterspørsel
Винниц муж	Vinnytsia oblast
Бельгийн хөлбөмбөгийн шигшээ	Belgias herrelandslag i fotball
Биатлон	Skiskyting
Мануул	Pallaskatt
Колин Маттель	Coline Mattel
Жон Оби Микель	John Obi Mikel
Загросын нуруу	Zagros
Хүүхдийн эсрэг хүчирхийлэл	Barnemishandling
Васлуй аймаг	Vaslui (fylke)
Никлас Бентнер	Nicklas Bendtner
Портлэнд Трэйл Блэйзерс	Portland Trail Blazers
Антонио Ди Натале	Antonio Di Natale
Хүлэмжийн хий	Klimagass
Крагуевац	Kragujevac
Нуристан аймаг	Nuristān (provins)
Мег Райан	Meg Ryan
Юрийн галавын цэцэрлэг (кино)	Jurassic Park
Завхан	Zavkhan
Эдинсон Кавани	Edinson Cavani
Лев Яшин	Lev Jasjin
Волынь муж	Volyn oblast
Чернигов муж	Tsjernihiv oblast
Майонез	Majones
БРДМ-2	BRDM-2
Крайова хот	Craiova
Үд	Middag (tidspunkt)
Даниеле Де Росси	Daniele De Rossi
Добрич	Dobritsj
Тас	Munkegribb
Ширакава Масааки	Masaaki Shirakawa
Эмма Томпсон	Emma Thompson
Хуан Мата	Juan Mata
Нилийн матар	Nilkrokodille
Спиритуалити	Åndelighet
Черновцы муж	Tsjernivtsi oblast
Эгэл ногоолзой	Grønnsisik
Фрэнк Райкард	Frank Rijkaard
Панжаб	Punjab
Нара	Nara (Nara)
Майами Хийт	Miami Heat
Александр Дюма, хүү	Alexandre Dumas den yngre
Вашингтон Уизардс	Washington Wizards
Омбудсмен	Ombudsmann
Ялгаварлан гадуурхалт	Forskjellsbehandling
ENIAC	ENIAC
Нэгдсэн загварчлалын хэл	Unified Modeling Language
Шакил О'Нил	Shaquille O'Neal
Полтав муж	Poltava oblast
Милуоки Бакс	Milwaukee Bucks
Детройт Пистонс	Detroit Pistons
Графин	Grafén
III Валентиниан	Valentinian III
Киев муж	Kiev oblast
Самарра	Samarra
Закарпат муж	Zakarpattja oblast
Димитр Бербатов	Dimitar Berbatov
Жинань	Jinan (Shandong)
Могойч загалай	Slangeørn
Андреас Везалиус	Andreas Vesalius
Суботица	Subotica
Баглан аймаг	Baghlan (provins)
Хятад-Японы хоёрдугаар дайн	Andre kinesisk-japanske krig
Намаг	Våtmark
Чиндао	Qingdao
Индиана Пэйсерс	Indiana Pacers
Стара-Загора	Stara Zagora
Дэлхийн Эдийн Засгийн Форум	Verdens økonomiske forum
2010 оны өсвөрийн зуны олимп	Sommer-OL for ungdom 2010
Дэлхийн Цаг Уур Судлалын Байгууллага	Verdens meteorologiorganisasjon
Хелена Бонэм Картер	Helena Bonham Carter
Махан идэштэн	Predasjon
Сумы муж	Sumy oblast
Припять	Pripjat
Балч гоорбис	Vepsevåk
Кашгар	Kashgar (Kashgar)
Миннесота Тимбервулвз	Minnesota Timberwolves
Унгарын хөлбөмбөгийн үндэсний шигшээ баг	Ungarns herrelandslag i fotball
Терминатор 2: Цээрлэлийн өдөр	Terminator II – Dommens dag
Японы хөлбөмбөгийн үндэсний шигшээ баг	Japans herrelandslag i fotball
Алек Болдуин	Alec Baldwin
Хелен Хант	Helen Hunt
Томми Ли Жонс	Tommy Lee Jones
Хүхэрт устөрөгч	Hydrogensulfid
Андын тас	Andeskondor
Ева Мендес	Eva Mendes
Чиба	Chiba (Chiba)
Юта Жаз	Utah Jazz
Харьков муж	Kharkiv oblast
Днепропетровск муж	Dnipropetrovsk oblast
I Абдул Хамид	Abd-ul-Hamid I
Усны могой	Buorm
Шарга балч	Bieter
Хондон ангир	Rustand
Сүүлт хөхбух	Stjertmeis
Сергей Королёв	Sergej Koroljov
III Николас	Nikolas III
Бөмбөгдөгч онгоц	Bombefly
Биологийн зэвсэг	Biologisk krigføring
Кэндо	Kendo
VPN	Virtual private network
Галац	Galați
Гриззли баавгай	Grizzlybjørn
Био хий	Biogass
Аида	Aïda
Хмельницкий муж	Khmelnytskyj oblast
Запорожье муж	Zaporizjzja oblast
Бамиан аймаг	Bamiyan (provins)
Наран цэцэг	Solsikke
Маракайбо	Maracaibo
Тоодог	Stortrappe
Хөхөөний үүрэн дээгүүрх нислэг (кино)	Gjøkeredet (film)
И Сын-Ман	Syngman Rhee
Чилдрэн оф Бодом	Children of Bodom
Роберт Дюваль	Robert Duvall
Жереми Айронс	Jeremy Irons
Одесс муж	Odessa oblast
Агра бэхлэлт	Agra fort
Жэйми Фокс	Jamie Foxx
Луганск муж	Luhansk oblast
Ганын хөлбөмбөгийн шигшээ	Ghanas herrelandslag i fotball
Чили улсын хөлбөмбөгийн шигшээ баг	Chiles herrelandslag i fotball
Женнифер Гарнер	Jennifer Garner
Бадгис аймаг	Badghis (provins)
Манхин галуу	Tundragås
Шингэний механик	Fluidmekanikk
Жэйми Каррагер	Jamie Carragher
Шүрэн Тэнгисийн Арлууд	Korallhavøyene
Словенийн хөлбөмбөгийн үндэсний шигшээ баг	Slovenias herrelandslag i fotball
Цана	Ski (redskap)
Т-34	T-34
Шоушенкийн шоронгоос оргосон нь	Frihetens regn
Жон Малкович	John Malkovich
Малефисент (кино)	Maleficent
Хлор	Kloroform
Нью Орлеанс Хорнетс	New Orleans Pelicans
Нерюнгри	Nerjungri
Серби динар	Serbisk dinar
Сэмюэл Лерой Жексон	Samuel L. Jackson
Даниэл Алвес	Daniel Alves
Даррен Флетчер	Darren Fletcher
Веселин Топалов	Veselin Topalov
Загребын Динамо	GNK Dinamo Zagreb
Мика Хаккинен	Mika Häkkinen
Илья Репин	Ilja Repin
ТУ-154	Tupolev Tu-154
Тоон дохио боловсруулалт	Digital signalbehandling
Бен Кингсли	Ben Kingsley
Франц Фердинанд (хамтлаг)	Franz Ferdinand (band)
Нангиад ногоолдой	Orientfink
Гауссын хууль	Gauss' lov
Булш	Grav
Эллен Пейж	Ellen Page
Тернополь муж	Ternopil oblast
Хүмүүнлэгийн эсрэг гэмт хэрэг	Forbrytelser mot menneskeheten
Жессика Лэнг	Jessica Lange
Ice Cube	Ice Cube
Су-27	Sukhoj Su-27
М1 Абрамс	M1 Abrams
Газни	Ghazni
Эрдош Пал	Paul Erdős
Хасагийн тенге	Kasakhstansk tenge
Рубен Дарио	Rubén Darío
Кандахар аймаг	Kandahar (provins)
Каписа аймаг	Kapisa (provins)
Радиус	Radius
Хильменд аймаг	Helmand (provins)
Фарьяб аймаг	Faryab (provins)
Никарагуа нуур	Nicaraguasjøen
Файсалабад	Faisalabad
Хэрмаини Грэнжер	Hermine Grang
Керманшах муж	Kermanshah (provins)
Банхар булжуухай	Kjernebiter
Чанша	Changsha
Хогвартс	Galtvort høyere skole for hekseri og trolldom
Ровно муж	Rivne oblast
Орос-Туркийн дайн (1877-1878)	Den russisk-tyrkiske krig (1877–1878)
Эзэн Хаан Мэйжи	Mutsuhito
Vietnam Airlines	Vietnam Airlines
Савагт ариан	Perleugle
Антонио Валенсиа	Luis Antonio Valencia
Карло Анчелотти	Carlo Ancelotti
См	Centimeter
Жефф Брижес	Jeff Bridges
Алан Шепард	Alan Shepard
Хаш	Jade
Свот шинжилгээ	SOFT-analyse
Женнифер Лав Хьюит	Jennifer Love Hewitt
Дүүжлэх ял	Hengning
Москва гол	Moskva (elv)
Маркус Лициниус Крассус	Marcus Licinius Crassus
Альфред Сислей	Alfred Sisley
Бат хан	Batu Khan
Өгөгдлийн бүтэц	Datastruktur
Wikipedia:Хориг ба түгжээстэй холбоотой баримтлах бодлого	Wikipedia:Retningslinjer for blokkering
Раул Мейрелиш	Raul Meireles
Аарон Леннон	Aaron Lennon
Египетийн пирамидууд	Pyramidene i Egypt
Таддеус Шидлер	Thaddeus Schideler
Айдас	Fobi
Лорд Волдэморт	Voldemort
Берни Мак	Bernie Mac
Зөгийн аж ахуй	Birøkt
ЦСКА Москва (хөлбөмбөгийн баг)	PFK CSKA Moskva
Буган чулуу	Hjortesteiner
2010 оны хөлбөмбөгийн дэлхийн аварга шалгаруулах тэмцээн	VM i fotball 2010
Полимеразын гинжин урвал	PCR
Атомаас жижиг бөөм	Subatomær partikkel
Паскалийн гурвалжин	Pascals trekant
Блессинг Окагбаре	Blessing Okagbare
Дуучин	Låtskriver
Борис Спасский	Boris Spasskij
Хүлэгү	Hülegü
Крэйг Гордон	Craig Gordon
Стерадиан	Steradian
Хүн амын шилжих хөдөлгөөн	Migrasjon
Томас Хант Морган	Thomas Hunt Morgan
Майкон Дуглас Сизенандо	Maicon Douglas Sisenando
Гидравлик	Hydraulikk
Соронзон урсгал	Magnetisk fluks
Ухаа хажир	Gåsegribb
Эурелио Гомес	Heurelho da Silva Gomes
I Иштван	Stefan I av Ungarn
Үнэ хаялцах	Auksjon
Стек	Stakk (datastruktur)
Гайус Мариус	Gaius Marius
Маркиан	Markian
Илчит мандал	Termosfæren
Мэдээлэл дамжуулах түгээгүүр	Databuss
Туамасина	Toamasina
Ил хаант улс	Ilkhanatet
Жад шидэлт	Spydkast
Ари	Arie
Косцюшко уул	Mount Kosciuszko
Цагаан уул цэцэг	Edelweiss
Гербицид	Herbicid
Ивано-Франковск муж	Ivano-Frankivsk oblast
Андреас Гранквист	Andreas Granqvist
Крис Эванс (жүжигчин)	Chris Evans
Сливен	Sliven
Лариса	Larisa
Нангархар аймаг	Nangarhar (provins)
Баррель	Fat (mål)
Гуччи	Gucci
Микки Рурк	Mickey Rourke
Вельс	Wels
Ромарио	Romário
Мурын хууль	Moores lov
Теософи	Teosofi
Цагаан ахууна	Lirype
Монизм	Monisme
Олон улсын худалдаа	Internasjonal handel
Ботошани аймаг	Botoșani (fylke)
Михаил Ботвинник	Mikhail Botvinnik
Зуун жилийн ганцаардал	Hundre års ensomhet
Бужмаг хөөндэй	Duetrost
Версингеторикс	Vercingetorix
Силикат	Silikat
Австралийн Антарктидын Нутаг Дэвсгэр	Australian Antarctic Territory
HTTP cookie	Informasjonskapsel
Лиза Кудроу	Lisa Kudrow
Киевийн Динамо	Dynamo Kiev
Нэгдмэл улс	Enhetsstat
Боян Кркич	Bojan Krkić
Тимбалэнд	Timbaland
Жидду Кришнамурти	Jiddu Krishnamurti
Тарважи бүргэд	Steppeørn
Олон Улсын Автомашины Холбоо	Det internasjonale bilsportforbundet
Кейт Бекинсэйл	Kate Beckinsale
Бриджстоун	Bridgestone
Орестис Карнезис	Orestis Karnezis
Бертиль Олин	Bertil Ohlin
Гидрогеологи	Hydrogeologi
Зах зээлийн эдийн засаг	Markedsøkonomi
Абшерон аймаг	Abşeron (distrikt)
Арад аймаг	Arad (fylke)
Аржеш аймаг	Argeș (fylke)
Плоешти	Ploiești
Бихор аймаг	Bihor (fylke)
Каннын тулалдаан	Slaget ved Cannae
Наньнин	Nanning
Турамтай шонхор	Aftenfalk
Стяуа	Steaua București
Эмчилгээ	Terapi
Нийгата	Niigata (Niigata)
Исмаил Кадарэ	Ismail Kadare
Педро Родригес Ледесма	Pedrito
Бакау аймаг	Bacău (fylke)
Калифорни (кино)	Kalifornia (film)
Улс төрийн гүн ухаан	Politisk filosofi
Кецалькоатль	Quetzalcoatl
Сумгаит	Sumqayit
Ягаан нал	Flamingo (art)
Мэтгэлцээн	Debatt
Хятадын иргэний дайн	Den kinesiske borgerkrig
Клаудио Маркизио	Claudio Marchisio
Бехистуны бичээс	Behistuninnskriftene
Керманшах	Kermanshah
Их Катон	Cato den eldre
Гондурасын хөлбөмбөгийн шигшээ	Honduras' herrelandslag i fotball
Стефан Банах	Stefan Banach
Түлшний элемент	Brenselcelle
Гэри Синиз	Gary Sinise
Фарах аймаг	Farah (provins)
Гагауз ястан	Gagausere
Хоёр Сицилийн вант улс	De to sicilier
Газни аймаг	Ghazni (provins)
Саломон Калу	Salomon Kalou
Алексис Санчес	Alexis Sánchez
Филип Сеймур Хоффман	Philip Seymour Hoffman
1996 оны хөлбөмбөгийн Европын аварга шалгаруулах тэмцээн	EM i fotball 1996
Өмнөд Вьетнам	Sør-Vietnam
Тогтворжуулагч диод	Zenerdiode
Эдна Киплагат	Edna Kiplagat
Тигран Петросян	Tigran Petrosian
Мануэль Паскуаль	Manuel Pasqual
Мохаммад Хатами	Muhammed Khatami
Масс спектрометрчлэл	Massespektrometri
Мцхета	Mtskheta
Дов Жонесийн индекс	Dow Jones Industrial Average
Жан Зыи	Zhang Ziyi
Социалист реализм	Sosialistisk realisme
Мелатонин	Melatonin
Пафос	Pafos
Бөөрөнцөг түлхэлт	Kulestøt
Питер Крауч	Peter Crouch
Шайа Лабаф	Shia LaBeouf
Оклахома Сити Тандер	Oklahoma City Thunder
Хулан	Asiatisk villesel
Алгебрлиг геометр	Algebraisk geometri
Кировоград муж	Kirovohrad oblast
Хумхин нугас	Laksand
Антонио Кассано	Antonio Cassano
Сучава аймаг	Suceava (fylke)
Дайкунди аймаг	Daikondi (provins)
Панжшер аймаг	Panjshir (provins)
Токиогийн олимп (2020 он)	Sommer-OL 2020
Сандро Вилетта	Sandro Viletta
Пестицид	Insektmiddel
Трнав аймаг	Trnava (region)
Чарга	Slede
Дарлинг гол	Darling (elv)
Харь гарагийн соёл иргэншил	Romvesen
Бистрица-Насауд аймаг	Bistrița-Năsăud
RSA (алгоритм)	RSA
Гаошюн	Kaohsiung
Николаев муж	Mykolajiv oblast
Дольф Лундгрен	Dolph Lundgren
Элиэзэр Бэн-Ехуда	Eliezer Ben-Yehuda
Ричард Дрейфусс	Richard Dreyfuss
ТУ-95	Tupolev Tu 95-MS
Шумен	Sjumen
Хан	Khan
Алжирын хөлбөмбөгийн үндэсний шигшээ баг	Algeries herrelandslag i fotball
Бранислав Иванович	Branislav Ivanović
Севан нуур	Sevansjøen
Бохайн тэнгис	Bo Hai
Адольф Сакс	Adolphe Sax
Кумаси	Kumasi
Николас Отаменди	Nicolás Otamendi
И Сын-хүнь	Lee Seung-hoon
М-4	Mjasisjtsjev M-4
Үэшиба Морихэй	Morihei Ueshiba
Хаан оцон шувуу	Kongepingvin
Хүн-аалз 3	Spider-Man 3
Аммонийн нитрат	Ammoniumnitrat
Ази арслан	Asiatisk løve
Мансууруулах бодист донтох өвчин	Narkomani
Русе	Liste over byer i Bulgaria
НКВД	NKVD
Уилт Чемберлэн	Wilt Chamberlain
Жулио Сезар Соарес Эспиндола	Júlio César Soares Espíndola
Сари-Пуль аймаг	Sar-e Pol (provins)
Пактия аймаг	Paktia (provins)
Байесын теорем	Bayes' teorem
ФИФА-гийн оны шилдэг хөлбөмбөгчин	FIFA World Player of the Year
Жак Рогге	Jacques Rogge
Брашов аймаг	Brașov (fylke)
Клуж аймаг	Cluj (fylke)
Хөнгөн атлетикийн дэлхийн аварга шалгаруулах тэмцээн	Verdensmesterskapet i friidrett
Валентина Матвиенко	Valentina Matvijenko
Чипсет	Brikkesett
Экскаватор	Gravemaskin
Парэтогийн зарчим	80/20-regelen
Бакау хот	Bacău
Мартен Стекеленбург	Maarten Stekelenburg
Асафа Пауэлл	Asafa Powell
Хөх ногтруу	Jerpe
Форест Уитакер	Forest Whitaker
Цуурай	Ekko
Вранча аймаг	Vrancea (fylke)
Зимбабве доллар	Zimbabwisk dollar
Хасково аймаг	Haskovo oblast
Херат аймаг	Herat (provins)
Күньмин	Kunming
Бэлхүүсний бүжиг	Orientalsk dans
Афганы дайн 2001 оноос	Krigen i Afghanistan (2001–)
Говийн угалз салхи	Sandstorm
Яаш аймаг	Iași (fylke)
Георгий Плеханов	Georgij Plekhanov
Жанлука Замбротта	Gianluca Zambrotta
Жибли студи	Studio Ghibli
Бахим бүргэдэй	Dvergørn
Саманган аймаг	Samangan (provins)
Нимроз аймаг	Nimruz (provins)
Урузган аймаг	Uruzgan (provins)
Жаузжан аймаг	Jowzjan (provins)
Вардаг аймаг	Vardak (provins)
Муррей мөрөн	Murray
Хөгшдөд нутаг үгүй (кино)	No Country for Old Men
Туйл	Geografisk pol
Эчмиацин	Vagharsjapat
Төгрөг	Mongolsk togrog
Нина Добрев	Nina Dobrev
Цөлжилт	Ørkenspredning
Варна аймаг	Varna oblast
Братислав аймаг	Bratislava (region)
Тиесто	Tiësto
Баффи - цус сорогчийн алуурчин (телевизийн цуврал)	Buffy, vampyrenes skrekk
Леона Льюис	Leona Lewis
Токио цамхаг	Tokyo Tower
Мартин Лоуренс	Martin Lawrence
Карибын тэнгисийн дээрэмчид: Нууцлаг түрлэг	Pirates of the Caribbean: On Stranger Tides
Оюуны хомсдол	Psykisk utviklingshemming
Усан доогуур хорин мянган бээр аялсан нь	En verdensomseiling under havet
Хотон үндэстэн	Huikinesere
I Фердинанд (Австрийн хаан)	Ferdinand I av Østerrike
Ланьжоу	Lanzhou
Франьо Туджман	Franjo Tuđman
Фьючерс	Terminkontrakt
Кристина Риччи	Christina Ricci
Томас Вермален	Thomas Vermaelen
Лабрадорын тэнгис	Labradorsjøen
Даниэль Аггер	Daniel Agger
Жилин аймаг	Žilina (region)
Юрий Жирков	Jurij Zjirkov
Андрей Громыко	Andrej Gromyko
Дарио Срна	Darijo Srna
Яя Туре	Yaya Touré
Кызылкум	Kysylkum
Гуарульюс	Guarulhos
Кабелийн телевиз	Kabel-TV
Гарет Бэйл	Gareth Bale
Иран улсын хөлбөмбөгийн шигшээ баг	Irans herrelandslag i fotball
Робби Кин	Robbie Keane
Пауло Феррейра	Paulo Ferreira
Арван төрөлт	Tikamp
Глориа Эстефан	Gloria Estefan
Мэдээллийн нийгэм	Informasjonssamfunn
Тэмдэгтийн кодлолын схем	Tegnsett
CAD	Dataassistert konstruksjon
Сибиу аймаг	Sibiu (fylke)
Бидэрт самарчшаазгай	Nøttekråke
III Фёдор	Fjodor III av Russland
Боинг Б-29	Boeing B-29 Superfortress
Дэвид Финчер	David Fincher
Жо Коул	Joe Cole
Шумен аймаг	Sjumen oblast
Франц-Иосифын газар	Frans Josefs land
Иван Конев	Ivan Konev
Иан Торп	Ian Thorpe
Кристофер Уокен	Christopher Walken
Марко Матерацци	Marco Materazzi
Хесус Навас	Jesús Navas
Усны түнжүүр	Vannrikse
Хамамацү	Hamamatsu
Мини Компьютер	Minidatamaskin
Хэвт Ёс	Puyi
Гуантанамо	Guantánamo
Халтар шунгуур	Svarthalsdykker
Глен Жонсон	Glen Johnson
Аврага филиппин бүргэд	Filippinsk apeørn
Санти Касорла	Santi Cazorla
Далайн заан	Elefantsel
Бузау аймаг	Buzău (fylke)
Зүрхний массаж	Hjerte-lunge-redning
Хувилуур	Kopimaskin
Лагман аймаг	Laghman (provins)
Найман гишүүт хутагт мөр	Den edle åttedelte veien
Мандалай	Mandalay
Микель Артета	Mikel Arteta
Пактика аймаг	Paktika (provins)
Тимиш аймаг	Timiș (fylke)
Өнгөлүүрт гургалдай	Rubinstrupe
Хөфэй	Hefei
Билгийн тоолол	Månekalender
Арга зүй	Metodologi
Сонирхогчийн радио холбоо	Amatørradio
Хост аймаг	Khost (provins)
Кутузов	Mikhail Kutuzov
Ногоон хувьсгал	Den grønne revolusjonen
Хавьер Савиола	Javier Saviola
Массив	Tabell (datastruktur)
Климент Ворошилов	Kliment Vorosjilov
Өсвөрийн Олимпийн наадам	Ungdoms-OL
Андаманы арлууд	Andamanene
Аргаль	Argalisau
Масада	Masada
Мэрилин Мэнсон	Marilyn Manson
Рафаэль Маркес	Rafael Márquez
Гор аймаг	Ghowr (provins)
Тахар аймаг	Takhar (provins)
Кундуз аймаг	Kunduz (provins)
Жеймс Вэб телескоп	James Webb-teleskopet
Фольк рок хөгжим	Folkrock
Лука Тони	Luca Toni
Төрийн далбаа	Nasjonalflagg
Жулиус Ньерере	Julius Nyerere
Зүчи	Jochi
Далайн ирвэс	Leopardsel
Вылча аймаг	Vâlcea (fylke)
2008-09 оны Премьер лиг	Premier League 2008/09
2010-11 оны Премьер лиг	Premier League 2010/11
Хярс	Stepperev
II Умберто	Umberto II av Italia
Жорди Альба	Jordi Alba
Марио Манжукич	Mario Mandžukić
Жо Харт	Joe Hart
Тим Кэхилл	Tim Cahill
Шотландын Премьер лиг	Scottish Premier League
Роберт Земекис	Robert Zemeckis
МиГ-15	Mikojan-Gurevitsj MiG-15
Эйдур Гудъёнсен	Eiður Guðjohnsen
Хөлбөмбөгийн ДАШТ-2010 B хэсэг	VM i fotball 2010 – Gruppe B
Фернандо Гаго	Fernando Gago
Филипп Сендерос	Philippe Senderos
Stargate SG-1	Stargate SG-1
Ховард Уэбб	Howard Webb
Эмирт Абу-Даби	Abu Dhabi
Ассассин	Assasiner
Опцион	Opsjon
Вуллонгон	Wollongong
Хаан	Khagan
Сэвх	Fregner
Фернандо Льоренте	Fernando Llorente
Караш-Северин аймаг	Caraș-Severin
Питешти	Pitești
Үйлдвэрлэл Урлалын Политехникийн коллеж	Industriteknikk
Адэли оцон шувуу	Adeliepingvin
Төвөд үндэстэн	Tibetanere
Лейтон Бэйнс	Leighton Baines
Алексей Абрикосов	Aleksej Abrikosov
Кунар аймаг	Konar (provins)
Парван аймаг	Parvan (provins)
Ubisoft	Ubisoft
Дирихлегийн зарчим	Skuffeprinsippet
Фермагийн бага теорем	Fermats lille teorem
Дэнни Уэлбек	Danny Welbeck
Лимузин	Limousin (bil)
Браила хот	Brăila
Браила аймаг	Brăila (fylke)
Констанца аймаг	Constanța (fylke)
ТУ-144	Tupolev Tu-144
Хөлбөмбөгийн ДАШТ-2010 D хэсэг	VM i fotball 2010 – Gruppe D
Баримт	Faktum
Хөлбөмбөгийн ДАШТ-2010 C хэсэг	VM i fotball 2010 – Gruppe C
Хөлбөмбөгийн ДАШТ-2010 G хэсэг	VM i fotball 2010 – Gruppe G
Хөлбөмбөгийн ДАШТ-2010 F хэсэг	VM i fotball 2010 – Gruppe F
Хөлбөмбөгийн ДАШТ-2010 E хэсэг	VM i fotball 2010 – Gruppe E
Хөлбөмбөгийн ДАШТ-2010 А хэсэг	VM i fotball 2010 – Gruppe A
Пёнчан-гүнь	Pyeongchang
Белградын Партизан	FK Partizan
Нямц аймаг	Neamț
Прахова аймаг	Prahova (fylke)
Сэлмэн соёот бар	Smilodon
Жермейн Дефо	Jermain Defoe
Уиллем Дефо	Willem Dafoe
Галац аймаг	Galați (fylke)
Дымбовица аймаг	Dâmbovița (fylke)
Китакюшю	Kitakyūshū
PlayStation Vita	PlayStation Vita
Марамуреш аймаг	Maramureș (fylke)
Хүннү улс	Xiongnu
Борооны хүн (кино)	Rain Man
Алаг бужирга	Bjørkefink
Александр Анюков	Aleksandr Anjukov
Игорь Денисов	Igor Denisov
Халхын голын дайн	Slaget om Khalkhin Gol
В эс	B-celle
Кабул аймаг	Kabul (provins)
2009–10 оны Премьер лиг	Premier League 2009/10
Урд Буг	Søndre Bug
Эсийн орчил	Cellesyklus
Мулла	Mulla
Олт аймаг	Olt (fylke)
Калараш аймаг	Călărași (fylke)
Савагт хирс	Ullhåret neshorn
Мэттью Макконехи	Matthew McConaughey
Ковасна аймаг	Covasna (fylke)
Иоргос Карагунис	Giorgos Karagounis
Войцех Шенсный	Wojciech Szczęsny
Шарль Луй Альфонс Лаверан	Alphonse Laveran
Константин Зырянов	Konstantin Zyrjanov
Алекс Сонг	Alexandre Song
Монтенегрогийн хөлбөмбөгийн үндэсний шигшээ баг	Montenegros herrelandslag i fotball
Эзэн хааны коллеж (Лондон)	Imperial College London
Хөлбөмбөгийн ДАШТ-2010 H хэсэг	VM i fotball 2010 – Gruppe H
Фон Нейман архитектур	Von Neumann-arkitektur
Изоморф	Isomorfisme
Амадора	Amadora
2010-11 оны УЕФА Аваргуудын Лиг	Mesterligaen 2010/2011
Рафаэл да Силва	Rafael da Silva
Веб хэрэглэг	Webapplikasjon
Давор Шукер	Davor Šuker
Аманда Сейфрид	Amanda Seyfried
Кевин Гарнетт	Kevin Garnett
Дорнод фронт (Дэлхийн хоёрдугаар дайн)	Østfronten (andre verdenskrig)
Берат хошуу	Berat (region)
Ретровирус	Retrovirus
Алтай	Altai
Уле Эйнар Бьорндален	Ole Einar Bjørndalen
Жан Дюжарден	Jean Dujardin
Йосси Бенаюн	Yossi Benayoun
Женнифер Лоуренс	Jennifer Lawrence
Эрүү (кино)	Haisommer
Ион Илиеску	Ion Iliescu
Сэвгэр бохио	Siland
Африк дахь дэлхийн өвүүд	Verdensarven i Afrika
Какаду үндэсний хүрээлэн	Kakadu nasjonalpark
Базелийн Базель	FC Basel
Леонид Кравчук	Leonid Kravtsjuk
Мэлвин Шварц	Melvin Schwartz
Application layer	Applikasjonslaget
Агаарын фронт	Værfront
Артур Харден	Arthur Harden
Ион Арне Рисе	John Arne Riise
Мэдээллийн нууцлал хамгаалал	Datasikkerhet
Хув ууль	Slagugle
Аллен Айверсон	Allen Iverson
Ха Лон булан	Hạ Long-bukten
Каноо Жигороо	Jigorō Kanō
Хүн-аалз 2	Spider-Man 2
Ренцо Пиано	Renzo Piano
Ларри Бёрд	Larry Bird
Ван Хален	Van Halen
Зои Салдана	Zoë Saldaña
Луанг Прабанг	Luang Prabang
Дорно Европын цаг	Østeuropeisk tid
Рэйчел Макадамс	Rachel McAdams
Горж аймаг	Gorj
Хэвлэл	Offsettrykk
Уиллард Либби	Willard Libby
Хүдэр	Moskushjort
Сибирийн ханлиг	Sibir-khanatet
Крейг Беллами	Craig Bellamy
Синьхайн хувьсгал	Xinhairevolusjonen
Кристофер Пламмер	Christopher Plummer
Аарон Клуг	Aaron Klug
Салаж аймаг	Sălaj (fylke)
Харгита аймаг	Harghita
Муреш аймаг	Mureș (fylke)
Ронни О’Салливан	Ronnie O'Sullivan
Фамке Янссен	Famke Janssen
Долоо (кино)	Se7en
Азийн Дөрвөн Бар улс	De fire tigrene
Максимильяно Родригес	Maximiliano Rodríguez
Сингапур доллар	Singaporsk dollar
Анжелика Хьюстон	Anjelica Huston
Долж аймаг	Dolj
Хунедоара аймаг	Hunedoara (fylke)
Кадастр	Matrikkel
Тулча аймаг	Tulcea (fylke)
Сейду Кейта	Seydou Keita
Ту-160	Tupolev Tu-160
Тонн	Tonn
Леви Эшкол	Levi Eshkol
Хээрийн галуу	Stripegås
Суматрын бар	Sumatratiger
Харви Кэйтель	Harvey Keitel
Жэймс Милнер	James Milner
Накамүра Шүнсүкэ	Shunsuke Nakamura
