ఆఫ్రికా	Afrika
గ్రీన్ హౌస్ ప్రభావం	Drivhuseffekt
ఆల్కేన్	Alkaner
గొడుగు	Paraply
ధనియాలు	Koriander
రంజాన్	Ramadan
భారత జాతీయపతాకం	Indias flagg
గిన్నీస్ ప్రపంచ రికార్డులు	Guinness rekordbok
కంచర గాడిద	Muldyr
పరికల్పన	Hypotese
గ్రాము	Gram
షహాద	Shahadah
అధిక రక్తపోటు	Hypertensjon
పాల్ న్యూమాన్	Paul Newman
మన్మోహన్ సింగ్	Manmohan Singh
రోసా పార్క్స్	Rosa Parks
అంతర్జాతీయ అణు శక్తి మండలి	Det internasjonale atomenergibyrået
భిల్వార జిల్లా	Bhilwara (distrikt)
తాహితీ	Tahiti
బార్మర్ జిల్లా	Barmer (distrikt)
ఖదీజా	Khadija bint Khuwaylid
షామానిజం	Sjamanisme
దుమ్ములగొండి	Hyenefamilien
గోబీ ఎడారి	Gobiørkenen
డెంజెల్ వాషింగ్టన్	Denzel Washington
పర్యాయపదం	Synonym
పిరుదు	Rumpeball
బకింగ్ హామ్ పాలెస్	Buckingham Palace
బొంగైగావ్	Bongaigaon (distrikt)
కచార్	Cachar (distrikt)
కొడవలి	Sigd
తాటాకు ఆదివారం	Palmesøndag
పరిశోధన	Forskning
రైబోసోము	Ribosom
యూనిఫాం రిసోర్స్ లొకేటర్	Uniform Resource Locator
లోయ యొక్క పథం	Mirante do Vale
గూగుల్ ఎర్త్	Google Earth
పొద	Busk
అంతర్భేధం యొక్క విశ్లేషణము	Variansanalyse
శంకువు	Kjegle
అంతర్జాతీయ మాతృభాషా దినోత్సవం	Morsmålsdagen
యుఎస్‌బి	USB
తెల్ల రక్తకణాలు	Hvit blodcelle
తాలిబాన్	Taliban
షెఫీల్డ్	Sheffield
అనగ్జిమాండర్	Anaximander
దర్రాంగ్	Darrang (distrikt)
ధెమాజి	Dhemaji (distrikt)
డిబ్రూగర్	Dibrugarh (distrikt)
ధుబ్రి	Dhubri (distrikt)
మల్ల యుద్ధం	Bryting
కాటి పెర్రీ	Katy Perry
ఇంధనం	Drivstoff
హైలకండి	Hailakandi (distrikt)
గోలాఘాట్	Golaghat (distrikt)
సింధు లోయ నాగరికత	Induskulturen
కరీంగంజ్	Karimganj (distrikt)
విస్లావా సింబోర్స్‌కా	Wisława Szymborska
కర్బి ఆంగ్లాంగ్	Karbi Anglong (distrikt)
పసుపు	Gurkemeie
జేమ్స్ కామెరాన్	James Cameron
కైరా నైట్లీ	Keira Knightley
మోచేయి	Albue
ఎంపీ౩	MP3
కోక్రఝార్	Kokrajhar (distrikt)
పాలస్తీనా	Den palestinske selvstyremyndigheten
నాగావ్	Nagaon (distrikt)
గేదె	Vannbøffel
మారిగావ్	Marigaon (distrikt)
లఖింపూర్	Lakhimpur (distrikt)
తిన్‌ సుకియా	Tinsukia (distrikt)
జీవావరణం	Biosfære
సోనిత్‌పూర్	Sonitpur (distrikt)
దిమా హసాయో	Dima Hasao (distrikt)
నల్బరి	Nalbari (distrikt)
బోరోబుదూర్	Borobudur
ఇవాన్ తుర్గేనెవ్	Ivan Turgenev
ప్రవక్త	Profet
గాలిపటం	Drage (leketøy)
నికోలస్ కేజ్	Nicolas Cage
శ్రీ కృష్ణుడు	Krishna
అరారియా	Araria (distrikt)
ఉత్పరివర్తనము	Mutasjon
మోక్షం	Nirvana
ఆగ్రా	Agra (by i India)
గోడ	Vegg
నూనె	Olje
ఋతుపవనాలు	Monsun
వాస్తుశిల్పి	Arkitekt
బేసిక్	BASIC
అలర్జీ	Allergi
పచ్చబొట్టు	Tatovering
స్పటికం	Kvarts
జెలగ	Igler
సంక్షిప్త సందేశ సేవ	Short Message Service
ఎలక్ట్రికల్ ఇంజనీరింగ్	Elektroteknikk
హీమోగ్లోబిన్	Hemoglobin
బ్యాంబి	Bambi
అక్ష రాజ్యాలు	Aksemaktene
అనావృష్టి	Tørke
హైన్రిచ్ హిమ్లెర్	Heinrich Himmler
నల్ల మిరియాలు	Svart pepper
ఔరంగాబాద్, బీహార్	Aurangabad (distrikt i Bihar)
కెంపు	Rubin
వర్గం:వికీపీడియా ప్రశ్నలు	Wikipedia:OSS
లైకెన్	Lav
మొసలి	Egentlige krokodiller
స్వర్గం గుహ	Thien Duong
పత్రహరితం	Klorofyll
భీమా	Forsikring
సంస్థ	Organisasjon
పోయేసి	Grasfamilien
చార్లెస్, వేల్స్ యొక్క యువరాజు	Charles, prins av Wales
విక్టోరియా జలపాతం	Victoriafallene
జింకో	Tempeltre
టైమ్ పత్రిక)	Time (magasin)
పవన విద్యుత్తు	Vindkraft
జానపద సంగీతం	Folkemusikk
జలాలుద్దీన్ ముహమ్మద్ రూమి	Rumi
హ్యారీ పోట్టర్ అండ్ ది ఫిలాసఫర్స్ స్టోన్	Harry Potter og de vises stein
సి.బి.ఎస్.	CBS
డిస్కవరీ ఛానల్	Discovery Channel
ఈసపు	Æsop
చండీగఢ్	Chandigarh
ముత్యము	Perle
ఆడ	Hun
శతపది	Skolopendere
మానవజాతి శాస్త్రం	Etnologi
ఫిరదౌసి	Firdausi
ఆంగ్‌కోర్ వాట్	Angkor Vat
సహజ ఎంపిక	Naturlig seleksjon
బావి	Brønn
జంతు ప్రదర్శనశాల	Dyrehage
నైట్ విష్	Nightwish
సోంపు	Fennikel
కే2	K2
సాపేక్ష సిద్ధాంతం	Relativitetsteorien
ఫ్రెంచ్ ఓపెన్	French Open
పర్యావరణము	Miljø
హమ్మింగ్ పక్షి	Kolibrier
గుత్తాధిపత్యం	Monopol
కివి	Kivier
కొలెస్ట్రాల్	Kolesterol
బెర్ముడా ట్రయాంగిల్	Bermudatriangelet
ఆండ్రెస్ ఇనిఎస్తా	Andrés Iniesta
ఒయాసిస్సు	Oase
కనుబొమలు	Øyenbryn
టర్కీ (పక్షి)	Kalkuner
నాభి	Navle
అకశేరుకాలు	Virvelløse dyr
పాస్‌పోర్ట్	Pass
ఎడీ మర్ఫీ	Eddie Murphy
జాక్ ది రిప్పర్	Jack the Ripper
బర్డ్ ఫ్లూ	Fugleinfluensa
కాంబ్రిటేసి	Combretaceae
రీస్ విథర్‌స్పూన్	Reese Witherspoon
క్రిస్ జెరిఖో	Chris Irvine
మగ	Han (kjønn)
హల్క్ హొగన్	Hulk Hogan
చంద్ర గ్రహణం	Måneformørkelse
మిషెల్ ఫూకొ	Michel Foucault
సల్మాన్ రష్దీ	Salman Rushdie
జిహాద్	Jihad
గ్నోమ్(GNOME)	GNOME
పురాణము	Legende
వాలెంతినా తెరిష్కోవా	Valentina Teresjkova
సొరంగం	Tunnel
నెక్ టై	Slips
రసాయన బంధం	Kjemisk binding
విన్స్ మెక్‌మాన్‌	Vince McMahon
గోల్డెన్ గేట్ వంతెన	Golden Gate Bridge
ఫాబేసి	Erteblomstfamilien
ఒర్లాండో బ్లూమ్	Orlando Bloom
బల్లెము	Spyd
పియర్ సైమన్ లాప్లేస్	Pierre-Simon Laplace
ది గ్రేట్ ఖలీ	Dalip Singh
గానుగ	Mølle
త్రవ్వకాలు(గనుల)	Gruvedrift
మహమ్మారి	Epidemi
సెల్మా లాగర్‌లోఫ్	Selma Lagerlöf
దేవాలయం	Tempel
గ్నూ	GNU
విద్యాధర్ సూరజ్ ప్రసాద్ నైపాల్	V.S. Naipaul
ఉపవాసము	Faste
ఇకైనోడెర్మేటా	Pigghuder
నౌకాశ్రయం	Havn
మల్బరీ	Morbærslekten
సుహార్తో	Suharto
సన్ డూంగ్ కేవ్	Son Doong
లిండ్సే లోహాన్	Lindsay Lohan
సుడోకు	Sudoku
బిందువు (జ్యామితి)	Punkt
అలెక్స్ ఫెర్గూసన్	Alex Ferguson
ఎంట్రోపి	Entropi
లకుముకి పిట్ట	Isfugler
అనుకరణ	Simulering
యముడు	Yama
మదన గింజ	Lin
సిమెంటు	Sement
పిస్టన్	Stempel
ది డోర్స్	The Doors
బ్రహ్మపుత్రా నది	Brahmaputra
బ్రిటిష్‌ కౌన్సిల్‌	British Council
స్వస్తిక్	Hakekors
దెయ్యం	Spøkelse
విలియం వర్డ్స్ వర్త్	William Wordsworth
డెన్నిస్ రిచీ	Dennis Ritchie
మీకాయీల్	Erkeengelen Mikael
యూకలిప్టస్	Eukalyptusslekten
చెత్త	Avfall
షార్లోట్టేస్ వెబ్	Charlottes tryllevev (barnebok)
విశ్వనాథన్ ఆనంద్	Viswanathan Anand
పనస	Jackfrukt
రోలు మరియు రోకలి	Morter og pistil
జలచర ప్రదర్శనశాల	Akvarium
సత్యేంద్రనాథ్ బోస్	Satyendra Nath Bose
కింగ్ ఆర్థర్	Kong Arthur
వరకట్నం	Medgift
బాణం	Pil
ఎఱ్ఱకోట	Det røde fortet
చెవుల పిల్లి	Harer
దాద్రా నగరు హవేలీ	Dadra og Nagar Haveli
మానవతావాదం	Humanisme
జీయాస్ విగ్రహం-ఒలింపియా	Zevsstatuen i Olympia
గతి శక్తి	Kinetisk energi
రోసేసి	Rosefamilien
తాబేలు	Landskilpadder
పులిట్జర్ బహుమానం	Pulitzerprisen
ఛార్లెస్‌ బాబేజ్‌	Charles Babbage
రక్త పిశాచి	Vampyr
ఫిజి హిందీ	Fijiansk hindi
అమీబా	Amøbe
హ్యారీ పాటర్ అండ్ ది గోబ్లెట్ ఆఫ్ ఫైర్	Harry Potter og ildbegeret
హ్యారీ పాటర్ అండ్ ది డెత్లీ హాలోస్	Harry Potter og dødstalismanene
వంగారి మాథాయ్	Wangari Maathai
భగవద్గీత	Bhagavadgita
ది టైమ్స్ ఆఫ్ ఇండియా	The Times of India
ఇస్రేల్ మ్యూజియం	Israel Museum
ఉంగరము	Fingerring
హ్యారీ పాటర్ అండ్ ది హాఫ్ బ్లడ్ ప్రిన్స్	Harry Potter og Halvblodsprinsen
జిఎస్ఎమ్	GSM
పలి జిల్లా	Pali (distrikt)
గాబ్రో	Gabbro
బుగ్గ	Kinn (anatomi)
జీవవైవిధ్యం	Biologisk mangfold
రూబిక్స్ క్యూబ్	Rubiks kube
ఐశ్వర్య రాయ్	Aishwarya Rai
మానభంగం	Voldtekt
బొక్కెన	Bøtte
క్రిస్మస్ చెట్టు	Juletre
కు క్లక్స్ క్లాన్	Ku Klux Klan
అటకామా ఎడారి	Atacamaørkenen
యజుర్వేదం	Yajurveda
వినియోగదారు ఇంటర్‌ఫేస్	Brukergrensesnitt
హ్యారీ పాటర్ అండ్ ది ఛాంబర్ ఆఫ్ సీక్రెట్స్	Harry Potter og Mysteriekammeret
వారెన్ బఫెట్	Warren Buffett
శాసనోల్లంఘన	Sivil ulydighet
పుట్టిన రోజు	Fødselsdag
కామసూత్ర	Kamasutra
కేంద్రీయ నాడీ వ్యవస్థ	Sentralnervesystemet
ఇబ్రాహీం మతము	Abrahamittisk religion
ఇలకోడి	Ekte sirisser
క్యోటో ఒప్పందం	Kyoto-avtalen
మిల్టన్ ఫ్రీడ్‌మన్	Milton Friedman
ఎడ్మండ్ హేలీ	Edmond Halley
స్వామీ వివేకానంద	Vivekananda
అంతర్జాతీయ క్రిమినల్ కోర్టు	Den internasjonale straffedomstolen
కంపైలర్	Kompilator
ఎసిటిక్ ఆమ్లం	Eddiksyre
ప్రమాణం	Måleenhet
ఆర్సేన్ వెంగెర్	Arsène Wenger
హ్యారీ పోటర్ అండ్ ది ప్రిజనెర్ ఆఫ్ అజ్కాబాన్	Harry Potter og fangen fra Azkaban
ఎంఎస్-డాస్	MS-DOS
నాడైన్ గార్డిమర్	Nadine Gordimer
కాథరిన్ జీటా-జోన్స్	Catherine Zeta-Jones
బ్లాక్ సబ్బాత్	Black Sabbath
బాబిలోనియా	Babylonia
ది గాడ్‌ఫాదర్	Gudfaren
డౌన్ సిండ్రోమ్	Downs syndrom
బ్రొక్కొలి	Brokkoli
ధనుర్వాతము	Stivkrampe
ప్రతిభా పాటిల్	Pratibha Patil
ఇస్లాం పూర్వపు అరేబియా	Før-islamske Arabia
మెంథా	Mynteslekta
రాబీ విలియమ్స్	Robbie Williams
పేకముక్క	Spillkort
ప్యారిస్ హిల్టన్	Paris Hilton
ఖడ్గమృగం	Panserneshorn
లక్నో	Lucknow
సర్కస్	Sirkus
బుల్ఢానా జిల్లా	Buldana (distrikt)
మూస:Commonscat	Mal:Commonscat
కింగ్ కోబ్రా	Kongekobra
మూల కణం	Stamcelle
అరేసి	Myrkonglefamilien
ఈదీ అమీన్	Idi Amin
ఫెడోరా	Fedora (Linux)
వాటర్లూ యుధ్ధం	Slaget ved Waterloo
యూరియా	Urea
బేవుల్ఫ్	Beowulf
మోర్గాన్ ఫ్రీమాన్	Morgan Freeman
సిఎన్ఎన్ (CNN)	CNN
మీనార్	Minaret
హిప్పోకాంపస్	Hippocampus
గిలక (పుల్లీ)	Trinse
అమృత్‌సర్	Amritsar
రిచర్డ్ గేర్	Richard Gere
ఫీనిక్స్ (పక్షి)	Fugl Føniks
గ్నూ హర్డ్	GNU Hurd
వోయెజర్ 2	Voyager 2
క్యూరియాసిటీ	Curiosity
ఆఫ్రికా-అమెరికా చట్ట హక్కుల ఉద్యమం (1955-1968)	Borgerrettsbevegelsen i USA (1955-1968)
రోసెట్టా వ్యోమనౌక	Rosetta (romsonde)
పరదా	Gardin
దారం	Garn (tekstil)
చంద్రయాన్	Chandrayaan-1
కుట్టు మిషను	Symaskin
తెలుగు కథ	Novelle
మసాచుసెట్స్ ఇన్సిట్యూట్ ఆఫ్ టెక్నాలజీ	Massachusetts Institute of Technology
పెన్సిల్వేనియా విశ్వవిద్యాలయం	University of Pennsylvania
భోజ్‌పూర్	Bhojpur (distrikt)
భగల్‌పూర్	Bhagalpur (distrikt)
బెగుసరాయ్	Begusarai (distrikt)
తూర్పు చంపారణ్	East Champaran (distrikt)
దర్భంగా	Darbhanga (distrikt)
బక్సార్	Buxar (distrikt)
జమూయి	Jamui (distrikt)
గోపాల్‌గంజ్	Gopalganj (distrikt i Bihar)
ఖగరియా	Khagaria (distrikt)
జహానాబాద్	Jehanabad (distrikt)
రోచెస్టర్, న్యూయార్క్	Rochester (New York)
సాలి రైడ్	Sally Ride
ఆల్బర్ట్ స్విట్జర్	Albert Schweitzer
పర్యాటక రంగం	Turisme
ఏలియమ్	Løkslekta
మారుపేరు	Kallenavn
పీచుమిఠాయి	Sukkerspinn
వివాహం (పెళ్లి)	Bryllup
నీటి వర్ణ చిత్రాలు	Akvarell
డైర్ స్ట్రెయిట్స్	Dire Straits
ట్రోజన్ హార్స్	Den trojanske hest
రిచర్డ్ అటెన్‌బరో	Richard Attenborough
కొండమీద ప్రసంగం	Bergprekenen
ఇస్లాం క్రైస్తవ మతాల మధ్య సంబంధాలు	Isa
యూహాన్నా అల్ దెమాష్కీ	Johannes av Damaskus
షేక్ హసీనా	Sheikh Hasina
మూస:సమాచారపెట్టె ఖనిజం	Mal:Infoboks mineral
మూస:Taxobox	Mal:Taksoboks
ఎరిక్సన్	Ericsson
ప్రసంగం	Tale
బ్లాక్ కామెడీ	Svart humor
రక్త దానం	Blodgivning
అకాంథేసి	Akantusfamilien
లామియేసి	Leppeblomstfamilien
లిలియేసి	Liljefamilien
కప్ప	Springpadder
సాలమండర్	Salamandere
దోపిడీ	Ran
కొండ	Ås
ద్రవాభిసరణం	Osmose
సిడ్నీ హార్బర్ వంతెన	Sydney Harbour Bridge
మార్టినా నవ్రతిలోవా	Martina Navrátilová
ఆండీ రాడిక్	Andy Roddick
జఘన జుట్టు	Kjønnshår
పెథిడిన్	Petidin
స్పైస్ గర్ల్స్	Spice Girls
ఓప్రా విన్‌ఫ్రే	Oprah Winfrey
స్యాలమెంక	Salamanca (Chile)
డెస్క్‌టాప్ కంప్యూటర్	Stasjonær PC
పారాసిటమాల్	Paracetamol
ఫ్రిట్జ్ హేబర్	Fritz Haber
కంచము	Tallerken
జాకబ్ జుమా	Jacob Zuma
మహీంద రాజపక్స	Mahinda Rajapaksa
ప్రణబ్ ముఖర్జీ	Pranab Mukherjee
కోట	Festning
పాశ్చరైజేషన్	Pasteurisering
తక్షణ సందేశం	Direktemelding
డిమ్ము బోర్‌గిర్	Dimmu Borgir
పంజాబీ భాష	Panjabi
బ్రాసికా	Kålslekta
అరేబియా సముద్రము	Arabiahavet
కాలుష్యం	Forurensning
లిలీ అలెన్	Lily Allen
సౌర ఘటం	Solcelle
సరస్వతి	Sarasvati
ఎక్కిళ్ళు	Hikke
రాట్నం	Spinnerokk
కాకినాడ	Kakinada
శివసేన	Shiv Sena
పిల్లి చేప	Maller
ఆటో రిక్షా	Autorickshaw
చామంతి	Krysantemumslekta
ఆస్కార్ షిండ్లర్	Oskar Schindler
హెడీ క్లమ్	Heidi Klum
వెంకటరామన్ రామకృష్ణన్	Venkatraman Ramakrishnan
రజినీకాంత్	Rajinikanth
ది సౌండ్ ఆఫ్ మ్యూజిక్	The Sound of Music (film)
మాక్స్ ముల్లర్	Max Müller
ఆట్టో వాన్ గెరిక్	Otto von Guericke
భారత ఉపఖండము	Det indiske subkontinent
సంకేతాధ్యయన శాస్త్రం	Semiotikk
చంద్రశేఖర వేంకట రామన్	Venkata Raman
నమస్కారం	Namaste
కేథలిక్ బైబిల్ గ్రంధాలు	Filipsevangeliet
తోక	Hale
బాల్ థాకరే	Bal Thackeray
హిస్టమిన్	Histamin
ప్రి-ఎక్లంప్సియా	Svangerskapsforgiftning
నెల్లూరు	Nellore
కొవ్వు ఆమ్లం	Fettsyre
రోలెక్స్	Rolex
లండన్ టవర్	Tower of London
వెస్ట్ మినిస్టర్ రాజభవనం	Palace of Westminster
కెనాన్ ఇంక్	Canon
అండకోశం	Fruktemne
ఖగోళ వేధశాల	Observatorium
మౌర్య సామ్రాజ్యం	Mauryariket
నిద్రమాత్ర	Hypnotika
మరుగుజ్జు వృక్షాలు	Bonsai
పిత్తాశయము	Galleblære
విద్యుద్విశ్లేషణ	Elektrolyse
కెనాన్ ఈ ఓ ఎస్ 600డి	Canon EOS 600D
ఆంథోనీ హాప్కిన్స్	Anthony Hopkins
పైత్యరసం	Galle
ఖలీఫా	Kalif
డ్యుయిష్ బ్యాంక్	Deutsche Bank
ఇండోర్	Indore
దమన్ దియు	Daman og Diu
పుదుచ్చేరి	Puducherry
యావజ్జీవ కారాగారశిక్ష	Livsvarig fengsel
ఎముక విరుపు	Beinbrudd
సైబీరియన్ పులి	Sibirtiger
ద్రావిడ ప్రజలు	Dravidere
ఎయిర్ ఇండియా	Air India
పెండలము	Yam
వక్రీభవనం	Lysbrytning
విద్యుత్ మోటారు	Elektrisk motor
కాగితపు విమానం	Papirfly
పండుగప్ప	Barramundi
డెల్ఫీ	Delfi
పీఠభూమి	Høydedrag
ఎ లాట్ లైక్ లవ్	A Lot Like Love
సామ్యూల్ F. B. మోర్స్	Samuel Morse
హాగ్ చేప	Slimåler
సబ్బు బుడగ	Såpebobler
బోరిస్ బెకర్	Boris Becker
26/11 ముంబై పై దాడి	Terrorangrepene i Mumbai 26. november 2008
ఎమిల్ వాన్ బెరింగ్	Emil Adolf von Behring
డాప్లర్ ప్రభావం	Dopplereffekt
కన్నీరు	Tårer
చొక్కా	Skjorte
ఫ్రెడ్రిక్‌ అగస్ట్‌ కెకూలే	Friedrich August Kekulé von Stradonitz
మాక్స్‌ డెల్‌బ్రక్	Max Delbrück
కిషన్‌గంజ్	Kishanganj (distrikt)
ముంగేర్	Munger (distrikt)
మధుబని	Madhubani (distrikt)
లఖిసరాయ్	Lakhisarai (distrikt)
కతిహార్	Katihar (distrikt)
సివిల్ ఇంజనీరింగ్	Byggeteknikk
రేడియాలజీ	Radiologi
మాధెపురా	Madhepura (distrikt)
ఏకదళబీజాలు	Enfrøbladede planter
వీధి	Gate
సూపర్ మేన్	Supermann
గూగుల్ క్రోమ్ OS	Chrome OS
గూగుల్ డెస్క్‌టాప్	Google Desktop
గూగుల్ ప్లే	Google Play
తుఫాను (సైక్లోన్)	Syklon
3G	3G
లైసెన్సు	Konsesjon
కిలోబైట్	Kilobyte
టెరాబైట్	Terabyte
కొవ్వొత్తి	Levende lys
భారమితి	Barometer
ఫ్రెండ్స్ (ధారావాహిక)	Venner for livet
తట్టు	Meslinger
యాంత్రిక అనువాదం	Maskinoversettelse
క్రోధం	Sinne
బ్రెయిలీ లిపి	Punktskrift
ప్రభుత్వేతర సంస్థ	Ikke-statlig organisasjon
కృష్ణ పదార్థం	Mørk materie
మొటిమ	Akne
పుప్పొడి	Pollen
క్రైస్ట్‌ ద రిడీమర్ (శిలా విగ్రహం)	Kristusstatuen (Rio de Janeiro)
కాశీ	Varanasi
25 (సంఖ్య)	25 (tall)
24 (సంఖ్య)	24 (tall)
గజనిమ్మ	Pomelo
చెక్కు	Sjekk
ప్రిజన్ బ్రేక్	Prison Break
సొనెట్	Sonett
మేగాన్ ఫాక్స్	Megan Fox
చిహ్నం	Symbol
కలబంద	Aloe vera
మానవీయ శాస్త్రాలు	Humaniora
టోపీ	Hatt
చింపాంజీ	Sjimpanser
జోసెఫ్ లూయిస్ లెగ్రాంజ్	Joseph Louis Lagrange
సీసా	Flaske
ఏంజెల్ జలపాతము	Angelfossen
కార్న్	Korn (band)
లిబరేషన్ టైగర్స్ ఆఫ్ తమిళ్ ఈలం	Tamiltigrene
బెంగాల్	Bengal
ముంగిస	Mungofamilien
పాట్నా	Patna
రూపాయి	Indisk rupi
డైనమైట్	Dynamitt
టెన్సింగ్ నార్కే	Tenzing Norgay
పలభా యంత్రము	Solur
స్పుత్నిక్	Sputnik 1
హ్యారీ పాటర్ అండ్ ది ఆర్డర్ ఆఫ్ ది ఫినిక్స్	Harry Potter og Føniksordenen
అన్నే బోలీన్	Anne Boleyn
గబ్రియేలా మిస్ట్రాల్	Gabriela Mistral
అణు రియాక్టరు	Atomreaktor
జేమ్స్ చాడ్విక్	James Chadwick
మైక్రోసాఫ్ట్ ఔట్లుక్	Microsoft Office Outlook
కేట్ బ్లాంచెట్	Cate Blanchett
జుడాస్ ఇస్కారియట్	Judas Iskariot
ఈక	Fjær
జలచక్రం	Vannets kretsløp
హోమియోపతీ వైద్య విధానం	Homøopati
ఇంజనీరు	Ingeniør
ఫిరంగి	Kanon
అణుపుంజము	Polymer
మార్ఫిన్	Morfin
ఉడుము	Varaner
సిమెన్స్ AG	Siemens
ఆటోమేటెడ్ టెల్లర్ మెషీన్	Minibank
ఎకరం	Acre (måleenhet)
బ్రెట్ హార్ట్	Bret Hart
శనగలు	Kikert
పాల కూర	Spinat
సిట్రస్	Sitrusfrukt
పియర్స్ బ్రోస్నన్	Pierce Brosnan
పాస్కల్(కంప్యూటర్)	Pascal (programmeringsspråk)
తుమ్మ	Akasieslekten
ఫాస్ట్ ఫుడ్	Hurtigmat
వాతావరణ పీడనం	Atmosfærisk trykk
మోనికా బెల్లూచి	Monica Bellucci
చెంచా	Skje
నొప్పి	Smerte
జిబ్రయీల్	Gabriel
కాంచెన్‌జంగా	Kanchenjunga
కొమ్ము	Horn (anatomi)
భాషా భాగాలు	Ordklasse
స్టీవెన్ సీగల్	Steven Seagal
ఆహార మరియు వ్యవసాయ సంస్థ	FNs organisasjon for ernæring og landbruk
అవక్షేపణ రాయి	Sedimentær bergart
విరామ చిహ్నములు	Tegnsetting
రక్త పీడనం	Blodtrykk
గడ్డం	Hake
చిత్రం స్కానర్	Skanner
పేరు	Navn
సొకొట్రా	Socotra
నారాయణ్ కార్తికేయన్	Narain Karthikeyan
రాజకీయవేత్త	Politiker
చైనా చరిత్ర	Kinas historie
షడ్భుజి	Heksagon
పుట్ట గొడుగు	Fruktlegeme
భారత జాతీయగీతం	Indias nasjonalsang
టవర్ వంతెన	Tower Bridge
షార్లోట్టేస్ వెబ్ 2: విల్బుర్స్ గ్రేట్ అడ్వెంచర్	Wilburs store eventyr
శ్రీనివాస రామానుజన్	Srinivasa Aiyangar Ramanujan
ఈస్టిండియా కంపెనీ	Det britiske Ostindiske kompani
జాజికాయ	Muskatnøttslekten
పైకప్పు	Tak (arkitektur)
అలీనోద్యమం	Organisasjonen av alliansefrie nasjoner
కెప్లర్ గ్రహ గమన నియమాలు	Keplers lover for planetenes bevegelser
స్పాంజ్‌బాబ్ స్క్వేర్ పాంట్స్	Svampebob Firkant
శిలావరణం	Litosfære
ఫోర్ట్రాన్	Fortran
టైఫాయిడ్	Tyfoidfeber
నైట్రిక్ ఆమ్లం	Salpetersyre
గియాకోమో కాసనోవా	Giacomo Casanova
గురునానక్	Guru Nának
ఎరువు	Gjødsel
లైసోసోము	Lysosom
జేమ్స్‌ వాట్సన్‌	James D. Watson
సున్తీ	Mannlig omskjæring
ఒరిగమి	Origami
జేమ్స్ డీన్	James Dean
జీన్స్ (వస్త్రం)	Dongeribukse
కర్మాగారము	Fabrikk
స్పార్టకస్	Spartacus
మెగాడెత్	Megadeth
భాక్రా డామ్	Bhakra-demningen
జాన్ టెర్రీ	John Terry
సభ్యోక్తి	Eufemisme
జుడాస్ ప్రీస్ట్	Judas Priest
వేడి నీటి బుగ్గ	Geysir (geologi)
మరాఠా సామ్రాజ్యం	Marathariket
జహాంగీర్	Jahangir
షాజహాన్	Shah Jahan
సిమ్లా	Shimla
గౌడ	Gouda
రాతప్రతులు	Manuskript
శబ్ద కాలుష్యం	Støyforurensning
మూస:Cite book	Mal:Kilde bok
జేమ్స్ గోస్లింగ్	James Gosling
ఆలిస్'స్ ఎడ్వెన్చర్స్ ఇన్ వండర్‌ల్యాండ్	Alice i Eventyrland
సర్జీ బ్రిన్	Sergey Brin
విలియం హార్వే	William Harvey
లూయీ బ్రెయిలీ	Louis Braille
రేఖాచిత్రం	Tegnekunst
కోడి గుడ్డు	Egg (mat)
విడాకులు	Skilsmisse
బాలీవుడ్	Bollywood
తులిప్	Tulipanslekta
డాక్యుమెంటరీ చిత్రం	Dokumentarfilm
ఈము	Emu
ఓ.ఎస్.ఐ నమూనా	OSI-modellen
ద హూ	The Who
సీమస్ హీనీ	Seamus Heaney
బాబ్ హోప్	Bob Hope
పొద్దుతిరుగుడు నూనె	Solsikkeolje
ఖాన్ అకాడమీ	Khan Academy
పాంథియోన్, రోమ్	Pantheon (Roma)
ఫాల్కిర్క్ చక్రము	Falkirk Wheel
తలగడ	Pute
నవాడా	Nawada (distrikt)
పుర్నియా	Purnia (distrikt)
రోహ్తాస్	Rohtas (distrikt)
షెవొహార్	Sheohar (distrikt)
పశ్చిమ చంపారణ్	West Champaran (distrikt)
వైశాలి	Vaishali (distrikt)
సివన్	Siwan (distrikt)
సీతామర్హి	Sitamarhi (distrikt)
శరన్	Saran (distrikt)
బస్తర్ జిల్లా	Bastar (distrikt)
బిలాస్‌పూర్	Bilaspur (distrikt i Chhattisgarh)
బీజపుర్ (చత్తిస్ ఘడ్)	Bijapur (distrikt)
దుర్గ్	Durg (distrikt)
ధమ్తారి	Dhamtari (distrikt)
దంతేవాడ	Dantewada (distrikt)
పౌండ్ (పరిమాణం)	Pund (masseenhet)
ఇతర పదాల మొదటి అక్షరాల నుండి పుట్టిన పదం (ఏక్రానిం) మరియు ఇనీష్యలిజం	Akronym
ప్రోటోజోవా	Protozo
ఇంటి పేర్లు	Etternavn
స్వైన్ ఫ్లూ	Influensa A(H1N1)-pandemien 2009
ఎస్టర్	Ester
ఆల్డిహైడు	Aldehyd
డీప్ పర్పుల్	Deep Purple
రాక్షస గూళ్లు	Dysse
వాక్యూమ్ క్లీనర్	Støvsuger
బలిపీఠము	Alter
ఇగ్లూ	Iglo
కలుపు మొక్క	Ugress
సెగవ్యాధి	Gonoré
ప్రయోగం	Eksperiment
ఉలిపిరి కాయలు	Vorte
రోనాల్డ్ రాస్	Ronald Ross
ఇవాంజెలిస్టా టొర్రిసెల్లి	Evangelista Torricelli
డాక్టర్ నో	Dr. No (film)
కనిష్ఠ సామాన్య గుణిజం	Minste felles multiplum
