Afrihkká	Afrika
Šibenik-Knin guovlu	Šibenik-Knin
Vukovar-Syrmia guovlu	Vukovar-Syrmia
Split-Dalmatia guovlu	Split-Dalmatia
Béarnaisebuonjus	Béarnaisesaus
Istria guovlu	Istria (fylke)
Dubrovnik-Neretva guovlu	Dubrovnik-Neretva
Međimurje guovlu	Međimurje
Duran Duran	Duran Duran
Nuoskkideapmi	Forurensning
Pasifisma	Pasifisme
Uppsala gielda	Uppsala kommune
Östhammara gielda	Östhammar kommune
Narviika	Narvik
Sao Vang girdišillju	Sao Vang lufthavn
Älvkarleby gielda	Älvkarleby kommune
Čuoigama máilmmimeašttirgilvvut 2013	Ski-VM 2013
Tooji	Tooji
IPhone 5	IPhone 5
Pávoloddi	Indisk påfugl
Sápmi	Sameland
Hárštá	Harstad
Ålesund	Ålesund
Hoforsa gielda	Hofors kommune
Bollnäsa gielda	Bollnäs kommune
Guovdageainnu Stuimmit (filbma)	Kautokeino-opprøret (film)
Kalmara uniovdna	Kalmarunionen
Davvinjárga	Nordkapp
Norgga Sámediggi	Sametinget
Rogier van der Weyden	Rogier van der Weyden
Salamanca eanangoddi	Salamanca (provins)
Valladolid eanangoddi	Valladolid (provins)
Zamora eanangoddi	Zamora (provins)
León eanangoddi	León (provins)
Aomori prefektuvra	Aomori (prefektur)
Fukushima prefektuvra	Fukushima (prefektur)
Birokratiija	Byråkrati
Nissoniid giehtaspábba-EM 2012	Håndball-EM 2012 for kvinner
Vuovdeviola	Skogfiol
Sállir	Kvaløya
Yozgat eanangoddi	Yozgat (provins)
Peter Lorre	Peter Lorre
Bingöl eanangoddi	Bingöl (provins)
Ardahan eanangoddi	Ardahan (provins)
Aydın eanangoddi	Aydın (provins)
Suopmelaš-ugralaš gielat	Finsk-ugriske språk
Gáiskešattut	Bregner
Chiba prefektuvra	Chiba (prefektur)
Amasya eanangoddi	Amasya (provins)
Ağrı eanangoddi	Ağrı (provins)
Burdur eanangoddi	Burdur (provins)
Gáhpir	Hatt
Olympos	Olympos
Batman eanangoddi	Batman (provins)
Novaja Zemlja	Novaja Semlja
Aichi prefektuvra	Aichi (prefektur)
Alla Pugacheva	Alla Pugatsjeva
Van eanangoddi	Van (provins)
Sigrid Undset	Sigrid Undset
Ruoŧa leavga	Sveriges flagg
Sitrusšaddosat	Sitrusfrukt
Álava eanangoddi	Álava
Almería eanangoddi	Almería (provins)
Badajoz eanangoddi	Badajoz (provins)
Akita prefektuvra	Akita (prefektur)
Barcelona eanangoddi	Barcelona (provins)
Córdoba eanangoddi	Córdoba (provins i Spania)
Cáceres eanangoddi	Cáceres (provins)
Cádiz eanangoddi	Cádiz (provins)
Bolu eanangoddi	Bolu (provins)
Ian Fleming	Ian Fleming
A Coruña eanangoddi	La Coruña (provins)
Granada eanangoddi	Granada (provins)
Hande Yener	Hande Yener
К	К
Henri de Toulouse-Lautrec	Henri de Toulouse-Lautrec
П	П
Gaskamearka	Tegnsetting
И	И
Njálla	Fjellrev
Museu de Arte de São Paulo	Museu de Arte de São Paulo
Aksaray eanangoddi	Aksaray (provins)
Edirne eanangoddi	Edirne (provins)
Norgga leavga	Norges flagg
Bitlis eanangoddi	Bitlis (provins)
Ibaraki prefektuvra	Ibaraki (prefektur)
Bartın eanangoddi	Bartin (provins)
DSB	DSB (jernbaneselskap)
Birkenes	Birkenes
Bygland	Bygland
Bykle	Bykle
Evje og Hornnes	Evje og Hornnes
Froland	Froland
Grimstad	Grimstad
Málle:Girjegáldu	Mal:Kilde bok
Jokŋa	Tyttebær
Vizcaya eanangoddi	Bizkaia
Flesberg	Flesberg
Flå	Flå
Guipúzcoa eanangoddi	Gipuzkoa
Huelva eanangoddi	Huelva (provins)
Jaén eanangoddi	Jaén (provins)
Lugo eanangoddi	Lugo (provins)
Málaga eanangoddi	Málaga (provins)
Ourense eanangoddi	Ourense (provins)
Las Palmas	Las Palmas (provins)
Pontevedra eanangoddi	Pontevedra (provins)
Sevilla eanangoddi	Sevilla (provins)
Tarragona eanangoddi	Tarragona (provins)
Santa Cruz de Tenerife eanangoddi	Santa Cruz de Tenerife (provins)
Lillehammer	Lillehammer
Luovvarat	Kløverslekta
Beahcešattut	Furufamilien
Iglu	Iglo
Tove Jansson	Tove Jansson
Margrethe II	Margrethe II av Danmark
Pärnu	Pärnu
Blekinge leatna	Blekinge län
Diftoŋga	Diftong
Oarje-Götalándda leatna	Västra Götalands län
Skåne leatna	Skåne län
Junior Eurovision lávllagilvvohallan	Junior Eurovision Song Contest
Jönköpinga leatna	Jönköpings län
Jämtlándda leatna	Jämtlands län
Norrbottena leatna	Norrbottens län
Hallándda leatna	Hallands län
Gävleborgga leatna	Gävleborgs län
Kalmara leatna	Kalmar län
Roavvenjárga	Rovaniemi
Hafnarfjörður	Hafnarfjörður
Dalarna leatna	Dalarnas län
Gotlándda leatna	Gotlands län
Molde	Molde
Stockholmma leatna	Stockholms län
Örebro leatna	Örebro län
Čáhcesuolu	Vadsø
Hámar	Hamar
Kronobergga leatna	Kronobergs län
Västerbottena leatna	Västerbottens län
Caspar David Friedrich	Caspar David Friedrich
Oarje-Norrlándda leatna	Västernorrlands län
Uppsala leatna	Uppsala län
Nuortagötlándda leatna	Östergötlands län
Mari Kiviniemi	Mari Kiviniemi
Västmanlándda leatna	Västmanlands län
Skandinávalaš gielat	Nordiske språk
Värmlándda leatna	Värmlands län
Ivar Aasen	Ivar Aasen
Ísafjörður	Ísafjörður
Södermanlándda leatna	Södermanlands län
Fredrikstad	Fredrikstad
Hámmárfeasta	Hammerfest
Tønsberg	Tønsberg
Leikanger	Leikanger
Akraneskaupstaður	Akraneskaupstaður
Sarpsborg	Sarpsborg
Gjøvik	Gjøvik
Belize City	Belize City
Várggát	Vardø
Kongsberg	Kongsberg
Plassje	Røros
Sandefjord	Sandefjord
Solna gielda	Solna kommune
Stuorradiggi	Stortinget
Moss	Moss
Hitra	Hitra
Voss	Voss
Haugesund	Haugesund
Halden	Halden
Horten	Horten
Art Tatum	Art Tatum
Guido Reni	Guido Reni
Elverum	Elverum
Askim	Askim
Hobøl	Hobøl
Kristiansund	Kristiansund
Bearalváhki	Berlevåg
Odda	Odda
Kongsvinger	Kongsvinger
Ákŋoluokta	Hasvik
Nedre Eiker	Nedre Eiker
Øvre Eiker	Øvre Eiker
Stientjie	Steinkjer
Ringerike	Ringerike
Njaarke	Namsos
Brønnøy	Brønnøy
Vågå	Vågå
Ringsaker	Ringsaker
Fitjar	Fitjar
Bálat	Ballangen
Ål	Ål
Bømlo	Bømlo
Din Daeng	Din Daeng
Førde	Førde
Oppdal	Oppdal
Rømskog	Rømskog
Jondal	Jondal
Unjárga	Nesseby
Upplands-Bro gielda	Upplands-Bro kommune
Danderyda gielda	Danderyd kommune
Lindås	Lindås
Haninge gielda	Haninge kommune
Muosát	Måsøy
Ánddasuolu	Andøy
Botkyrka gielda	Botkyrka kommune
Høyanger	Høyanger
Gáŋgaviika	Gamvik
Tyresö gielda	Tyresö kommune
Eidsberg	Eidsberg
Gáinnasa gielda	Kalix kommune
Österåkera gielda	Österåker kommune
Kaustinena guovlugielda	Kaustby økonomiske region
Yli-Ii	Yli-Ii
Kyōto prefektuvra	Kyoto (prefektur)
Unduláhtta	Undulat
Sosiálademokratiija	Sosialdemokrati
Pertteli	Pertteli
Mearrabađaluokta	Bottenvika
Renée Zellweger	Renée Zellweger
Ōsaka prefektuvra	Osaka (prefektur)
Fukuoka prefektuvra	Fukuoka (prefektur)
Älvdalena gielda	Älvdalen kommune
Kiuruvesi	Kiuruvesi
Vaasa	Vasa
Aretha Franklin	Aretha Franklin
Partille gielda	Partille kommune
Yamagata prefektuvra	Yamagata (prefektur)
Tunguska bávkkiheapmi	Tunguska-eksplosjonen
Čeahka leavga	Tsjekkias flagg
Kanagawa prefektuvra	Kanagawa (prefektur)
Vestlandet	Vestlandet
Vantaa	Vanda
Trøndelága	Trøndelag
Nagano prefektuvra	Nagano (prefektur)
Uummannarsuaq	Kapp Farvel
Mie prefektuvra	Mie (prefektur)
Skiervá	Skjervøy
Čukčá	Storfugl
Røst	Røst
Hyōgo prefektuvra	Hyōgo (prefektur)
Miyazaki prefektuvra	Miyazaki (prefektur)
Lidnu	Hubro
Čáhppesnjukča	Svartsvane
Sonja (Norgga dronnet)	Sonja av Norge
Nominatiiva	Nominativ
Nara prefektuvra	Nara (prefektur)
Rwanda álbmotgoddin	Folkemordet i Rwanda
Wakayama prefektuvra	Wakayama (prefektur)
Shizuoka prefektuvra	Shizuoka (prefektur)
Shiga prefektuvra	Shiga (prefektur)
Márfi	Pølse
Flora	Flora (botanikk)
Harry Houdini	Harry Houdini
Kiinná ođđajahki	Kinesisk nyttår
Cizášfálli	Dvergfalk
Vilgesguolli	Hvithval
Dorotea gielda	Dorotea kommune
Norgga ruvdno	Norsk krone
Niigata prefektuvra	Niigata (prefektur)
Yamanashi prefektuvra	Yamanashi (prefektur)
Shimane prefektuvra	Shimane (prefektur)
Toyama prefektuvra	Toyama (prefektur)
Gro Harlem Brundtland	Gro Harlem Brundtland
Bourg-en-Bresse	Bourg-en-Bresse
Beahci	Furu
Ja, vi elsker dette landet	Ja, vi elsker dette landet
Fukui prefektuvra	Fukui (prefektur)
Ōita prefektuvra	Ōita (prefektur)
Tottori prefektuvra	Tottori (prefektur)
Jyväskylä	Jyväskylä
Howard Walter Florey	Howard Florey
Gárasavvon	Karesuando
Algiers eanangoddi	Alger (provins)
Ruovddagas	Svartspett
Söderhamna gielda	Söderhamn kommune
Fiskesrássešattut	Soleiefamilien
Svolvær	Svolvær
Akkusatiiva	Akkusativ
Violat	Fiolslekten
Suhpi	Osp
Fiskesrásit	Soleieslekta
Skábit	Rogn
Čáhppesjieret	Solbær
Jieret	Hagerips
Gieddemuorji	Markjordbær
Máŋggaidlohku	Pluralis
Ehtemas	Blokkebær
Sáhpal	Fuglevikke
Gollerássi	Bekkeblom
Edgar Rice Burroughs	Edgar Rice Burroughs
З	З
Novealla	Kortroman
Sandvikena gielda	Sandviken kommune
Aram Hačaturjan	Aram Khatsjaturjan
German Titov	German Titov
Carl Gustaf Emil Mannerheim	Carl Gustaf Mannerheim
Silvia	Silvia av Sverige
Joan Miró	Joan Miró
Lennart Meri	Lennart Meri
Bryggen i Bergen	Bryggen i Bergen
Guoládat	Kola (by)
Eurovision lávllagilvvohallan 1957	Eurovision Song Contest 1957
Olav V	Olav V
Haakon VII	Haakon VII
John Singer Sargent	John Singer Sargent
Hurri	Orrfugl
Violašattut	Fiolfamilien
Soahkešattut	Bjørkefamilien
Nellehat	Nellikslekta
Juopmošattut	Slireknefamilien
Larvik	Larvik
Nárttit	Sildreslekta
Muoskkáš	Bukkeblad
Victoria (Ruoŧa ruvdnaprinseassa)	Victoria av Sverige
Skiptvet	Skiptvet
Ørsta	Ørsta
Helga Pedersen	Helga Pedersen
Anniken Huitfeldt	Anniken Huitfeldt
Sofía	Sofia av Spania
Marianne Aasen	Marianne Aasen
Jan Tore Sanner	Jan Tore Sanner
Lupiidnat	Lupiner
Ávžaskábit	Blåheggslekta
Dássesiiddot golmmačiegat	Likesidet trekant
Podokarpusšattut	Gultrefamilien
Bađverásit	Marikåpeslekta
Juomut	Syreslekta
Fiskesrássi	Engsoleie
Guolbbanásti	Skogstjerne
Soahki	Vanlig bjørk
Skierri	Dvergbjørk
Horbmášattut	Mjølkeslekta
Leaibi	Gråor
Veaddemuorji	Teiebær
Njuolggočiegat golmmačiegat	Rettvinklet trekant
Hilsku	Vassarve
Luomi	Multe
Horbmá	Geitrams
Ođđa-Selándda leavga	New Zealands flagg
Saga prefektuvra	Saga (prefektur)
Tokushima prefektuvra	Tokushima (prefektur)
Vándádivga	Linnea
Nuorsá	Reinrose
Sáhpalat	Marimjelleslekta
Suotnjoruški	Myrhatt
Rohtohilsku	Skogstjerneblom
Beivečalbmi	Jåblom
Boallorássi	Ballblom
Niitosáhpal	Gulflatbelg
Boaresgállarássi	Skogstorkenebb
Gieddesáhpal	Stormarimjelle
Gonagasčoalci	Kongsspir
Alit vuodjalasta	Tettegras
Vuodjalasttat	Tettegrasslekta
Gálberássi	Rosenrot
Alitnárti	Rødsildre
Ruksesrássi	Rød jonsokblom
Riessanellet	Silkenellik
Høylandet	Høylandet
Kuopio	Kuopio
Vårt land	Vårt land
Vilgessieđga	Ullvier
Gironlasta	Musøre
Kópavogur	Kópavogur
Einar Gerhardsen	Einar Gerhardsen
Uhcabáiski	Dvergmåke
Herlev	Herlev kommune
Haakon Magnus (Norgga ruvdnaprinsa)	Haakon Magnus av Norge
Ingrid Alexandra (Norgga prinseassa)	Ingrid Alexandra av Norge
Hávga	Gjedde
Huittinen	Huittinen
Ávža	Hegg
Iinnasuolu	Hinnøya
Kveanagiella	Kvensk
Ruonáčáihni	Grønnspett
Njenecat	Nenetsere
Bang Sue	Bang Sue
Bággolonisteapmi	Ekspropriasjon
Mu isamaa, mu õnn ja rõõm	Mu isamaa, mu õnn ja rõõm
Vuoskku	Abbor
Frans Hals	Frans Hals
Gaccepat	Meisefamilien
Robert Frost	Robert Frost
Aïn Defla eanangoddi	Aïn Defla (provins)
Akseli Gallen-Kallela	Akseli Gallen-Kallela
Skuolfi	Snøugle
Uvlohávut	Vepsevåk
Keflavík	Keflavík
Bađošgaccet	Stjertmeis
Janez Drnovšek	Janez Drnovšek
Hálddahusriekti	Norsk forvaltningsrett
Fuolki	Genetisk slektskap
Eurovision lávllagilvvohallan 1956	Eurovision Song Contest 1956
Л	Л
Stuoragiljobaš	Tundragås
Sabehat	Ski (redskap)
Čoavjehávvi	Magesår
Ч	Ч
Ш	Ш
Н	Н
Vilgessoadjeskávli	Grønlandsmåke
Ф	Ф
Bearalskuolfi	Perleugle
Rigaluokta	Rigabukten
Bangkok Yai	Bangkok Yai
Nils Gaup	Nils Gaup
Rivttát	Gratangen
Ålándda sullot	Ålands skärgård
Nordhordland	Nordhordland
Luleju gielda	Luleå kommune
Rievssatfálli	Jaktfalk
Áigi (giellaoahpalaš)	Tempus
Sololá (departemeanta)	Sololá (departement)
Guatemala leavga	Guatemalas flagg
О	О
Vårgårda gielda	Vårgårda
Rievssat	Lirype
Varberga gielda	Varberg kommune
М	М
Vårdö	Vårdö
Ц	Ц
Urho Kekkonen	Urho Kekkonen
Х	Х
У	У
С	С
Ránesbuokča	Gråstrupedykker
Harjumaa	Harju fylke
Pori	Björneborg
Lemi	Lemi
Andrew Lloyd Webber	Andrew Lloyd Webber
Gussagoalsi	Laksand
Й	Й
Р	Р
Lappeenranta	Villmanstrand
Alvesta gielda	Alvesta kommune
Matti Vanhanen	Matti Vanhanen
Щ	Щ
Т	Т
Bakku	Jerpe
Báktegájanas	Ekko
Sande (Vestfolda)	Sande (Vestfold)
Livlánda	Livland
Vordingborg	Vordingborg kommune
Doavtta	Storlom
Uhcačáihni	Dvergspett
Vuohki (giellaoahpalaš)	Grammatisk modus
Pärnumaa	Pärnu fylke
Čáhcevuonccis	Vannrikse
Garðabær	Garðabær
Bájil gielda	Pajala kommune
Joensuu	Joensuu
Ю	Ю
Jambol	Jambol
Burlöva gielda	Burlöv kommune
Lofuohta	Lofoten
Carl Larsson	Carl Larsson
Ruksesčottačuonjá	Rødhalsgås
Järvamaa	Järva fylke
Võrumaa	Võru fylke
Adrar eanangoddi	Adrar (provins)
Ain gielddat	Kommuner i departementet Ain
Eurovision lávllagilvvohallan 1958	Eurovision Song Contest 1958
Kantarella	Kantarell
Lulli-Suoma leatna	Södra Finlands län
Я	Я
Luossa	Laks
Jan Matejko	Jan Matejko
Álbmotdearvvašvuohta	Folkehelse
Vuoktagoalsi	Siland
Karabük eanangoddi	Karabük
Oarje-Virumaa	Lääne-Viru fylke
Nuorta-Virumaa	Ida-Viru fylke
Läänemaa	Lääne fylke
Jõgevamaa	Jõgeva fylke
Inuhkat	Inuitter
Govuskuolfi	Slagugle
Bargiidbellodat	Arbeiderpartiet
NRK	NRK
Gieddeviola	Stemorsblomst
Áhpedoavtta	Islom
Prunus	Kirsebærslekten
Mikkeli	Sankt Michel
Venn-diagrámma	Venn-diagram
Skábma	Polarnatt
Indiačuonjá	Stripegås
Cihceskuolfi	Spurveugle
Bellegarde-sur-Valserine	Bellegarde-sur-Valserine
Ы	Ы
Giljobaš	Dverggås
Э	Э
Põlvamaa	Põlva fylke
Čáhppesbuokča	Horndykker
Viljandimaa	Viljandi fylke
Bartolomé Esteban Murillo	Bartolomé Esteban Murillo
Kotka	Kotka
Norgga fylkkat	Norges fylker
Raplamaa	Rapla fylke
Valgamaa	Valga fylke
Tartumaa	Tartu fylke
Haváijasullot	Hawaiiøyene
Oarje-Suoma leatna	Västra Finlands län
Nokia (gávpot)	Nokia (by)
Selfoss	Selfoss
Ivan Šiškin	Ivan Sjisjkin
Kajaani	Kajana
Bigán	Haukugle
Guksi	Øse
Porvoo	Borgå
Suovasteapmi	Røyking (mat)
Geirangerfjorden	Geirangerfjorden
Arnold Rüütel	Arnold Rüütel
Nuorta-Suoma leatna	Östra Finlands län
Bjørnøya	Bjørnøya
Ruoná lihttu	Gröna förbundet
Dorski	Torsk
Eurovision lávllagilvvohallan 1959	Eurovision Song Contest 1959
Buranovskije Babuški	Buranovskije Babusjki
Ross jiekŋalahtta	Rossbarrieren
Lappi leatna	Lapplands län
Pylkönmäki	Pylkönmäki
Ruoŧa leanat	Sveriges len
Gárggogoalsi	Lappfiskand
Ránesskuolfi	Lappugle
Eurovision lávllagilvvohallan 1961	Eurovision Song Contest 1961
Livkkárat	Fluesnapperfamilien
Ránesčáihni	Gråspett
Meahccevuoncceslottit	Skoghøns
Skoarra	Sjøorre
Ь	Ь
Åstorpa gielda	Åstorp kommune
Finnair	Finnair
Kuivaniemi	Kuivaniemi
Katla (vulkána)	Katla
Eurovision lávllagilvvohallan 1998	Eurovision Song Contest 1998
Oulu leatna	Uleåborgs län
Sergei Stanišev	Sergej Stanisjev
Hämeenlinna	Tavastehus
Juho Kusti Paasikivi	Juho Kusti Paasikivi
Čáhppesmuorji	Krekling
Modalen	Modalen
Beaglečoalbmi	Beaglekanalen
Eurovision lávllagilvvohallan 1960	Eurovision Song Contest 1960
Saaremaa (eanangoddi)	Saare fylke
Höfuðborgarsvæðið	Höfuðborgarsvæðið
Georges de La Tour	Georges de la Tour
Nauvo	Nagu
Gulmmet	Trepigget stingsild
Giepma	Kemi
Kouvola	Kouvola
Suomenniemi	Suomenniemi
Suðurland	Suðurland
Kalundborg	Kalundborg kommune
Vuodjinkoarta	Førerkort
Nurmo	Nurmo
Giron (loddi)	Fjellrype
Beštorat	Erlefamilien
Nøtterøy	Nøtterøy
Alastaro	Alastaro
Urtasat	Urt
Helssega metro	Helsingfors metro
Vilgessealčáihni	Hvitryggspett
Ruvdnaprinsa	Kronprins
Uusikaupunki	Nystad
Davvinuortaeana	Nordaustlandet
Kjell Magne Bondevik	Kjell Magne Bondevik
Olbmoborranrássi	Kvann
Hyvinkää	Hyvinge
Émile Friant	Émile Friant
Ivan Kramskoi	Ivan Kramskoj
Junior Eurovision lávllagilvvohallan 2007	Junior Eurovision Song Contest 2007
Áhpehávda	Praktærfugl
Kokkola	Karleby
Kuusamo	Kuusamo
Gáranasmuorji	Melbær
Kauniainen	Grankulla
Järvenpää	Träskända
Vilgesnjunáhpedoavtta	Gulnebblom
Soluna Samay	Soluna Samay
Bealljerástát	Sidensvanser
Oanehisnjunčuonjá	Kortnebbgås
Girkonjárga	Kirkenes
Eurovision lávllagilvvohallan 1971	Eurovision Song Contest 1971
Risto Ryti	Risto Ryti
Pehr Evind Svinhufvud	Pehr Evind Svinhufvud
Kyösti Kallio	Kyösti Kallio
Daniel (Ruoŧa prinsa)	Daniel av Sverige
Thorbjørn Jagland	Thorbjørn Jagland
Härnösanda gielda	Härnösand kommune
Váđot	Åkerbær
Čáihni	Tretåspett
Urnes stáhpegirku	Urnes stavkirke
Junior Eurovision lávllagilvvohallan 2003	Junior Eurovision Song Contest 2003
Norðurland vestra	Norðurland vestra
Goargohaŋŋá	Stellerand
Salo	Salo
Imatra	Imatra
Jõhvi	Jõhvi
Ъ	Ъ
Time	Time
Napo (provinsa)	Napo (provins)
Islándda presideanta	Islands president
Nærøyfjorden	Nærøyfjorden
Suðurnes	Suðurnes
Antigua Guatemala	Antigua Guatemala
Annaba eanangoddi	Annaba (provins)
Khenchela eanangoddi	Khenchela
Lauri Kristian Relander	Lauri Kristian Relander
Giebmegáisi	Kebnekaise
Duortnus	Torneå
Estelle (Ruoŧa prinseassa)	Estelle av Sverige
Kaarlo Juho Ståhlberg	Kaarlo Juho Ståhlberg
Finddar	Skrubbe
Davvi-Norga	Nord-Norge
John Bauer	John Bauer
Norrtälje gielda	Norrtälje kommune
Suomussalmi	Suomussalmi
Seltjarnarnes	Seltjarnarnes
MacBook Pro	MacBook Pro
Noarsa	Ørekyte
Guovssat	Lavskrike
Junior Eurovision lávllagilvvohallan 2005	Junior Eurovision Song Contest 2005
Tuusula	Tusby
Lohja	Lojo
Giemajohka	Kemi älv
Pastaza (provinsa)	Pastaza (provins)
Thomas Eakins	Thomas Eakins
Junior Eurovision lávllagilvvohallan 2006	Junior Eurovision Song Contest 2006
Junior Eurovision lávllagilvvohallan 2004	Junior Eurovision Song Contest 2004
Helsset-Vantaa girdišillju	Helsingfors-Vanda lufthavn
Idnešattut	Kråkefotplanter
Askøy	Askøy
Eurovision dánsungilvohallan	Eurovision Dance Contest
Batna eanangoddi	Batna (provins)
Béchar eanangoddi	Béchar (provins)
Østlandet	Østlandet
Lievenge	Levanger
Hanko	Hangö
Kerava	Kervo
Sigtuna gielda	Sigtuna kommune
Øyvind Korsberg	Øyvind Korsberg
Suoma leanat	Finlands len
Araukariašattut	Apeskrekkfamilien
Cihrrelastavizar	Bøksanger
Gulen	Gulen
Skierde	Stjørdal
Alstahaug	Alstahaug
Látvia presideanta	Liste over Latvias presidenter
Zonguldak eanangoddi	Zonguldak (provins)
Gangkhar Puensum	Gangker Punsum
Azuay (provinsa)	Azuay
Austurland	Austurland
Space Invaders	Space Invaders
Hälleforsa gielda	Hällefors kommune
Anggun	Anggun
Hillerød	Hillerød kommune
Mostaganem eanangoddi	Mostaganem (provins)
Vesturland	Vesturland
Sollefteå gielda	Sollefteå kommune
Bang Khae	Bang Khae
Tamanrasset eanangoddi	Tamanrasset (provins)
Tindouf eanangoddi	Tindouf (provins)
Oran eanangoddi	Oran (provins)
Laghouat eanangoddi	Laghouat (provins)
Chlef eanangoddi	Chlef (provins)
Constantine eanangoddi	Constantine (provins)
Djelfa eanangoddi	Djelfa (provins)
Tiaret eanangoddi	Tiaret (provins)
Tlemcen eanangoddi	Tlemcen (provins)
Blida eanangoddi	Blida (provins)
Saïda eanangoddi	Saida (provins)
Tizi Ouzou eanangoddi	Tizi Ouzou (provins)
El Oued eanangoddi	El Oued (provins)
Bouïra eanangoddi	Bouira (provins)
Illizi eanangoddi	Illizi (provins)
Béjaïa eanangoddi	Béjaïa (provins)
Aïn Témouchent eanangoddi	Aïn Témouchent (provins)
Naâma eanangoddi	Naama (provins)
Skikda eanangoddi	Skikda (provins)
El Bayadh eanangoddi	El Bayadh (provins)
Oum El Bouaghi eanangoddi	Oum el-Bouaghi (provins)
Ouargla eanangoddi	Ouargla (provins)
Sidi Bel Abbes eanangoddi	Sidi Bel Abbes (provins)
Jijel eanangoddi	Jijel (provins)
Mila eanangoddi	Mila (provins)
Guelma eanangoddi	Guelma (provins)
Tissemsilt eanangoddi	Tissemsilt (provins)
Médéa eanangoddi	Medea (provins)
Tipaza eanangoddi	Tipaza (provins)
Boumerdès eanangoddi	Boumerdès (provins)
Relizane eanangoddi	Relizane (provins)
Souk Ahras eanangoddi	Souk Ahras (provins)
Mascara eanangoddi	Muaskar (provins)
El Taref eanangoddi	El Tarf (provins)
Ў	Ў
Sétif eanangoddi	Sétif (provins)
Citlaltépetl	Pico de Orizaba
Chimborazo (provinsa)	Chimborazo (provins)
Gnesta gielda	Gnesta kommune
Parikkala	Parikkala
Aarhus (gielda)	Aarhus kommune
Markaryda gielda	Markaryd kommune
M'Sila eanangoddi	M'Sila (provins)
Cotopaxi (provinsa)	Cotopaxi (provins)
Norðurland eystra	Norðurland eystra
PZ Myers	PZ Myers
Sumiainen	Sumiainen
Ulvila	Ulvsby
Guohcarássi	Finnmarkspors
Vingåkera gielda	Vingåker kommune
Hjelmeland	Hjelmeland
Gollegiella	Gollegiella
Sveitarfélagið Árborg	Sveitarfélagið Árborg
Árneshreppur	Árneshreppur
Árnessýsla	Árnessýsla
Cerro Chirripó	Cerro Chirripó
Divrrát	Dyrøy
Bamse	Bamse (tegneserie)
Ásahreppur	Ásahreppur
Ávvir	Ávvir
Älmhulta gielda	Älmhult kommune
Älvsbyna gielda	Älvsbyn kommune
Gjesdal	Gjesdal
Ängelholma gielda	Ängelholm kommune
Ballerup	Ballerup kommune
Kråangke	Grong
Äänekoski guovlugielda	Äänekoski økonomiske region
Jiellevári gielda	Gällivare
Suonenjoki	Suonenjoki
Luoto	Larsmo
Speallanhálla	Spillehall
Islánddaheasta	Islandshest
Émile Bernard	Émile Bernard
Hööra gielda	Höör kommune
Bordj Bou Arréridj eanangoddi	Bordj Bou Arréridj (provins)
Mjölby gielda	Mjölby kommune
Tébessa eanangoddi	Tébessa (provins)
Bengtsforsa gielda	Bengtsfors kommune
Turunmaa guovlugielda	Åboland
Åfjord	Åfjord
Åmot	Åmot
Åmåla gielda	Åmål kommune
Ånge gielda	Ånge kommune
Årdal	Årdal
Åre gielda	Åre kommune
Åsele gielda	Åsele kommune
Åtvidaberga gielda	Åtvidaberg kommune
Damon Albarn	Damon Albarn
Juvénal Habyarimana	Juvénal Habyarimana
Pichincha (provinsa)	Pichincha
Çankırı eanangoddi	Çankırı (provins)
Siv Jensen	Siv Jensen
Borgarnes	Borgarnes
Hvalfjarðarsveit	Hvalfjarðarsveit
Romssa universitehta	Universitetet i Tromsø – Norges arktiske universitet
Värnamo gielda	Värnamo kommune
Gáranasmuorjjit	Arctostaphylos
Elisabeth Aspaker	Elisabeth Aspaker
Tove Karoline Knutsen	Tove Karoline Knutsen
Per-Willy Amundsen	Per-Willy Amundsen
Tårnby	Tårnby kommune
Ilomantsi	Ilomants
Nora gielda	Nora kommune
Karstula	Karstula
Erna Solberg	Erna Solberg
Ísafjarðarbær	Ísafjarðarbær
Jenni Haukio	Jenni Haukio
Öckerö gielda	Öckerö kommune
Ödeshöga gielda	Ödeshög kommune
Imatra guovlogielda	Imatra økonomiske region
Lappeenranta guovlugielda	Villmanstrands økonomiske region
Mikkeli guovlogielda	Sankt Michels økonomiske region
Pieksämäki guovlogielda	Pieksämäki økonomiske region
Savonlinna guovlogielda	Nyslotts økonomiske region
Kajaani guovlogielda	Kajana økonomiske region
Kehys-Kainuu guovlogielda	Kehys-Kainuu
Forssa guovlogielda	Forssa økonomiske region
Hämeenlinna guovlugielda	Tavastehus økonomiske region
Riihimäki guovlugielda	Riihimäki økonomiske region
Kokkola guovlugielda	Karleby økonomiske region
Joutsa guovlogielda	Joutsa økonomiske region
Jyväskylä guovlugielda	Jyväskylä økonomiske region
Jämsä guovlugielda	Jämsä økonomiske region
Keuruu guovlugielda	Keuruu økonomiske region
Saarijärvi–Viitasaari guovlugielda	Saarijärvi-Viitasaari økonomiske region
Kotka–Hamina guovlugielda	Kotka-Fredrikshamns økonomiske region
Kouvola guovlugielda	Kouvola økonomiske region
Sveitarfélagið Ölfus	Sveitarfélagið Ölfus
Örebro gielda	Örebro kommune
Örkelljunga gielda	Örkelljunga kommune
Örnsköldsvika gielda	Örnsköldsvik kommune
Konstantin Päts	Konstantin Päts
Aalborg (gielda)	Aalborg kommune
IPhone 4	IPhone 4
Järfälla gielda	Järfälla kommune
