આફ્રિકા	Afrika
ડિસેમ્બર ૩૦	30. desember
ડિસેમ્બર ૩૧	31. desember
ઓક્ટોબર ૧	1. oktober
ઓક્ટોબર ૧૫	15. oktober
ઓક્ટોબર ૧૨	12. oktober
ઓક્ટોબર ૧૦	10. oktober
ઓક્ટોબર ૧૪	14. oktober
ઓક્ટોબર ૯	9. oktober
ઓક્ટોબર ૮	8. oktober
ઓક્ટોબર ૧૩	13. oktober
ઓક્ટોબર ૭	7. oktober
ઓક્ટોબર ૧૧	11. oktober
ઓક્ટોબર ૬	6. oktober
ઓક્ટોબર ૪	4. oktober
ઓક્ટોબર ૫	5. oktober
ઓક્ટોબર ૩	3. oktober
ઓક્ટોબર ૨	2. oktober
બકરી	Geit
ઓક્ટોબર ૩૧	31. oktober
ઓક્ટોબર ૩૦	30. oktober
ઓક્ટોબર ૨૯	29. oktober
ઓક્ટોબર ૨૮	28. oktober
ઓક્ટોબર ૨૬	26. oktober
ઓક્ટોબર ૨૫	25. oktober
ઓક્ટોબર ૨૪	24. oktober
ઓક્ટોબર ૨૭	27. oktober
ઓક્ટોબર ૨૨	22. oktober
ઓક્ટોબર ૨૩	23. oktober
ઓક્ટોબર ૨૦	20. oktober
ઓક્ટોબર ૨૧	21. oktober
ઓક્ટોબર ૧૯	19. oktober
ઓક્ટોબર ૧૭	17. oktober
ઓક્ટોબર ૧૬	16. oktober
ઓક્ટોબર ૧૮	18. oktober
નવેમ્બર ૧૫	15. november
નવેમ્બર ૧૪	14. november
નવેમ્બર ૧૩	13. november
નવેમ્બર ૧૨	12. november
નવેમ્બર ૧૧	11. november
નવેમ્બર ૧૦	10. november
નવેમ્બર ૭	7. november
નવેમ્બર ૮	8. november
નવેમ્બર ૯	9. november
નવેમ્બર ૬	6. november
નવેમ્બર ૫	5. november
નવેમ્બર ૪	4. november
નવેમ્બર ૩	3. november
નવેમ્બર ૨	2. november
નવેમ્બર ૧	1. november
પારામારિબો	Paramaribo
નવેમ્બર ૩૦	30. november
નવેમ્બર ૨૯	29. november
નવેમ્બર ૨૮	28. november
નવેમ્બર ૨૭	27. november
નવેમ્બર ૨૬	26. november
નવેમ્બર ૨૫	25. november
નવેમ્બર ૨૩	23. november
નવેમ્બર ૨૪	24. november
નવેમ્બર ૨૧	21. november
નવેમ્બર ૨૦	20. november
નવેમ્બર ૨૨	22. november
નવેમ્બર ૧૯	19. november
નવેમ્બર ૧૮	18. november
નવેમ્બર ૧૭	17. november
નવેમ્બર ૧૬	16. november
કાઠમંડુ	Katmandu
સીડની	Sydney
મેલબોર્ન	Melbourne
પર્થ	Perth (Australia)
નાઈલ નદી	Nilen
કોંગો નદી	Kongo (elv)
ધૂમકેતુ	Komet
જાકાર્તા	Jakarta
જાવા (ટાપુ)	Java (øy)
એડિડાસ	Adidas
વિકિપીડિયા:પ્રયોગસ્થળ	Wikipedia:Sandkasse
વિકિપીડિયા:સ્વાગત	Wikipedia:Introduksjon
કમ્પ્યુટર હાર્ડવેર	Maskinvare
નકશો	Kart
નવસાર	Ammoniakk
ડૉંગ હેકટર એરપોર્ટ	Dong Hoi lufthavn
શૂન્યાવકાશ	Ytre rom
ખગોળીય દૂરબીન	Teleskop
માઇલી સાઇરસ	Miley Cyrus
માર્જરિન	Margarin
મધરબોર્ડ	Hovedkort
USB ડ્રાઇવ	Minnepinne
પંજાબ (પાકિસ્તાન)	Punjab (Pakistan)
કન્ફ્યુશિયસ	Konfucius
કોર્બીન બ્લુ	Corbin Bleu
શ્રેણી:ગણિત	Kategori:Matematikk
ફરો દ્વિપસમૂહ	Færøyene
સુરત	Surat
સાયપ્રસનો રાષ્ટ્રધ્વજ	Kypros' flagg
બાલી	Bali
માળો (પક્ષી)	Fuglerede
લૅરી પેજ	Larry Page
ગંગા નદી	Ganges
સેલિન ડીયોન	Céline Dion
ખંડ	Kontinent
એડિલેઇડ	Adelaide
પક્ષી	Fugler
રાજધાની	Hovedstad
ઢાંચો:ઇસ્લામ	Mal:Islam
ગુજરાતી ભાષા	Gujarati
મહિનો	Måned
ઢાંચો:Portal	Mal:Portal
હુઆંગ ઝીયાન-ફાન	Huang Xian-fan
બિલ ગેટ્સ	Bill Gates
કમ્પ્યુટર મોનિટર	Skjerm (monitor)
જ્ઞાનકોશ	Encyklopedi
મુખપૃષ્ઠ	Portal:Forside
સિંધવ	Halitt
બાસ્કેટબોલ (રમત)	Basketball
ક્રિકેટ	Cricket
યુરેશીયા	Eurasia
હિમાલય	Himalaya
કેપ ટાઉન	Cape Town
કેસ્પિયન સમુદ્ર	Det kaspiske hav
વિન્સેન્ટ વેન ગો	Vincent van Gogh
વૅલેન્શિયા નો પ્રદેશ	Comunitat Valenciana
મોહેં-જો-દડો	Mohenjo-Daro
પેટ્રા	Petra (Jordan)
એવર્ટન ફૂટબોલ ક્લબ	Everton FC
મક્કા	Mekka
ચે ગૂવેરા	Che Guevara
નોવાક યોકોવિચ	Novak Đoković
એરબસ એ ૩૮૦	Airbus A380
ચિચેન ઇત્ઝા	Chichen Itza
તમિલ ભાષા	Tamilsk
ચા	Te
માર્કો પોલો	Marco Polo
પોર્ટલેન્ડ, ઑરેગોન	Portland
મૂડીવાદ	Kapitalisme
હિલેરી ક્લિન્ટન	Hillary Clinton
કોનકોર્ડ	Aérospatiale-BAC Concorde
ડોનાલ્ડ ડક	Donald Duck
સ્ટ્રાસબોર્ગ (ફ્રાન્સ)	Strasbourg
ક્રોએશિયન ભાષા	Kroatisk
શેતાન	Djevel
રેનો	Renault
કાલિદાસ	Kālidāsa
ઉલ્કાઓ	Meteoroide
જૈવ તકનીક	Bioteknologi
વિશ્વ બેંક	Verdensbanken
લોકશાહી	Demokrati
વૈશ્વિકરણ	Globalisering
નોબૅલ પારિતોષિક	Nobelprisen
ઇંગ્લેન્ડના એલિઝાબેથ પ્રથમ	Elisabeth I av England
રવિન્દ્રનાથ ટાગોર	Rabindranath Tagore
માર્ક ટ્વેઇન	Mark Twain
ઍલન ટ્યુરિંગ	Alan Turing
આતંકવાદ	Terrorisme
નાઝીવાદ	Nasjonalsosialisme
વાસ્કો દ ગામા	Vasco da Gama
સિંધુ	Indus
કાન	Øre
આંખ	Øye
ગીત	Sang
હાથી	Elefanter
કીડી	Maur
આન્દ્રે અગાસી	Andre Agassi
રીંગણ	Aubergine
હિમવર્ષા	Snø
ડેબિયન	Debian
વિશ્વ વેપાર સંગઠન	Verdens handelsorganisasjon
ચાઇનીઝ ભાષા	Kinesisk
કુદરત	Natur
રક્ત	Blod
કંકાલતંત્ર	Skjelett
ફેફસાં	Lunge
મેઘ	Regn
વૈશ્વિક ઉષ્ણતા	Global oppvarming
ધરતીકંપ	Jordskjelv
સત્ય	Sannhet
કોમ્પ્યુટર માઉસ	Datamus
નેલ્સન મંડેલા	Nelson Mandela
માર્ટિન લ્યૂથર કિંગ	Martin Luther King jr.
અવતરણ ચિહ્ન	Anførselstegn
કુદરતી આફતો	Naturkatastrofe
પૂર	Flom
સુનામી	Tsunami
જ્વાળામુખી	Vulkan
વાદળ	Sky
ત્રિકોણમિતિ	Trigonometri
ભૂમિતિ	Geometri
તેલુગુ ભાષા	Telugu
ગ્રીક મૂળાક્ષરો	Det greske alfabetet
શ્રેણી:ફ્રાન્સ	Kategori:Frankrike
શ્રેણી:સંગીત	Kategori:Musikk
શ્રેણી:સાહિત્ય	Kategori:Litteratur
નવલકથા	Roman
મહાભારત	Mahabharata
હેરી પોટર	Harry Potter
મશક વાજું	Sekkepipe
પીડોફિલિયા (બાળ યૌનશોષણ)	Pedofili
સિકંદર	Aleksander den store
સંસ્કૃતિ	Sivilisasjon
પુરુષ	Mann
લગ્ન	Ekteskap
ફાંસીની સજા	Dødsstraff
ગુલામી પ્રથા	Slaveri
દૂધ	Melk
પર્વત	Fjell
અશોક	Ashoka den store
અકબર	Akbar den store
હોંગકોંગ	Hongkong
કરાચી	Karachi
લાગોસ	Lagos
આર્કિમીડીઝ	Arkimedes
થૉમસ ઍડિસન	Thomas Edison
યુક્લિડ	Euklid
ડોમેન નામ પ્રણાલી	Domain Name System
સંકેતલિપિ	Kryptografi
ઈન્ટરનેટ પ્રોટોકોલ	Internet Protocol
પ્રસારણ નિયંત્રણ પ્રોટોકોલ	TCP
યુનિકોડ	Unicode
સત્યજીત રે	Satyajit Ray
નક્ષત્ર	Stjernebilde
નૉર્વેજિયન ભાષા	Norsk
ચાણક્ય	Chanakya
નોઆમ ચોમ્સ્કી	Noam Chomsky
મુસા	Moses
હિંદુ ધર્મ	Hinduisme
અણુ	Atom
પ્રકાશ	Lys
તાજ મહેલ	Taj Mahal
ઇ-મેઇલ	E-post
ફારસી ભાષા	Persisk
ઇબ્રાહિમ	Abraham (bibelsk person)
યુનાઇટેડ સ્ટેટ્સ આર્મી	United States Army
જૈન ધર્મ	Jainisme
યહૂદી ધર્મ	Jødedom
લાઓત્સે	Laozi
જીમેઇલ	Gmail
યોગ	Yoga
સિમા કીઆન	Sima Qian
મનોવિજ્ઞાન	Psykologi
મહાવીર સ્વામી	Mahavira
ટિમ્બક્ટુ	Timbuktu
દિગંબર	Digambara
મુહમ્મદ	Muhammed
આઇપોડ	IPod
સચિન તેંડુલકર	Sachin Tendulkar
અબ્દુલ કલામ	Abdul Kalam
બીબીસી	BBC
શાહરૂખ ખાન	Shah Rukh Khan
સલમાન ખાન	Salman Khan
કૅટરિના કૈફ	Katrina Kaif
આમિર ખાન	Aamir Khan
અમિતાભ બચ્ચન	Amitabh Bachchan
કન્ફયુસીયસ ધર્મ	Konfucianisme
તાઓ ધર્મ	Taoisme
જરથોસ્તી ધર્મ	Zoroastrisme
બંગાળી ભાષા	Bengali
જીભ	Tunge
ચેલ્સી ફૂટબોલ ક્લબ	Chelsea FC
આર્સેનલ ફૂટબોલ ક્લબ	Arsenal FC
સ્વાદુપિંડ	Bukspyttkjertel
ફૉકલેન્ડ ટાપુઓ	Falklandsøyene
બ્લૂઝ	Blues
પ્રાથમિક શાળા	Grunnskole
સેલમ	Salem (India)
કોઇમ્બતુર	Coimbatore
મૈસૂર	Mysore
રફેલ નડાલ	Rafael Nadal
રાહુલ ગાંધી	Rahul Gandhi
ભારતીય રાષ્ટ્રીય કોંગ્રેસ	Kongresspartiet
ભારતીય જનતા પાર્ટી	Bharatiya Janata Party
દિવાળી	Divali
દરિયાઈ બોગદું (ઇંગ્લેન્ડ-ફ્રાન્સ)	Kanaltunnelen
હોળી	Holi
પાયથાગોરસ	Pythagoras
નવરાત્રી	Navratri
દશેરા	Vijayadasami
કોલોસીયમ	Colosseum
સપ્તર્ષિ	Karlsvognen
ડેવિડ બેકહામ	David Beckham
આવર્ત કોષ્ટક	Periodesystemet
કબૂતર	Duer
અંધાપો	Blindhet
ચીઝ	Ost
દ્રાક્ષ	Druer
ટાઇગર વુડ્સ	Tiger Woods
બટાકાં	Potet
શાકભાજી	Grønnsak
સ્નૂકર	Snooker
ઇજનેરી	Ingeniørvitenskap
પ્રત્યાયન	Kommunikasjon
સંસ્કૃત ભાષા	Sanskrit
રુધિરાભિસરણ તંત્ર	Sirkulasjonssystem
IPv4	IPv4
IP એડ્રેસ	IP-adresse
પ્રશ્નચિહ્ન	Spørsmålstegn
વર્લ્ડ ટ્રેડ સેન્ટર	Verdens handelssenter i New York
ફ્રિડમ ટાવર	One World Trade Center
ફિડલ કાસ્ટ્રો	Fidel Castro
મેનહટન	Manhattan
તત્વ	Grunnstoff
આર્યભટ્ટ	Aryabhata
શિવ	Shiva
વિષ્ણુ	Vishnu
લોકલ એરિયા નેટવર્ક	Lokalnett
વાઈડ એરિયા નેટવર્ક	Vidstrakt datanett
વિદ્યુત-ચુંબકીય તરંગો	Elektromagnetisk stråling
બ્રહ્મા	Brahma
બળ	Kraft
ચુંબકીયક્ષેત્ર	Magnetfelt
ગુરુત્વાકર્ષણ	Tyngdekraft
માર્શલ આર્ટસ	Kampkunst
જુડો	Judo
દળ	Masse
ધાતુ	Metall
વાયુ	Gass
પ્રવાહી	Væske
ઘન	Faststoff
કૃષિ	Landbruk
કપાસ	Bomull
કપડાં	Klær
તાપમાન	Temperatur
ધાતુશાસ્ત્ર	Metallurgi
કાગળ	Papir
ક્ષેત્રફળ	Areal
દેનપસાર	Denpasar
સેકન્ડ	Sekund
મકાઈ	Mais
માટીકામ	Pottemaker
સ્ટેફી ગ્રાફ	Steffi Graf
હવામાન	Vær (meteorologi)
લાહોર	Lahore
મેસોપોટેમીયા	Mesopotamia
પ્રાચીન ઇજિપ્ત	Oldtidens Egypt
ગુપ્ત સામ્રાજ્ય	Guptariket
સ્લીપિંગ બ્યૂટી	Tornerose
સિન્ડ્રેલા	Askepott
રાજકોટ	Rajkot
જુનાગઢ	Junagadh
વડોદરા	Vadodara
ગાંધીનગર	Gandhinagar
મિકી માઉસ	Mikke Mus
પ્રકાશસંશ્લેષણ	Fotosyntese
કર્કરોગ (કેન્સર)	Kreft
ઘઉં	Hveteslekten
બધિરતા	Døvhet
ગ્રેગોરીયન પંચાંગ	Gregoriansk kalender
નિકોટિન	Nikotin
હૃદયરોગનો હુમલો	Hjerteinfarkt
મલેરિયા	Malaria
કુપોષણ	Feilernæring
ગુપ્તરોગ	Seksuelt overførbar infeksjon
એડ્સ	Aids
ક્ષય રોગ	Tuberkulose
મધુપ્રમેહ	Diabetes
ઢાંચો:Location map India	Mal:Kartposisjon India
બુર્જ દુબઈ	Burj Khalifa
ચીનની મહાન દિવાલ	Den kinesiske mur
પિરામિડ	Pyramide (byggverk)
ફેશન	Mote
તલવાર	Sverd
પેલે	Pelé
જયોર્જ સોરોસ	George Soros
સ્ટ્રોબેરી	Hagejordbær
વર્ડપ્રેસ	WordPress
લીચી (ફળ)	Litchi
નારિયેળ	Kokospalme
દાડમ	Granateple
સંતરુ (ફળ)	Appelsin
રાજસ્થાની ભાષા	Rajasthani
આઇસ્ક્રીમ	Iskrem
ઢાંચો:Location map Canada	Mal:Kartposisjon Canada
નિરોધ	Kondom
ડોલર	Dollar
વડાપ્રધાન	Premierminister
માછીમારી	Fiske
થોર	Kaktusfamilien
ગરમ મસાલો	Garam masala
ઘર ચકલી	Gråspurv
મકાઉ	Macao
એ.એસ.એલ.વી.યાન	Augmented Satellite Launch Vehicle
હુ જિન્તાઓ	Hu Jintao
જિરાફ	Sjiraff
અરિયાલુર જિલ્લો	Ariyalur (distrikt)
ચેન્નઈ જિલ્લો	Chennai (distrikt)
કોઇમ્બતુર જિલ્લો	Coimbatore (distrikt)
કડ્ડલોર જિલ્લો	Cuddalore (distrikt)
ધર્મપુરી જિલ્લો	Dharmapuri (distrikt)
દિંડીગુલ જિલ્લો	Dindigul (distrikt)
ઇરોડ જિલ્લો	Erode (distrikt)
કાચીપુરમ જિલ્લો	Kanchipuram (distrikt)
કન્યાકુમારી જિલ્લો	Kanyakumari (distrikt)
મુછ	Bart
સોવિયેત યુનિયન	Sovjetunionen
કરુર જિલ્લો	Karur (distrikt)
કૃષ્ણાગિરિ જિલ્લો	Krishnagiri (distrikt)
મદુરાઇ જિલ્લો	Madurai (distrikt)
રામનાથપુરમ જિલ્લો	Ramanathapuram (distrikt)
સેલમ જિલ્લો	Salem (distrikt)
થંજાવુર જિલ્લો	Thanjavur (distrikt)
શિવગંગાઇ જિલ્લો	Sivaganga (distrikt)
થેની જિલ્લો	Theni (distrikt)
તિરુવરુર જિલ્લો	Tiruvarur (distrikt)
તિરુનેલવેલી જિલ્લો	Tirunelveli (distrikt)
તિરુવલ્લુર જિલ્લો	Tiruvallur (distrikt)
વિલુપ્પુરમ જિલ્લો	Viluppuram (distrikt)
વેલ્લોર જિલ્લો	Vellore (distrikt)
તિરુવનામલઇ જિલ્લો	Tiruvannamalai (distrikt)
વિરુધુનગર જિલ્લો	Virudhunagar (distrikt)
અદિલાબાદ જિલ્લો	Adilabad (distrikt)
અનંતપુર જિલ્લો	Anantapur (distrikt)
ચિત્તૂર જિલ્લો	Chittoor (distrikt)
મદ્યપાન	Alkoholisme
પૂર્વ ગોદાવરી જિલ્લો	East Godavari (distrikt)
હૈદરાબાદ જિલ્લો	Hyderabad (distrikt)
ગુન્ટૂર જિલ્લો	Guntur (distrikt)
ખમ્મમ જિલ્લો	Khammam (distrikt)
કરીમનગર	Karimnagar (distrikt)
મહેબૂબનગર જિલ્લો	Mahbubnagar (distrikt)
કુર્નૂલ	Kurnool (distrikt)
કૃષ્ણા જિલ્લો	Krishna (distrikt)
નેલ્લોર જિલ્લો	Sri Amarajeevi Potti Sri Ramulu Nellore (distrikt)
નાલગોંડા જિલ્લો	Nalgonda (distrikt)
મેદક જિલ્લો	Medak (distrikt)
રંગારેડ્ડી જિલ્લો	Rangareddi (distrikt)
પ્રકાસમ જિલ્લો	Prakasam (distrikt)
નિઝામાબાદ જિલ્લો	Nizamabad (distrikt)
વિજયનગર જિલ્લો	Vizianagaram (distrikt)
વિશાખાપટનમ જિલ્લો	Visakhapatnam (distrikt)
શ્રીકાકુલમ જિલ્લો	Srikakulam (distrikt)
વારંગલ જિલ્લો	Warangal (distrikt)
પશ્ચિમ ગોદાવરી જિલ્લો	West Godavari (distrikt)
અંજા જિલ્લો	Anjaw (distrikt)
ચેંગલોન્ગ જિલ્લો	Changlang (distrikt)
પપુમપારે જિલ્લો	Papum Pare (distrikt)
લોહિત જિલ્લો	Lohit (distrikt)
ઉપરી દિબાંગ ઘાટી જિલ્લો	Dibang Valley (distrikt)
તિરપ જિલ્લો	Tirap (distrikt)
તવાંગ જિલ્લો	Tawang (distrikt)
ઉપરી સુબનસિરી જિલ્લો	Upper Subansiri (distrikt)
ઉપરી સિયાંગ જિલ્લો	Upper Siang (distrikt)
C (પ્રોગ્રામિંગ ભાષા)	C (programmeringsspråk)
બ્રુસ લી	Bruce Lee
વીલેન	VLAN
વિકિપીડિયા:ચોતરો	Wikipedia:Tinget
કમળ	Lotusrot
વર્મોન્ટ	Vermont
સેન જોસ, કેલિફોર્નિયા	San Jose
હ્યુસ્ટન	Houston
હોસ્પિટલ	Sykehus
ઘડિયાલ	Gangesgavial
વિમાનવાહક જહાજ	Hangarskip
મોબાઇલ ફોન	Mobiltelefon
શેફિલ્ડ ફૂટબોલ ક્લબ	Sheffield FC
માન્ચેસ્ટર યુનાઇટેડ ફૂટબોલ ક્લબ	Manchester United FC
સ્વાનસી સિટી એસોસિયેશન ફૂટબોલ ક્લબ	Swansea City AFC
કાર્ડિફ સિટી ફૂટબૉલ ક્લબ	Cardiff City FC
એસ્ટોન વિલા ફૂટબોલ ક્લબ	Aston Villa FC
ન્યૂકેસલ યુનાઇટેડ ફૂટબોલ ક્લબ	Newcastle United FC
ક્વીન્સ પાર્ક રેન્જર્સ ફૂટબોલ ક્લબ	Queens Park Rangers FC
સાઉધમ્પ્ટન ફૂટબોલ ક્લબ	Southampton FC
સ્ટોક સિટી ફૂટબોલ ક્લબ	Stoke City FC
સન્ડરલેન્ડ એસોસિયેશન ફૂટબોલ ક્લબ	Sunderland AFC
ટોટનમ હોટ્સ્પર ફૂટબોલ ક્લબ	Tottenham Hotspur FC
વેસ્ટ બ્રોમવિચ એલ્બિયન ફૂટબોલ ક્લબ	West Bromwich Albion FC
વિગાન એથલેટિક ફૂટબૉલ ક્લબ	Wigan Athletic FC
તાડ બિલાડી	Asiatisk palmesivett
બગલો	Hegrefamilien
વૈશ્વિક સ્થળનિર્ધારણ પ્રણાલી	NAVSTAR Global Positioning System
સ્ક્રિલ્લેક્સ	Skrillex
હોટલ તાજ મહેલ પેલેસ	Taj Mahal Palace & Tower
વિંછી (પ્રાણી)	Skorpioner
ફિફા વિશ્વ કપ	Verdensmesterskapet i fotball
બર્મિંગહામ સિટી ફૂટબૉલ ક્લબ	Birmingham City FC
બ્લેકબર્ન રોવર્સ ફૂટબૉલ ક્લબ	Blackburn Rovers FC
બર્નલી ફૂટબોલ ક્લબ	Burnley FC
ક્રિસ્ટલ પેલેસ ફૂટબોલ ક્લબ	Crystal Palace FC
ડર્બી કાઉન્ટી ફૂટબૉલ ક્લબ	Derby County FC
હલ સિટી એસોસિયેશન ફૂટબોલ ક્લબ	Hull City AFC
લેસ્ટર સિટી ફૂટબૉલ ક્લબ	Leicester City FC
નોટિંગહામ ફોરેસ્ટ ફૂટબૉલ ક્લબ	Nottingham Forest FC
શેફિલ્ડ વેડન્ઝડે ફૂટબૉલ ક્લબ	Sheffield Wednesday FC
વોલ્વરહેમ્પ્ટન વેન્ડરર્સ ફૂટબૉલ ક્લબ	Wolverhampton Wanderers FC
વેબ શોધ એન્જીન	Søkemotor
આલ્ક્લાઇન પાર્થિવ ધાતુ	Jordalkalimetall
કોલા હોલ	Det superdype borehullet på Kolahalvøya
અર્ધધાતુ	Halvmetall
પબ્લિક ડોમેન	Offentlig eiendom
પ્યૂએર્ટો રિકન ઈન્ડીપેન્ડન્સ પાર્ટી	Partido Independentista Puertorriqueño
થેમ્સ	Themsen
નાતાલ	Jul
લિપ વર્ષ	Skuddår
લેડી ગાગા	Lady Gaga
વાઘ	Tiger
સેમસંગ	Samsung
બીગલ	Beagle
કુર્કુટાકાર	Hønsefugler
ડુબકી કુટુંબ	Lappedykkere
ઑડિશા	Odisha
GFDL	GNU fri dokumentasjonslisens
પંજાબ, ભારત	Punjab (India)
અક્ષાંશ-રેખાંશ	Geografiske koordinater
યુઇએફએ યૂરો ૨૦૧૨	EM i fotball 2012
બેંક	Bank
આયરલેંડનું ગણતંત્ર	Irland (øy)
અઠવાડિયું	Ukedager
હરણ	Hjortedyr
લસણ	Hvitløk
કાકડી	Agurk
કાળો	Svart
ડુંગળી	Vanlig løk
નાસા	NASA
એટલાન્ટા, જ્યોર્જિયા	Atlanta
વેલિંગ્ટન	Wellington
૧૦ (અંક)	10 (tall)
પરમાણુ ક્રમાંક	Atomnummer
ચિત્તો	Gepard
કસ્તુરી	Svarttrost
કબુત	Gråhegre
ખજૂર	Daddelpalme
વંદો	Kakerlakker
મૃદુકાય સમુદાય	Bløtdyr
માછીમાર	Fiskeørn
શેવાળ	Bladmoser
તારા માછલી	Sjøstjerner
સફેદ ઢોંક	Stork
બાજ (પક્ષી)	Hønsehauk
દસાડી	Sothøne
આગિયો	Lysbiller
નાની ડુબકી	Dvergdykker
ચોટીલી ડુબકી	Toppdykker
જળ કાગડો	Storskarv
સીંગપર (બતક)	Stjertand
વિલાયતી પટ્ટાઇ	Myrhauk
અબલખ	Tjeld
થ્રશ કુટુંબ	Troster
પાન પટ્ટાઇ	Sivhauk
કલવેતીયો	Toppand
જ્યોર્જીયા (દેશ)નો રાષ્ટ્રધ્વજ	Georgias flagg
ઉપગ્રહ પ્રક્ષેપણ યાન	Kunstig satellitt
યાક	Jak
પટ્ટી પટ્ટાઇ	Enghauk
હમ્પી	Hampi
લવિંગ	Kryddernellik
કાચબરંગી	Steinvender
લક્ષદ્વીપ	Lakkadivene
અશેળિયો	Karse
એસી/ડીસી	AC/DC
ક્રિસ્ટાડેલ્ફિઅન્સની	Kristadelfianere
કાલિકોટ જિલ્લો, નેપાળ	Kalikot distrikt
કૈલાલી જિલ્લો, નેપાળ	Kailali distrikt
તજ	Kanel
અમ્હારિક ભાષા	Amharisk
ચામાચિડિયું	Flaggermus
અછામ જિલ્લો, નેપાળ	Achham distrikt
નુવાકોટ જિલ્લો, નેપાળ	Nuwakot distrikt
અર્ઘખાંચી જિલ્લો, નેપાળ	Arghakhanchi distrikt
મનાંગ જિલ્લો, નેપાળ	Manang distrikt
કાસ્કી જિલ્લો, નેપાળ	Kaski distrikt
રુપનડેહી જિલ્લો, નેપાળ	Rupandehi distrikt
પાલપા જિલ્લો, નેપાળ	Palpa distrikt
દૈલેખ જિલ્લો, નેપાળ	Dailekh distrikt
સિંધુપાલચોક જિલ્લો, નેપાળ	Sindhulpalchok-distriktet
તનહઊ જિલ્લો, નેપાળ	Tanahu distrikt
બાંકે જિલ્લો, નેપાળ	Banke distrikt
સ્યાંગજા જિલ્લો, નેપાળ	Syangja distrikt
ભક્તપુર જિલ્લો, નેપાળ	Bhaktapur distrikt
ધાદિંગ જિલ્લો, નેપાળ	Dhading distrikt
બરદિયા જિલ્લો, નેપાળ	Bardia distrikt
વાળ	Hår
ગોરખા જિલ્લો, નેપાળ	Gorkha distrikt
કાર્વેપાલનચોક જિલ્લો, નેપાળ	Kavrepalanchok distrikt
સલ્યાન જિલ્લો, નેપાળ	Salyan distrikt
ગુલ્મી જિલ્લો, નેપાળ	Gulmi distrikt
કપિલવસ્તુ જિલ્લો, નેપાળ	Kapilvastu distrikt
નવલપરાસી જિલ્લો, નેપાળ	Nawalparasi distrikt
સુરખેત જિલ્લો, નેપાળ	Surkhet distrikt
મુગુ જિલ્લો, નેપાળ	Mugu distrikt
રોલ્પા જિલ્લો, નેપાળ	Rolpa distrikt
રસુવા જિલ્લો, નેપાળ	Rasuwa distrikt
રુકુમ જિલ્લો, નેપાળ	Rukum distrikt
જુમલા જિલ્લો, નેપાળ	Jumla distrikt
હુમલા જિલ્લો, નેપાળ	Humla distrikt
કોળિક્કોટ્	Kozhikode
પાયથોન(પ્રોગ્રામિંગ ભાષા)	Python
ઇસ્લામીક પંચાંગ	Islamsk kalender
ચકલી	Spurvefamilien
કંચનપુર જિલ્લો, નેપાળ	Kanchanpur distrikt
લામજુંગ જિલ્લો, નેપાળ	Lamjung distrikt
આસામીઝ ભાષા	Assamesisk
જાજરકોટ જિલ્લો, નેપાળ	Jajarkot distrikt
અવધી ભાષા	Awadhi
મધર ટેરેસા	Moder Teresa
પૂર્વ તિમોરનો રાષ્ટ્રધ્વજ	Øst-Timors flagg
હેણોતરો	Karakal
બ્લૉગ	Blogg
જલગાંવ	Jalgaon
ડેન્ગ્યુ	Dengue
ક્રિસમસ દ્વીપ	Christmasøya
મોવેમ્બર	Movember
લોફ્ટસ રોડ સ્ટેડિયમ	Loftus Road
હાથોર્ન્સ	The Hawthorns
સ્ટેડિયમ ઓફ લાઈટ	Stadium of Light
મેષ રાશી	Væren (stjernetegn)
વર્જિન એટલાંટિક	Virgin Atlantic Airways
અમેરિકન એરલાઇન્સ	American Airlines
વૅલેન્શિયન	Valensiansk
ડોગરી ભાષા	Dogri
મલાલા યુસુફઝઈ	Malala Yousafzai
છત્તીસગઢી ભાષા	Chhattisgarhi
આર્મેનિયાનો રાષ્ટ્રધ્વજ	Armenias flagg
બોડો ભાષા	Bodo
ભોજપુરી ભાષા	Bhojpuri
મુઘલ યુગ	Mogulriket
હરીયાણવી ભાષા	Harianvi
માળવી ભાષા	Malvi
ગઢવાલી ભાષા	Garhwali
ઇલાયચી	Kardemomme
કુમાઉની ભાષા	Kumauni
કાશ્મીરી ભાષા	Kasjmiri
સિમા ગુઆંગ	Sima Guang
ધ્રુવીય રીંછ	Isbjørn
કન્નડ ભાષા	Kannada
મગહી ભાષા	Magahi
હાથ	Hånd
ઓડિઆ ભાષા	Oriya
નેપાળી ભાષા	Nepali
વસ્તી	Befolkning
મણિપુરી ભાષા	Meitei-lon
અસાઈ તાડ	Açai
સંથાલી ભાષા	Santali
નેપાલ ભાષા	Nepal bhasa
સિંધી ભાષા	Sindhi (språk)
કાજુ	Kasjutre
ધોધ	Foss
માખણ	Smør
પાબ્લો નેરુદા	Pablo Neruda
કોંકણી ભાષા	Konkani
એલેક્ઝાન્ડર ગ્રેહામ બેલ	Alexander Graham Bell
જ્યોતિષવિદ્યા	Astrologi
સંગીત વાદ્ય	Musikkinstrument
હંસ	Svaner
બેનઝિર ભુટ્ટો	Benazir Bhutto
ઓક્સફોર્ડ યુનિવર્સિટી	University of Oxford
માર્ગ	Vei
હેલિકોપ્ટર	Helikopter
હિપોપોટેમસ	Vanlig flodhest
ગુલાબ	Roseslekta
દિપડો	Leopard
સાલ્ઝબર્ગ	Salzburg
