Aafrika	Afrika
Kam	Kham
Albaania lekk	Albansk lek
Kaugus	Avstand
Iraani revolutsioon	Den iranske revolusjon
Akko	Akko
Saint-Martin	Saint-Martin
James II (Inglismaa kuningas)	Jakob II av England
Ööhaigur	Natthegre
Konkistadoorid	Conquistador
Harilik koldrohi	Rundbelg
Wolverhampton	Wolverhampton
Dekabristide ülestõus	Dekabristopprøret
Vani järv	Vansjøen
Eisenstadt	Eisenstadt
Celine Brun-Lie	Celine Brun-Lie
Thomas Paine	Thomas Paine
.so	.so
Filippo Inzaghi	Filippo Inzaghi
Dumfries and Galloway	Dumfries and Galloway
Anier García	Anier García
Kristen Stewart	Kristen Stewart
Iraani lipp	Irans flagg
Hannah Montana	Hannah Montana
Sacavém	Sacavém
Pragmatism	Pragmatisme
Regatt	Regatta
Kaarel Eenpalu	Kaarel Eenpalu
Benedictus XIV	Benedikt XIV
Vrbasi jõgi	Vrbas
Baskid	Baskere
Lustakad jalakesed	Happy Feet
Lasteaed	Barnehage
Olti jõgi	Olt (elv)
Aerosmith	Aerosmith
Õigusfilosoofia	Rettsfilosofi
Antibes	Antibes
Lucas Piazón	Lucas Piazón
J. Michael Straczynski	J. Michael Straczynski
Kinnereti järv	Genesaretsjøen
Taiwani väin	Taiwanstredet
Lamborghini Espada	Lamborghini Espada
Garmisch-Partenkirchen	Garmisch-Partenkirchen
Manhattani projekt	Manhattanprosjektet
Foolhape	Folsyre
Kars	Kars
Oksendamine	Oppkast
Pearl Harbor	Pearl Harbor
Patrick Barnes	Paddy Barnes
Aaloe	Aloe
Lolita	Lolita
Hysteria	Hysteria (album)
Tšehhi lipp	Tsjekkias flagg
Lääne-Kapimaa	Western Cape
Big Brother	Big Brother
Bangladeshi lipp	Bangladeshs flagg
Albert Abraham Michelson	Albert Abraham Michelson
Jacksoni maakond (Missouri)	Jackson County (Missouri)
Viljastumine	Befruktning
Aleksander VII	Alexander VII
Yamaguchi prefektuur	Yamaguchi (prefektur)
Kiiruimsed	Strålefinnede fisker
Lõuna-Korea lipp	Sør-Koreas flagg
George III	Georg III av Storbritannia
Frank Zappa	Frank Zappa
Charlotte Brontë	Charlotte Brontë
Jüri Lossmann	Jüri Lossmann
José Echegaray y Eizaguirre	José Echegaray y Eizaguirre
Aleksei Poltoranin	Aleksej Poltoranin
Sõrmuste isand: Sõrmuse vennaskond	Ringenes herre: Ringens brorskap
Sixtus II	Sixtus II
Douglas MacArthur	Douglas MacArthur
Tint	Blekk
Victoria Silvstedt	Victoria Silvstedt
Allianz Arena	Allianz Arena
Konstantin Tšernenko	Konstantin Tsjernenko
Miranda Kerr	Miranda Kerr
Meripurad	Sjøpølser
Ashley Tisdale	Ashley Tisdale
Hinna ja kasumi suhe	P/E
Purikala (perekond)	Seilfisk
Kanagawa prefektuur	Kanagawa (prefektur)
Pixar	Pixar
Safiir	Safir
Ahvenalised	Piggfinnefisker
Vestlandet	Vestlandet
Vantaa	Vanda
Vitus Bering	Vitus Bering
Pann	Stekepanne
Intsest	Incest
Johan Vilhelm Snellman	Johan Vilhelm Snellman
Vakuool	Vakuole
Katarakt	Katarakt (medisin)
Supereksliibris	Superexlibris
Rooside sõda	Rosekrigene
Hävituslennuk	Jagerfly
Viisnurk	Pentagon
Pärn	Lindeslekten
Beverly Hills	Beverly Hills
Nagano prefektuur	Nagano (prefektur)
Serblased	Serbere
Paraná jõgi	Paraná
Jersey tüdruk	Jersey Girl
Laktoos	Laktose
Ameerika Ühendriikide Iseseisvusdeklaratsioon	USAs uavhengighetserklæring
Sead Kolašinac	Sead Kolašinac
Kovalentne side	Kovalent binding
Ilutulestik	Fyrverkeri
Arthur Compton	Arthur Holly Compton
Isomeerid	Isomeri
Sofia lennujaam	Sofia lufthavn
Belgradi Nikola Tesla lennujaam	Nikola Tesla lufthavn
Mikrolaineahi	Mikrobølgeovn
Panter	Brølekatter
Larimeri maakond	Larimer County
Kiowa maakond (Colorado)	Kiowa County (Colorado)
Huerfano maakond	Huerfano County
Ukraina lipp	Ukrainas flagg
Jacksoni maakond (Colorado)	Jackson County (Colorado)
Jeffersoni maakond (Colorado)	Jefferson County (Colorado)
Gunnisoni maakond	Gunnison County
Rasvad	Fett
Kenti maakond	Kent County
Victor I	Viktor I
Australian National University	Australian National University
Geotermaalenergia	Geotermisk energi
Mikrolained	Mikrobølge
Maḩmūd ‘Abbās	Mahmoud Abbas
Stepivuril	Steppehøne
Kohtvõrgu jaotur	Hub (datanettverk)
Kabi	Hov (biologi)
Giljotiin	Giljotin
Zagrebi rahvusvaheline lennujaam	Zagreb lufthavn
Pius VI	Pius VI
Giorgio Vasari	Giorgio Vasari
Dünaamika	Dynamikk (mekanikk)
Syracuse	Syracuse (New York)
Las Animase maakond	Las Animas County
Innocentius III	Innocens III
Essexi maakond (New Jersey)	Essex County (New Jersey)
Kit Carsoni maakond	Kit Carson County
Hinsdale'i maakond	Hinsdale County
Lesbos	Lesbos
Matt Shadows	Matthew Sanders
E-raamat	E-bok
La Plata maakond	La Plata County
Nunap Isua	Kapp Farvel
Šaakal	Gullsjakal
Irtõš	Irtysj
Chicago Bulls	Chicago Bulls
Abstraktsionism	Abstrakt kunst
Kanada kuusk	Kvitgran
Mick Jagger	Mick Jagger
Claude Lévi-Strauss	Claude Lévi-Strauss
Totalitarism	Totalitarisme
Kenti maakond (Delaware)	Kent County (Delaware)
Kingston upon Hull	Kingston upon Hull
Kuuba kriis	Cubakrisen
Vastureformatsioon	Motreformasjonen
Agamemnon	Agamemnon
Saitama prefektuur	Saitama (prefektur)
Mie prefektuur	Mie (prefektur)
Maa tüüpi planeedid	Terrestrisk planet
Kääne	Kasus
Moḩammad Reẕā Pahlavī	Muhammed Reza Pahlavi
Peajalgsed	Blekkspruter
Joosep (Maarja abikaasa)	Josef, Jesu fosterfar
Skandinaavia mütoloogia	Norrøn mytologi
Abilene	Abilene (Texas)
Maria Callas	Maria Callas
Trummikomplekt	Trommesett
Trinidad	Trinidad
Indra	Indra
Pakistani lipp	Pakistans flagg
Bayezid I	Bayezid I
Eirik Brandsdal	Eirik Brandsdal
Nomaadid	Nomade
Farmakoloogia	Farmakologi
Kükloobid	Kyklop
FC Porto	FC Porto
Charles Perrault	Charles Perrault
Wembley staadion	Wembley Stadium
Iisraeli lipp	Israels flagg
Jalta	Jalta
Gladiaator (film 2000)	Gladiator (film)
Seeder	Sederslekten
Graham Greene	Graham Greene
Bioinformaatika	Bioinformatikk
Reinkarnatsioon	Reinkarnasjon
Lester B. Pearson	Lester Bowles Pearson
Kiri heebrealastele	Brevet til hebreerne
Pauluse kiri galaatlastele	Paulus' brev til galaterne
2012.–2013. aasta maailma karikasari laskesuusatamises	Verdenscupen i skiskyting 2012/13
Käibemaks	Merverdiavgift
Angerjalised	Ålefisker
Rakukest	Cellevegg
Viskoossus	Viskositet
Hidetoshi Nakata	Hidetoshi Nakata
John Forbes Nash	John Forbes Nash
Lähtekood	Kildekode
Satiir	Satire
Skjervøy vald	Skjervøy
Wehrmacht	Wehrmacht
Georges Simenon	Georges Simenon
Ricky Martin	Ricky Martin
Portugali lipp	Portugals flagg
Sõlm (kiirusühik)	Knop (mål)
Michael Owen	Michael Owen
Stalingrad (Accepti album)	Stalingrad (album)
Sakurashima	Sakurajimafjellet
Nagano	Nagano
Rogla	Rogla
Bütsantsi keisrite loend	Liste over østromerske keisere
John Bowlby	John Bowlby
Arafura meri	Arafurasjøen
Saar (perekond)	Askeslekten
AMD	Advanced Micro Devices
Eelam	Elam
Ḩusayn ibn ‘Alī (Meka emiir)	Sharif Husayn
Püha õhtusöömaaeg (Leonardo da Vinci)	Nattverden (Leonardo)
Ezer Weizman	Ezer Weizman
Shangi dünastia	Shang-dynastiet
Biokütus	Biobrensel
Prantsuse Lõunaalad	De franske sørterritorier
Clement Attlee	Clement Attlee
Kuuskjalg	Myrkleggslekten
Laukapuu	Slåpetorn
Opisthokonta	Opisthokonta
Mõrtsukhai	Hvithai
Paul Pogba	Paul Pogba
Bhopali avarii	Bhopal-katastrofen
Carmelo Anthony	Carmelo Anthony
Metsis	Storfugl
Siberi katk	Miltbrann
Bastet	Bast
Ruslana	Ruslana Lyzjytsjko
Kreeka lipp	Hellas' flagg
Trafalgari väljak	Trafalgar Square
Roger Martin du Gard	Roger Martin du Gard
Xerxes I	Xerxes I av Persia
Verner von Heidenstam	Verner von Heidenstam
Patrick White	Patrick White
Kaksikud (märk)	Tvillingene (stjernetegn)
Hatšepsut	Hatshepsut
Edward III	Edvard III av England
Vastne	Larve
Thíra	Santorini
John Maata	Johan av England
Kastanipuu	Kastanjeslekten
TGV	TGV
Stephanakert	Stepanakert
Euroopa kultuuripealinn	Europeisk kulturhovedstad
Nõgi-tormilind	Spisshalepetrell
Vivien Leigh	Vivien Leigh
Digamma	Digamma
Gumma prefektuur	Gunma (prefektur)
Kopa (täht)	Qoppa
Dugong	Dugong
Hoovus	Havstrøm
Veenuse Projekt	The Venus Project
Hugh Jackman	Hugh Jackman
Galway	Galway
Lumeinimene	Yeti
İzmit	İzmit
Tšornobõl	Tsjernobyl
Mario Balotelli	Mario Balotelli
Ibeeria ilves	Pantergaupe
Xenophon	Xenofon
Adobe Photoshop	Adobe Photoshop
Russell Crowe	Russell Crowe
François I	Frans I av Frankrike
Minotauros	Minotauros
ASAP Rocky	ASAP Rocky
Kivikakk	Kirkeugle
Clemens XI	Klemens XI
Eesti kroon	Estlandsk krone
William III	Vilhelm III av England
Edward Usutunnistaja	Edvard Bekjenneren
Franklini maakond (Mississippi)	Franklin County (Mississippi)
Humphreysi maakond (Mississippi)	Humphreys County (Mississippi)
Geomagnetiline torm	Geomagnetisk storm
Mount McKinley	Mount McKinley
Atlase mäed	Atlasfjellene
Norwich	Norwich
London Bridge	London Bridge
Székesfehérvár	Székesfehérvár
Friedrich II (Saksa-Rooma keiser)	Fredrik II av Det tysk-romerske rike
Greif	Griff
Aton	Aton
Gruusia NSV	Den georgiske sosialistiske sovjetrepublikk
Draamafilm	Dramafilm
Kirgiisi NSV	Den kirgisiske sosialistiske sovjetrepublikk
Eesti NSV	Den estiske sosialistiske sovjetrepublikk
Macbeth	Macbeth (skuespill)
Hyōgo prefektuur	Hyōgo (prefektur)
Võlur Oz	Trollmannen fra Oz
Miyazaki prefektuur	Miyazaki (prefektur)
Kumamoto prefektuur	Kumamoto (prefektur)
George Michael	George Michael
Áthos	Athos
Fenool	Fenol
Kreatsionism	Kreasjonisme
Vitamiin B2	Riboflavin
Bartolomeu Dias	Bartolomeu Dias
Jaapani ajalugu	Japans historie
Benini lipp	Benins flagg
Läti lipp	Latvias flagg
Egiptuse lipp	Egypts flagg
Mazār-e Sharīf	Mazar-e Sharif
Bahreini lipp	Bahrains flagg
Armeenia dramm	Armensk dram
Luxor	Luxor
Hieronymus Bosch	Hieronymus Bosch
Maniema	Maniema
Chafarinase saared	Islas Chafarinas
Hiina jalgpallikoondis	Kinas herrelandslag i fotball
Supernatural	Supernatural
George IV	Georg IV av Storbritannia
Alam-Kongo provints	Kongo Central
Romulus Augustulus	Romulus Augustus
Senat	Det romerske senatet
Põhja-Kivu	Nord-Kivu
Borno	Borno
Jacques Derrida	Jacques Derrida
Philippos II	Filip II av Makedonia
Mikojan-Gurevitš MiG-29	Mikojan-Gurevitsj MiG-29
Portselan	Porselen
Fugazi (album)	Fugazi (Marillion-album)
Hõbehaigur	Egretthegre
Nikolai I	Nikolaj I av Russland
Nanga Parbat	Nanga Parbat
Hallutsinatsioon	Hallusinasjon
Alanis Morissette	Alanis Morissette
Jelizaveta Petrovna	Elisabeth av Russland
2004. aasta India ookeani maavärin	Jordskjelvet og tsunamien i Indiahavet 2004
Christoph Willibald Gluck	Christoph Willibald Gluck
Turbiin	Turbin
Suits	Røyk
Argentina lipp	Argentinas flagg
Kazimir Malevitš	Kasimir Malevitsj
Pikkade nugade öö	De lange knivers natt
Kronoloogia	Kronologi
Molotovi-Ribbentropi pakt	Molotov–Ribbentrop-pakten
Kendrick Lamar	Kendrick Lamar
James Blunt	James Blunt
Papeete	Papeete
George I	Georg I av Storbritannia
Sloveenia lipp	Slovenias flagg
Rumeenia lipp	Romanias flagg
Mary II	Maria II av England
Atlas (mütoloogia)	Atlas (mytologi)
William IV	Vilhelm IV av Storbritannia
Perseus	Persevs
Franz II	Frans II av Det tysk-romerske rike
Ida-Kapimaa	Eastern Cape
Verduni lahing	Slaget ved Verdun
Jun'ichirō Koizumi	Junichiro Koizumi
Plácido Domingo	Plácido Domingo
Diskor	Disc jockey
Sforza dünastia	Huset Sforza
Kurski lahing	Slaget ved Kursk
HaTikva	Hatikvah
Berliini filmifestival	Filmfestivalen i Berlin
Menaẖem Begin	Menachem Begin
Hohenstaufenid	Huset Hohenstaufen
Must Käsi	Den svarte hånd
Närimiskumm	Tyggegummi
Reuters	Reuters
Hanuka	Hanukka
Karulauk	Ramsløk
Harilik äädikakärbes	Bananflue
Oidipus	Oidipus
Kingmani riff	Kingman Reef
Langobardid	Langobarder
Binaarne seos	Binær relasjon
Golfi hoovus	Golfstrømmen
Vikat	Ljå
Aktinomütseedid	Aktinobakterier
Daalia	Georgineslekta
Cesare Negri	Cesare Negri
Kalevala	Kalevala
Kassikakk	Hubro
Marcha Real	Marcha Real
Suusasport	Skiidrett
Akantoodid	Pigghaier
Chephreni sfinks	Sfinksen i Giza
Elektroskoop	Elektroskop
Kalor	Kalori
Philippe IV	Filip IV av Frankrike
Tuberkuloosi mükobakter	Mycobacterium tuberculosis
Robert Andrews Millikan	Robert Andrews Millikan
Yucatáni poolsaar	Yucatán
Väikeaju	Lillehjernen
Fabritio Caroso	Fabritio Caroso
Neologism	Neologisme
DNA replikatsioon	DNA-replikasjon
Damasus I	Damasus I
Ekvivalentsiseos	Ekvivalensrelasjon
Proteobakterid	Proteobacteria
Hārūn ar-Rashīd	Harun al-Rashid
John Bodkin Adams	John Bodkin Adams
Air France	Air France
World of Warcraft	World of Warcraft
Johnstoni atoll	Johnston Atoll
Titanoboa	Titanoboa cerrejonensis
Ockhami habemenuga	Ockhams barberkniv
Ateena akropol	Akropolis (Athen)
Tšehhi kroon	Tsjekkisk koruna
François Rabelais	François Rabelais
Filateelia	Filateli
Vööttomploomad	Orthonectider
Saientoloogia	Scientologi
Mustluik	Svartsvane
Sonja (Norra kuninganna)	Sonja av Norge
Koguja raamat	Forkynneren
Sõrmuste isand: Kuninga tagasitulek	Ringenes herre: Atter en konge
1954. aasta jalgpalli maailmameistrivõistlused	VM i fotball 1954
Yukio Hatoyama	Yukio Hatoyama
Nahhitševan	Nakhitsjevan
Libreto	Libretto
Valküürid	Valkyrje
Geodeesia	Geodesi
Sisuhaldustarkvara	Publiseringssystem
Algmeridiaan	Nullmeridianen
Paul Krugman	Paul Krugman
Jalakas (perekond)	Almeslekta
Liitvetikad	Blåalger
Maria Montessori	Maria Montessori
Anna Kurnikova	Anna Kurnikova
Erebos	Erebos
Õhusaastus	Luftforurensning
Hebe	Hebe
Banja Luka	Banja Luka
Braunau Inni ääres	Braunau am Inn
Benediktlased	Benediktinerordenen
Determinism	Determinisme
Yggdrasil	Yggdrasil
Meteoor	Meteor
Nali	Vits
COBOL	COBOL
Tom ja Jerry	Tom og Jerry
Hiina Rahvavabariigi lipp	Folkerepublikken Kinas flagg
Stromboli	Stromboli
Henry David Thoreau	Henry David Thoreau
T-särk	T-skjorte
Shīrīn ‘Ebādī	Shirin Ebadi
Kõblas	Hakke
Utoopia	Utopi
Fabianus	Fabian
Poliitiline korrektsus	Politisk korrekthet
Dionysius (paavst)	Dionysius (pave)
Veeb 2.0	Web 2.0
Tuuba	Tuba
Polybios	Polybios
Imhotep	Imhotep
Keevitamine	Sveising
Vulgata	Vulgata
The Fame	The Fame
Kabaree	Kabaret
Koor (muusika)	Sangkor
Taylori rida	Taylorrekke
Propaan	Propan
Kehamassiindeks	BMI
Suur rahvasterändamine	Folkevandringstiden
Constantius I Chlorus	Konstantius I
Tux	Tux
Jätkusuutlik areng	Bærekraftig utvikling
Nyx	Nyx
Vietnami lipp	Vietnams flagg
Buffalo Sabres	Buffalo Sabres
Dnestr	Dnestr
Tekstiredaktor	Teksteditor
Antenn	Antenne
Tai laht	Siambukten
Harilik võilill	Vanlig løvetann
Futurism	Futurisme
Informatsiooniteooria	Informasjonsteori
Liivatee	Timian
Punane kärbseseen	Rød fluesopp
Mauna Kea	Mauna Kea
Slayer	Slayer
Tarawa South	South Tarawa
Toni Kroos	Toni Kroos
Carl Lewis	Carl Lewis
2000. aasta Euroopa meistrivõistlused jalgpallis	EM i fotball 2000
Anna Politkovskaja	Anna Politkovskaja
Eskimod	Eskimo
Oranjestad (Aruba)	Oranjestad (Aruba)
IMMAGINE&POESIA	IMMAGINE&POESIA
Oidipuse kompleks	Ødipuskompleks
Lee Kuan Yew	Lee Kuan Yew
Puutuja	Tangent
Chicago Ülikool	University of Chicago
Farad	Farad
Alexander Rybak	Alexander Rybak
Oliver Kahn	Oliver Kahn
Bologna ülikool	Universitetet i Bologna
Kasarm	Kaserne
Popkultuur	Populærkultur
Krems an der Donau	Krems
Sonaat	Sonate
Beauforti meri	Beauforthavet
Rahvusvaheline jadaväljaande standardnumber	Internasjonalt standard periodikanummer
Gifu prefektuur	Gifu (prefektur)
Alþingi	Alltinget
Ishikawa prefektuur	Ishikawa (prefektur)
Vikipeedia:Raamatuotsimine	Wikipedia:Bokkilder
John Williams	John Williams
Nara prefektuur	Nara (prefektur)
Immigratsioon	Innvandring
Gəncə	Ganja
Lõbumaja	Bordell
Rwanda genotsiid	Folkemordet i Rwanda
Ühikute detsimaaleesliited	SI-prefiks
Homs	Homs
Hello world	Hello, world
Howlandi saar	Howlandøya
SPQR	SPQR
Smolenski lennuõnnetus	Smolensk-ulykken
Soojuspump	Varmepumpe
Wakayama prefektuur	Wakayama (prefektur)
Juan Ramón Jiménez	Juan Ramón Jiménez
Shizuoka prefektuur	Shizuoka (prefektur)
Mişrātah	Misurata
Janet Jackson	Janet Jackson
Eyvind Johnson	Eyvind Johnson
Arras	Arras
Schönbrunni loss	Schönbrunn
Amanda Peet	Amanda Peet
Aserbaidžaani NSV	Den aserbajdsjanske sosialistiske sovjetrepublikk
Põlduba	Hestebønne
MPlayer	MPlayer
Pandora	Pandora
O'ahu	Oahu
Antigone	Antigone
Shiga prefektuur	Shiga (prefektur)
New York Knicks	New York Knicks
Disturbed	Disturbed
Boston Celtics	Boston Celtics
Hussiidid	Husittene
Aleksandr Alehhin	Aleksandr Alekhin
Shōgi	Shogi
Namibi kõrb	Namibørkenen
APOEL F.C.	APOEL
Kim Basinger	Kim Basinger
Kuupäevaraja	Datolinjen
300 (film)	300 (film)
Murad II	Murad II
Dialoog	Dialog
Willendorfi Venus	Venus fra Willendorf
Louis Daguerre	Louis Daguerre
Teenusetõkestamise rünne	Tjenestenektangrep
Ambroosia	Ambrosia
Mary Stuart	Maria I av Skottland
Nisuõlu	Hveteøl
Derbent	Derbent
Timori meri	Timorsjøen
Vorst	Pølse
The Animals	The Animals
Sampii	Sampi
Visual kei	Visual kei
Autotroof	Autotrofi
Shania Twain	Shania Twain
Noricum	Noricum
Lauamäng	Brettspill
Munsteri provints	Munster
Lakšmī	Lakshmi
Leeder	Hyll
Taimestik	Flora (botanikk)
USA Kongressi raamatukogu	Library of Congress
Clemens V	Klemens V
Valge auk	Hvitt hull
Malta lipp	Maltas flagg
Islandi kroon	Islandsk krone
Freyr	Frøy
Graafiteooria	Grafteori
Dominiiklased	Dominikanerordenen
Kamambäär	Camembert
Hidžra	Hijra
Karl Gjellerup	Karl Adolph Gjellerup
SL Benfica	SL Benfica
Elektrigeneraator	Generator
Esoteerika	Esoterikk
ERP	Enterprise resource planning
Mantra	Mantra
Hapu kirsipuu	Kirsebær
Fluxbox	Fluxbox
Bumerang	Bumerang
Kapibaara	Flodsvin
Lastekirjandus	Barne- og ungdomslitteratur
Elekterkrampravi	Elektrokonvulsiv terapi
Tooma evangeelium	Tomasevangeliet
Jordanes	Jordanes
Claude Simon	Claude Simon
Caterina de' Medici	Katharina de' Medici
Nibelungide laul	Nibelungenlied
Dodekaneesid	Dodekanesene
Amulett	Amulett
Kilp	Skjold (beskyttelse)
Õigustatud kasutus	Fair use
Fennekrebane	Fennek
Elektri- ja Elektroonikainseneride Instituut	Institute of Electrical and Electronics Engineers
Rahvusvaheline leping	Traktat
Pagulus	Flyktning
Vltava	Vltava
Hekate	Hekate
J-pop	J-pop
Urbanus VIII	Urban VIII
Henry V	Henrik V av England
Tiramisu	Tiramisù
Selene	Selene
Clemens XIV	Klemens XIV
Ganymedes	Ganymedes (mytologi)
1938. aasta jalgpalli maailmameistrivõistlused	VM i fotball 1938
Pauli printsiip	Paulis eksklusjonsprinsipp
Talu	Gård
Polenta	Polenta
Müncheni Olümpiastaadion	Olympiastadion (München)
Wiener Neustadt	Wiener Neustadt
Natal	Natal
Wittelsbachi dünastia	Wittelsbach
Smithsonian Institution	Smithsonian Institution
Shkodër	Shkodër
Medal	Medalje
Kasahstani lipp	Kasakhstans flagg
Frigg	Frigg (gudinne)
Pestitsiid	Pesticid
Baldr	Balder
Dominique de Villepin	Dominique de Villepin
Qomi provints	Qom (provins)
Lola Pagnani	Lola Pagnani
Akropol	Akropolis
Xenophanes	Xenofanes
Anatoli Karpov	Anatolij Karpov
Buldooser	Bulldoser
Veehoidla	Vannmagasin
Embrüoloogia	Embryologi
Heliosfäär	Heliosfæren
Frisbi	Frisbee
Aden	Aden
Maria Theresia	Maria Teresia av Østerrike
Plutokraatia	Plutokrati
Siidhaigur	Silkehegre
Kitš	Kitsch
Arhetüüp	Arketype
Kattegat	Kattegat
Valitseja (Il Principe)	Fyrsten
Bitcoin	Bitcoin
Joan Baez	Joan Baez
Henry Cavendish	Henry Cavendish
Nakkushaigused	Infeksjonssykdom
Maksapõletik	Hepatitt
Lõhnaõli	Parfyme
Anoreksia	Anorexia nervosa
Suurim ühistegur	Største felles divisor
Bipolaarne häire	Bipolar lidelse
Meeleheitel koduperenaised	Frustrerte fruer
Humphry Davy	Humphry Davy
Multimeedium	Multimedia
Šogun	Shogun
Korund	Korund
Antonüüm	Antonym
Taani jalgpallikoondis	Danmarks herrelandslag i fotball
Liim	Lim
Orinoco	Orinoco
Seth	Set
Sublimeerumine	Sublimasjon
John Dewey	John Dewey
Manerism	Manierismen
Tina Turner	Tina Turner
Oran	Oran
Idee	Idé
Sergei Rahmaninov	Sergej Rakhmaninov
Kummi	Gummi
Punailves	Rødgaupe
Väikepistrik	Dvergfalk
Pius V	Pius V
Singapuri vapp	Singapores riksvåpen
Austria keisririik	Østerrikes historie (1804–1867)
Ptolemaioste dünastia	Ptolemeerdynastiet
Parachutes	Parachutes
George II	Georg II av Storbritannia
Kolmekuningapäev	Helligtrekongersdag
Xbox	Xbox
Lauraasia	Laurasia
Kulob	Kulob
Kuberner	Guvernør
2009. aasta Norra parlamendivalimised	Stortingsvalget 2009
Valgevaal	Hvithval
Leo III (paavst)	Leo III
Mõõksaba	Xiphophorus
Anterus	Anterus
Keteleeria	Keteleeria
Pontianus	Pontian
Folkloristika	Folkloristikk
Kālī	Kali
Buthidae	Buthidae
Ikoon	Ikon (kristendom)
Minais Geraisi Föderaalülikool	Universidade Federal de Minas Gerais
Etnograafia	Etnografi
Amy Diamond	Amy Diamond
Zenon Eleast	Zenon fra Elea
Teodor Peterson	Teodor Peterson
Karma	Karma
Nitrosomonas	Nitrosomonas
Clara Schumann	Clara Schumann
Festival	Festival
Theravaada	Theravada
Kaaliumhüdroksiid	Kaliumhydroksid
Dorotea vald	Dorotea kommune
Shinzō Abe	Shinzō Abe
Protokoll (andmeside)	Protokoll (datamaskiner)
Davise karikavõistlused	Davis Cup
Lõpused	Gjelle
Mpumalanga	Mpumalanga
Põhja-Kapimaa	Northern Cape
Black metal	Black metal
1999. aasta kergejõustiku maailmameistrivõistlused	VM i friidrett 1999
Arenenud riik	Industriland
Kantō	Kantōregionen
Florence Baverel-Robert	Florence Baverel-Robert
Amartya Sen	Amartya Sen
Glütserool	Glyserol
1950. aasta jalgpalli maailmameistrivõistlused	VM i fotball 1950
Ayn Rand	Ayn Rand
1990. aasta jalgpalli maailmameistrivõistlused	VM i fotball 1990
1958. aasta jalgpalli maailmameistrivõistlused	VM i fotball 1958
Robert Oppenheimer	Robert Oppenheimer
Diana	Diana (gudinne)
Henri II (Prantsusmaa)	Henrik II av Frankrike
François II	Frans II av Frankrike
ÜRO Pagulaste Ülemvoliniku Amet	FNs høykommissær for flyktninger
De iure	De jure
Viirpuu	Hagtornslekta
Elektronmikroskoop	Elektronmikroskop
Mükeene	Mykene
Somme'i lahing	Slaget ved Somme
Tiraspol	Tiraspol
Taaskasutus	Resirkulering
Paan	Pan (mytologi)
Camilo José Cela	Camilo José Cela
Tarō Asō	Taro Aso
Missa	Messe (katolsk)
Naomi Watts	Naomi Watts
Adrenaliin	Adrenalin
Elektriahel	Elektronisk krets
Valgevene lipp	Hviterusslands flagg
.yt	.yt
Norra kroon	Norsk krone
Baktria	Baktria
Aerjalgsed	Maxillopoda
1970. aasta jalgpalli maailmameistrivõistlused	VM i fotball 1970
Pau	Pau
Willemstad	Willemstad
Modest Mussorgski	Modest Musorgskij
Saint-John Perse	Saint-John Perse
Casablanca (film)	Casablanca (film)
Gregorius XV	Gregor XV
Harry Martinson	Harry Martinson
Borissoglebsk	Borisoglebsk
Derek Walcott	Derek Walcott
Niigata prefektuur	Niigata (prefektur)
Innocentius XII	Innocens XII
Paulus V	Paul V
Borovitši	Borovitsji
Leo XI	Leo XI
Yamanashi prefektuur	Yamanashi (prefektur)
Frans Eemil Sillanpää	Frans Eemil Sillanpää
Yamuna	Yamuna
Grand Theft Auto (seeria)	Grand Theft Auto
Bratsk	Bratsk
Alberto Contador	Alberto Contador
Bronnitsõ	Bronnitsy
Shimane prefektuur	Shimane (prefektur)
Arbīl	Arbil
Piinamine	Tortur
Ermitaaž	Eremitasjen
Anastasius II	Anastasius II
Biarritz	Biarritz
Lucius I	Lucius I
Marcus	Markus (pave)
Bugulma	Bugulma
California laht	Californiabukta
Aurumine	Fordampning
Mõrv	Drap
Okaspuud	Bartrær
Buguruslan	Buguruslan
Douala	Douala
Budjonnovsk	Budjonnovsk
Hadrianus IV	Hadrian IV
Buinsk	Buinsk
Admiral	Admiral
Bui	Buj (by)
Armeenia NSV	Den armenske sosialistiske sovjetrepublikk
Kalapoeg Nemo	Oppdrag Nemo
Grööni meri	Grønlandshavet
Lisp	Lisp
Toronto Raptors	Toronto Raptors
Marseille Olympique	Olympique de Marseille
Dallas Mavericks	Dallas Mavericks
Vjatšeslav Molotov	Vjatsjeslav Molotov
Küürvaal	Knølhval
Lift	Heis
Krüüsel (perekond)	Teister
Kaksküürkaamel	Baktriakamel
Toyama prefektuur	Toyama (prefektur)
Buinaksk	Bujnaksk
Okayama prefektuur	Okayama (prefektur)
Būshehri provints	Bushehr (provins)
Valdai	Valdaj (by)
Adam Sandler	Adam Sandler
Taklimakan	Taklamakan
Veliž	Velizj
Vladimir Majakovski	Vladimir Majakovskij
Düsleksia	Dysleksi
Antropomorfism	Antropomorfisme
Alemannid	Alamannerne
Yom Kippur	Jom kippúr
Vasarhai	Hammerhaier
Paulus III	Paul III
Diasporaa	Diaspora
India elevant	Asiatisk elefant
Gro Harlem Brundtland	Gro Harlem Brundtland
Läti latt	Latvisk lats
Horvaatia lipp	Kroatias flagg
Saksamaa vapp	Tysklands riksvåpen
Luksemburgi lipp	Luxembourgs flagg
Kolomna	Kolomna
Richard III	Rikard III av England
Ungarlased	Madjarere
Litograafia	Litografi
Verhnjaja Põšma	Verkhnjaja Pysjma
Alberto Fujimori	Alberto Fujimori
