აფრიკა	Afrika
არგენტინა 1984 წლის ზაფხულის ოლიმპიურ თამაშებზე	Argentina under Sommer-OL 1984
ია	Fiolslekten
ისლანდია 1992 წლის ზაფხულის ოლიმპიურ თამაშებზე	Island under Sommer-OL 1992
ბაჰამის კუნძულები 1984 წლის ზაფხულის ოლიმპიურ თამაშებზე	Bahamas under Sommer-OL 1984
კვიპროსი 1984 წლის ზაფხულის ოლიმპიურ თამაშებზე	Kypros under Sommer-OL 1984
სეხმეტი	Sekhmet
კვიპროსი 1988 წლის ზაფხულის ოლიმპიურ თამაშებზე	Kypros under Sommer-OL 1988
მთრთოლავი ვერხვი	Osp
კვიპროსი 1992 წლის ზაფხულის ოლიმპიურ თამაშებზე	Kypros under Sommer-OL 1992
ჩილე 1912 წლის ზაფხულის ოლიმპიურ თამაშებზე	Chile under Sommer-OL 1912
ბაია (გვარი)	Soleieslekta
ისლანდია 1996 წლის ზაფხულის ოლიმპიურ თამაშებზე	Island under Sommer-OL 1996
ბუნდესრატი (გერმანია)	Forbundsrådet (Tyskland)
კვიპროსი 1980 წლის ზაფხულის ოლიმპიურ თამაშებზე	Kypros under Sommer-OL 1980
დიდი ბრიტანეთი 1996 წლის ზაფხულის ოლიმპიურ თამაშებზე	Storbritannia under Sommer-OL 1996
ჩრდილოეთის საბჭო	Nordisk råd
გერმანია 1928 წლის ზაფხულის ოლიმპიურ თამაშებზე	Tyskland under Sommer-OL 1928
დონ ბოსკო	Johannes Bosco
გუამი 1992 წლის ზაფხულის ოლიმპიურ თამაშებზე	Guam under Sommer-OL 1992
მიწავაშლა	Jordskokk
ცირცელი	Rogn
გერმანია 1936 წლის ზაფხულის ოლიმპიურ თამაშებზე	Tyskland under Sommer-OL 1936
კონგოს დემოკრატიული რესპუბლიკა 2004 წლის ზაფხულის ოლიმპიურ თამაშებზე	Den demokratiske republikken Kongo under Sommer-OL 2004
კუკის კუნძულები 1988 წლის ზაფხულის ოლიმპიურ თამაშებზე	Cookøyene under Sommer-OL 1988
ფრანკთა სახელმწიფო	Frankerriket
მირიამ მაკება	Miriam Makeba
ჩილე 1968 წლის ზაფხულის ოლიმპიურ თამაშებზე	Chile under Sommer-OL 1968
ჩილე 1984 წლის ზაფხულის ოლიმპიურ თამაშებზე	Chile under Sommer-OL 1984
დეჩინი	Děčín
სებეკი	Sobek
ვესპრემი	Veszprém
პტა	Ptah
კონგო 1996 წლის ზაფხულის ოლიმპიურ თამაშებზე	Kongo under Sommer-OL 1996
გამბია 1988 წლის ზაფხულის ოლიმპიურ თამაშებზე	Gambia under Sommer-OL 1988
ტეპლიცე	Teplice
გამბია 1984 წლის ზაფხულის ოლიმპიურ თამაშებზე	Gambia under Sommer-OL 1984
გუამი 1996 წლის ზაფხულის ოლიმპიურ თამაშებზე	Guam under Sommer-OL 1996
ლიბერეცი	Liberec
გუამი 1988 წლის ზაფხულის ოლიმპიურ თამაშებზე	Guam under Sommer-OL 1988
ხომუტოვი	Chomutov
დიდი ბრიტანეთი 1928 წლის ზაფხულის ოლიმპიურ თამაშებზე	Storbritannia under Sommer-OL 1928
კოლუმბია 1996 წლის ზაფხულის ოლიმპიურ თამაშებზე	Colombia under Sommer-OL 1996
მოსტი	Most (by)
ანდორა 2008 წლის ზაფხულის ოლიმპიურ თამაშებზე	Andorra under Sommer-OL 2008
ანგოლა 2008 წლის ზაფხულის ოლიმპიურ თამაშებზე	Angola under Sommer-OL 2008
ბანგლადეში 2012 წლის ზაფხულის ოლიმპიურ თამაშებზე	Bangladesh under Sommer-OL 2012
ანტიგუა და ბარბუდა 2008 წლის ზაფხულის ოლიმპიურ თამაშებზე	Antigua og Barbuda under Sommer-OL 2008
ალჟირი 2008 წლის ზაფხულის ოლიმპიურ თამაშებზე	Algerie under Sommer-OL 2008
ალბანეთი 2008 წლის ზაფხულის ოლიმპიურ თამაშებზე	Albania under Sommer-OL 2008
არუბა 2008 წლის ზაფხულის ოლიმპიურ თამაშებზე	Aruba under Sommer-OL 2008
ყაყაჩო	Valmueslekta
ავღანეთი 2008 წლის ზაფხულის ოლიმპიურ თამაშებზე	Afghanistan under Sommer-OL 2008
არგენტინა 2008 წლის ზაფხულის ოლიმპიურ თამაშებზე	Argentina under Sommer-OL 2008
ესტონეთი 1920 წლის ზაფხულის ოლიმპიურ თამაშებზე	Estland under Sommer-OL 1920
საქართველო 2010 წლის ზამთრის ოლიმპიურ თამაშებზე	Georgia under Vinter-OL 2010
ესტონეთი 1936 წლის ზაფხულის ოლიმპიურ თამაშებზე	Estland under Sommer-OL 1936
გამბია 2004 წლის ზაფხულის ოლიმპიურ თამაშებზე	Gambia under Sommer-OL 2004
გამბია 2000 წლის ზაფხულის ოლიმპიურ თამაშებზე	Gambia under Sommer-OL 2000
გამბია 2008 წლის ზაფხულის ოლიმპიურ თამაშებზე	Gambia under Sommer-OL 2008
ესტონეთი 2004 წლის ზაფხულის ოლიმპიურ თამაშებზე	Estland under Sommer-OL 2004
სისხლის სამართალი	Strafferett
გამბია 2012 წლის ზაფხულის ოლიმპიურ თამაშებზე	Gambia under Sommer-OL 2012
სტიპე მესიჩი	Stjepan Mesić
ხსნარები	Løsemiddel
ბრიტანეთის ვირჯინის კუნძულები 2012 წლის ზაფხულის ოლიმპიურ თამაშებზე	De britiske jomfruøyene under Sommer-OL 2012
ჰიიუმაა	Hiiumaa
ჩეხეთი 2012 წლის ზაფხულის ოლიმპიურ თამაშებზე	Tsjekkia under Sommer-OL 2012
ბაჰამის კუნძულები 2008 წლის ზაფხულის ოლიმპიურ თამაშებზე	Bahamas under Sommer-OL 2008
ძაღლყურძენა	Søtvierslekten
ბაჰამის კუნძულები 2012 წლის ზაფხულის ოლიმპიურ თამაშებზე	Bahamas under Sommer-OL 2012
ავსტრია 2012 წლის ზაფხულის ოლიმპიურ თამაშებზე	Østerrike under Sommer-OL 2012
ავღანეთი 2004 წლის ზაფხულის ოლიმპიურ თამაშებზე	Afghanistan under Sommer-OL 2004
რძიანა	Vortemelkslekta
ეკვადორი 2008 წლის ზაფხულის ოლიმპიურ თამაშებზე	Ecuador under Sommer-OL 2008
ჩეხოსლოვაკია 1928 წლის ზაფხულის ოლიმპიურ თამაშებზე	Tsjekkoslovakia under Sommer-OL 1928
დომინიკა 2012 წლის ზაფხულის ოლიმპიურ თამაშებზე	Dominica under Sommer-OL 2012
ზენდები	Zand-dynastiet
კოლუმბია 2008 წლის ზაფხულის ოლიმპიურ თამაშებზე	Colombia under Sommer-OL 2008
შავი მოცხარი	Solbær
კუკის კუნძულები 2012 წლის ზაფხულის ოლიმპიურ თამაშებზე	Cookøyene under Sommer-OL 2012
ჩინეთი 2008 წლის ზაფხულის ოლიმპიურ თამაშებზე	Kina under Sommer-OL 2008
დუმფარა	Hvite nøkkeroser
წითელი მოცხარი	Hagerips
ძირითადი ინსტინქტი	Basic Instinct
ალფონს მუხა	Alfons Mucha
უნგრეთი 1896 წლის ზაფხულის ოლიმპიურ თამაშებზე	Ungarn under Sommer-OL 1896
ბურუნდი 2008 წლის ზაფხულის ოლიმპიურ თამაშებზე	Burundi under Sommer-OL 2008
ილირიელები	Illyrere
ცენტრალური აფრიკის რესპუბლიკა 2008 წლის ზაფხულის ოლიმპიურ თამაშებზე	Den sentralafrikanske republikk under Sommer-OL 2008
ზენჯანის ოსტანი	Zanjan (provins)
წყლის ბორბალი	Vannhjul
ბოტსვანა 2008 წლის ზაფხულის ოლიმპიურ თამაშებზე	Botswana under Sommer-OL 2008
კანადა 1900 წლის ზაფხულის ოლიმპიურ თამაშებზე	Canada under Sommer-OL 1900
კოპტები	Koptere
დიდი ბრიტანეთი 1896 წლის ზაფხულის ოლიმპიურ თამაშებზე	Storbritannia under Sommer-OL 1896
მრავლობითი რიცხვი	Pluralis
აზერბაიჯანი 2000 წლის ზაფხულის ოლიმპიურ თამაშებზე	Aserbajdsjan under Sommer-OL 2000
ელსმირი	Ellesmereøya
საფრანგეთი 2008 წლის ზაფხულის ოლიმპიურ თამაშებზე	Frankrike under Sommer-OL 2008
ბოსნია და ჰერცეგოვინა 2012 წლის ზაფხულის ოლიმპიურ თამაშებზე	Bosnia-Hercegovina under Sommer-OL 2012
დომინიკელთა რესპუბლიკა 1996 წლის ზაფხულის ოლიმპიურ თამაშებზე	Den dominikanske republikk under Sommer-OL 1996
ნეჯდის საამირო	Emiratet Nedsjd
დირაიას საამირო	Emiratet Darayeh
გამბია 1996 წლის ზაფხულის ოლიმპიურ თამაშებზე	Gambia under Sommer-OL 1996
კვიპაროზი	Sypresslekten
ინდონეზია 1996 წლის ზაფხულის ოლიმპიურ თამაშებზე	Indonesia under Sommer-OL 1996
თოტი	Tot
ლიმესი	Limes
ჰიმალაიური კედარი	Himalaiaseder
ახალი ზელანდია 1968 წლის ზაფხულის ოლიმპიურ თამაშებზე	New Zealand under Sommer-OL 1968
ტყემალი	Kirsebærplomme
ახალი ზელანდია 1964 წლის ზაფხულის ოლიმპიურ თამაშებზე	New Zealand under Sommer-OL 1964
ახალი ზელანდია 1928 წლის ზაფხულის ოლიმპიურ თამაშებზე	New Zealand under Sommer-OL 1928
ლურჯი მოცვი	Blokkebær
ახალი ზელანდია 1956 წლის ზაფხულის ოლიმპიურ თამაშებზე	New Zealand under Sommer-OL 1956
ახალი ზელანდია 1932 წლის ზაფხულის ოლიმპიურ თამაშებზე	New Zealand under Sommer-OL 1932
I Am... Sasha Fierce	I Am… Sasha Fierce
ეკვადორი 1996 წლის ზაფხულის ოლიმპიურ თამაშებზე	Ecuador under Sommer-OL 1996
ახალი ზელანდია 1976 წლის ზაფხულის ოლიმპიურ თამაშებზე	New Zealand under Sommer-OL 1976
ესტონეთი 2012 წლის ზაფხულის ოლიმპიურ თამაშებზე	Estland under Sommer-OL 2012
ალვის ხე	Svartpoppel
საფრანგეთი 1928 წლის ზაფხულის ოლიმპიურ თამაშებზე	Frankrike under Sommer-OL 1928
საფრანგეთი 1896 წლის ზაფხულის ოლიმპიურ თამაშებზე	Frankrike under Sommer-OL 1896
ემა სტოუნი	Emma Stone
ბელგია 1928 წლის ზაფხულის ოლიმპიურ თამაშებზე	Belgia under Sommer-OL 1928
მანისა	Manisa
საბერძნეთი 1928 წლის ზაფხულის ოლიმპიურ თამაშებზე	Hellas under Sommer-OL 1928
ესტონეთი 1928 წლის ზაფხულის ოლიმპიურ თამაშებზე	Estland under Sommer-OL 1928
იორდასალამი	Peoner
არგენტინა 1928 წლის ზაფხულის ოლიმპიურ თამაშებზე	Argentina under Sommer-OL 1928
ენოტისებრნი	Halvbjørnfamilien
ფინეთი 1928 წლის ზაფხულის ოლიმპიურ თამაშებზე	Finland under Sommer-OL 1928
ავსტრალია 1928 წლის ზაფხულის ოლიმპიურ თამაშებზე	Australia under Sommer-OL 1928
ეგვიპტე 1928 წლის ზაფხულის ოლიმპიურ თამაშებზე	Egypt under Sommer-OL 1928
ჩილე 1928 წლის ზაფხულის ოლიმპიურ თამაშებზე	Chile under Sommer-OL 1928
კესანე	Forglemmegei
განა 2008 წლის ზაფხულის ოლიმპიურ თამაშებზე	Ghana under Sommer-OL 2008
ჰაიტი 1928 წლის ზაფხულის ოლიმპიურ თამაშებზე	Haiti under Sommer-OL 1928
ბულგარეთი 1928 წლის ზაფხულის ოლიმპიურ თამაშებზე	Bulgaria under Sommer-OL 1928
ინდოეთი 2012 წლის ზაფხულის ოლიმპიურ თამაშებზე	India under Sommer-OL 2012
ხორვატია 2004 წლის ზაფხულის ოლიმპიურ თამაშებზე	Kroatia under Sommer-OL 2004
ბოსნია და ჰერცეგოვინა 2004 წლის ზაფხულის ოლიმპიურ თამაშებზე	Bosnia-Hercegovina under Sommer-OL 2004
ბოსნია და ჰერცეგოვინა 2008 წლის ზაფხულის ოლიმპიურ თამაშებზე	Bosnia-Hercegovina under Sommer-OL 2008
ხორვატია 2012 წლის ზაფხულის ოლიმპიურ თამაშებზე	Kroatia under Sommer-OL 2012
ხორვატია 1996 წლის ზაფხულის ოლიმპიურ თამაშებზე	Kroatia under Sommer-OL 1996
ბიოტა	Tujaslekten
ინდონეზია 2008 წლის ზაფხულის ოლიმპიურ თამაშებზე	Indonesia under Sommer-OL 2008
ინდონეზია 1952 წლის ზაფხულის ოლიმპიურ თამაშებზე	Indonesia under Sommer-OL 1952
აზერბაიჯანი 1996 წლის ზაფხულის ოლიმპიურ თამაშებზე	Aserbajdsjan under Sommer-OL 1996
ტყის წიწმატი	Engkarseslekta
ჩინეთის დიდი ვაკე	Den nordkinesiske slette
ანანასი	Ananas
ინდოეთი 1900 წლის ზაფხულის ოლიმპიურ თამაშებზე	India under Sommer-OL 1900
ბალბა	Kattoster
ცერცველა	Vikkeslekta
ბალტო-სლავური ენები	Baltoslaviske språk
ტაქსოდიუმი	Sumpsypresslekten
თავთავი	Aks
საპოტეკები	Zapotekere
საპოპანი	Zapopan
ბელარუსი 2012 წლის ზაფხულის ოლიმპიურ თამაშებზე	Hviterussland under Sommer-OL 2012
ვიქტორ ზუბკოვი	Viktor Zubkov
თამელი	Tarmvriasal
ეგვიპტე 2012 წლის ზაფხულის ოლიმპიურ თამაშებზე	Egypt under Sommer-OL 2012
აღმოსავლეთი გერმანია 1988 წლის ზაფხულის ოლიმპიურ თამაშებზე	Øst-Tyskland under Sommer-OL 1988
კუბა 2004 წლის ზაფხულის ოლიმპიურ თამაშებზე	Cuba under Sommer-OL 2004
პირამიდული კვიპაროზი	Vanlig sypress
მაგიური რეალიზმი	Magisk realisme
ჩრდილოეთის წითელი მუხა	Rødeik
ალჟირი 2004 წლის ზაფხულის ოლიმპიურ თამაშებზე	Algerie under Sommer-OL 2004
ზაქათალის რაიონი	Zaqatala (distrikt)
ბენინი 2008 წლის ზაფხულის ოლიმპიურ თამაშებზე	Benin under Sommer-OL 2008
საფრანგეთი 1996 წლის ზაფხულის ოლიმპიურ თამაშებზე	Frankrike under Sommer-OL 1996
საბერძნეთი 2012 წლის ზაფხულის ოლიმპიურ თამაშებზე	Hellas under Sommer-OL 2012
საბერძნეთი 2004 წლის ზაფხულის ოლიმპიურ თამაშებზე	Hellas under Sommer-OL 2004
ბულგარეთი 2012 წლის ზაფხულის ოლიმპიურ თამაშებზე	Bulgaria under Sommer-OL 2012
ბულგარეთი 1924 წლის ზაფხულის ოლიმპიურ თამაშებზე	Bulgaria under Sommer-OL 1924
ბულგარეთი 1896 წლის ზაფხულის ოლიმპიურ თამაშებზე	Bulgaria under Sommer-OL 1896
ჯოვანი და ვერაძანო	Giovanni da Verrazano
ალბანეთი 1972 წლის ზაფხულის ოლიმპიურ თამაშებზე	Albania under Sommer-OL 1972
ინდოეთი 1928 წლის ზაფხულის ოლიმპიურ თამაშებზე	India under Sommer-OL 1928
ინდოეთი 1936 წლის ზაფხულის ოლიმპიურ თამაშებზე	India under Sommer-OL 1936
ინდოეთი 1996 წლის ზაფხულის ოლიმპიურ თამაშებზე	India under Sommer-OL 1996
სენტ-ჰელიერი	Saint Helier
იზმაილი	Izmail
მედგარა	Kubjelleslekta
კოლოფი	Kapsel (botanikk)
ანა კარენინა	Anna Karenina
ცენტრალური აფრიკის რესპუბლიკა 2012 წლის ზაფხულის ოლიმპიურ თამაშებზე	Den sentralafrikanske republikk under Sommer-OL 2012
გაიანა 2012 წლის ზაფხულის ოლიმპიურ თამაშებზე	Guyana under Sommer-OL 2012
ოქროწვიმა	Gullregn
Work It Out	Work It Out
ბერმუდის კუნძულები 2008 წლის ზაფხულის ოლიმპიურ თამაშებზე	Bermuda under Sommer-OL 2008
ჰონგ-კონგი 1956 წლის ზაფხულის ოლიმპიურ თამაშებზე	Hongkong under Sommer-OL 1956
გვინეა-ბისაუ 2000 წლის ზაფხულის ოლიმპიურ თამაშებზე	Guinea-Bissau under Sommer-OL 2000
ჩინური ტაიბეი 1996 წლის ზაფხულის ოლიმპიურ თამაშებზე	Kinesisk Taipei under Sommer-OL 1996
ჰონგ-კონგი 1952 წლის ზაფხულის ოლიმპიურ თამაშებზე	Hongkong under Sommer-OL 1952
ჰონგ-კონგი 1996 წლის ზაფხულის ოლიმპიურ თამაშებზე	Hongkong under Sommer-OL 1996
ჩინეთის რესპუბლიკა 1936 წლის ზაფხულის ოლიმპიურ თამაშებზე	Republikken Kina under Sommer-OL 1936
ბოლივია 1964 წლის ზაფხულის ოლიმპიურ თამაშებზე	Bolivia under Sommer-OL 1964
ტრიტონი (მითოლოგია)	Triton (gresk mytologi)
დომინიკა 1996 წლის ზაფხულის ოლიმპიურ თამაშებზე	Dominica under Sommer-OL 1996
კანადა 1996 წლის ზაფხულის ოლიმპიურ თამაშებზე	Canada under Sommer-OL 1996
კანადა 1928 წლის ზაფხულის ოლიმპიურ თამაშებზე	Canada under Sommer-OL 1928
დომინიკა 2004 წლის ზაფხულის ოლიმპიურ თამაშებზე	Dominica under Sommer-OL 2004
უნგრეთი 1928 წლის ზაფხულის ოლიმპიურ თამაშებზე	Ungarn under Sommer-OL 1928
ანდორა 1992 წლის ზაფხულის ოლიმპიურ თამაშებზე	Andorra under Sommer-OL 1992
ბოსნია და ჰერცეგოვინა 1996 წლის ზაფხულის ოლიმპიურ თამაშებზე	Bosnia-Hercegovina under Sommer-OL 1996
ამერიკის სამოა 1988 წლის ზაფხულის ოლიმპიურ თამაშებზე	Amerikansk Samoa under Sommer-OL 1988
კანადა 1992 წლის ზაფხულის ოლიმპიურ თამაშებზე	Canada under Sommer-OL 1992
კუბა 1928 წლის ზაფხულის ოლიმპიურ თამაშებზე	Cuba under Sommer-OL 1928
კანადა 1936 წლის ზაფხულის ოლიმპიურ თამაშებზე	Canada under Sommer-OL 1936
ისლანდია 2000 წლის ზაფხულის ოლიმპიურ თამაშებზე	Island under Sommer-OL 2000
დაჰომეა 1972 წლის ზაფხულის ოლიმპიურ თამაშებზე	Dahomey under Sommer-OL 1972
გერმანია 1996 წლის ზაფხულის ოლიმპიურ თამაშებზე	Tyskland under Sommer-OL 1996
ჯიბუტი 1984 წლის ზაფხულის ოლიმპიურ თამაშებზე	Djibouti under Sommer-OL 1984
ბჰუტანი 1996 წლის ზაფხულის ოლიმპიურ თამაშებზე	Bhutan under Sommer-OL 1996
ცეილონი 1972 წლის ზაფხულის ოლიმპიურ თამაშებზე	Ceylon under Sommer-OL 1972
დიდი ბრიტანეთი 1972 წლის ზაფხულის ოლიმპიურ თამაშებზე	Storbritannia under Sommer-OL 1972
გვატემალა 1972 წლის ზაფხულის ოლიმპიურ თამაშებზე	Guatemala under Sommer-OL 1972
ჩინეთი 1984 წლის ზაფხულის ოლიმპიურ თამაშებზე	Kina under Sommer-OL 1984
ოშო	Osho
ავსტრალია 1984 წლის ზაფხულის ოლიმპიურ თამაშებზე	Australia under Sommer-OL 1984
ბუბრი	Bóbr
ავსტრალია 1992 წლის ზაფხულის ოლიმპიურ თამაშებზე	Australia under Sommer-OL 1992
ჩინეთი 1996 წლის ზაფხულის ოლიმპიურ თამაშებზე	Kina under Sommer-OL 1996
გრენადა 1984 წლის ზაფხულის ოლიმპიურ თამაშებზე	Grenada under Sommer-OL 1984
გერმანია 2000 წლის ზაფხულის ოლიმპიურ თამაშებზე	Tyskland under Sommer-OL 2000
დომინიკელთა რესპუბლიკა 2000 წლის ზაფხულის ოლიმპიურ თამაშებზე	Den dominikanske republikk under Sommer-OL 2000
გრენადა 1988 წლის ზაფხულის ოლიმპიურ თამაშებზე	Grenada under Sommer-OL 1988
ბარამბო	Sitronmelisse
ფლორესი	Flores (Indonesia)
ჟან-ფრანსუა მილე	Jean-François Millet
ბრანდენბურგის საკურფიურსტო	Markgrevskapet Brandenburg
Crazy in Love	Crazy in Love (Beyoncé)
ნასკვი	Fruktknute
ჭოტაკი	Skulpe
დიდბაია	Caltha
ტუპი-გუარანის ენები	Tupí-guaraní-språk
დუბლინის ყურე	Dublinbukten
ენდრონიკა	Maureslekta
ინდიანა ჯოუნსი	Indiana Jones
სამყურა მხოხავი	Hvitkløver
კევინ ნოლანი	Kevin Nolan
მანსარდა	Mansardtak
ზღმარტლი	Mispel
ნესვი	Agurkslekta
The Beyoncé Experience Live	The Beyoncé Experience Live
Formica rufa	Rød skogsmaur
პოლისი	Polis
სანტა-კრუსის კუნძულები	Santa Cruz-øyene
კავკასიური სოჭი	Nordmannsedelgran
ძმრის ხე	Hjortesumak
ბატურინი	Baturyn
З	З
Grand Theft Auto III	Grand Theft Auto III
ღოღნოშო	Krike
ზღვის კურდღელი	Storkobbe
სამოს სახელმწიფო	Samos rike
ნოველა	Kortroman
კომპაქტ-კასეტა	Musikkassett
აფრიკის ისტორია	Afrikas historie
სეკვოიადენდრონი	Mammuttre
ძაღლი (გვარი)	Hundeslekten
27 ევტერპე	27 Euterpe
მიგ-31	Mikojan-Gurevitsj MiG-31
ერთსახლიანი მცენარეები	Sambu
დასავლეთი პომერანია	Vorpommern
დავიდ დე ხეა	David de Gea
პრჟემისლ II ოტოკარი	Ottokar II av Böhmen
გვატემალა 1992 წლის ზაფხულის ოლიმპიურ თამაშებზე	Guatemala under Sommer-OL 1992
გაბონი 1996 წლის ზაფხულის ოლიმპიურ თამაშებზე	Gabon under Sommer-OL 1996
ფლორესის ზღვა	Floressjøen
დასავლეთი გერმანია 1976 წლის ზაფხულის ოლიმპიურ თამაშებზე	Vest-Tyskland under Sommer-OL 1976
დიდი ბრიტანეთი 1992 წლის ზაფხულის ოლიმპიურ თამაშებზე	Storbritannia under Sommer-OL 1992
გერმანია 1992 წლის ზაფხულის ოლიმპიურ თამაშებზე	Tyskland under Sommer-OL 1992
კოტ-დ’ივუარი 1996 წლის ზაფხულის ოლიმპიურ თამაშებზე	Elfenbenskysten under Sommer-OL 1996
ეკვატორული გვინეა 1984 წლის ზაფხულის ოლიმპიურ თამაშებზე	Ekvatorial-Guinea under Sommer-OL 1984
ჰენოთეიზმი	Henoteisme
ბრიტანეთის ვირჯინის კუნძულები 1996 წლის ზაფხულის ოლიმპიურ თამაშებზე	De britiske jomfruøyene under Sommer-OL 1996
ბურგუნდები	Burgundere
ბურკინა-ფასო 1992 წლის ზაფხულის ოლიმპიურ თამაშებზე	Burkina Faso under Sommer-OL 1992
ბრუნეი 1996 წლის ზაფხულის ოლიმპიურ თამაშებზე	Brunei under Sommer-OL 1996
კონგოს დემოკრატიული რესპუბლიკა 2000 წლის ზაფხულის ოლიმპიურ თამაშებზე	Den demokratiske republikken Kongo under Sommer-OL 2000
ავსტრალია 2000 წლის ზაფხულის ოლიმპიურ თამაშებზე	Australia under Sommer-OL 2000
ბულგარეთი 1996 წლის ზაფხულის ოლიმპიურ თამაშებზე	Bulgaria under Sommer-OL 1996
კამილ სენ-სანსი	Camille Saint-Saëns
წყლის წიწმატი	Brønnkarse
კუკის კუნძულები 1996 წლის ზაფხულის ოლიმპიურ თამაშებზე	Cookøyene under Sommer-OL 1996
ავსტრია 1928 წლის ზაფხულის ოლიმპიურ თამაშებზე	Østerrike under Sommer-OL 1928
ბრიუსელის კომბოსტო	Rosenkål
საფრანგეთი 1936 წლის ზაფხულის ოლიმპიურ თამაშებზე	Frankrike under Sommer-OL 1936
კაიმანის კუნძულები 1996 წლის ზაფხულის ოლიმპიურ თამაშებზე	Caymanøyene under Sommer-OL 1996
ივიცა ოლიჩი	Ivica Olić
ფიჯი 1988 წლის ზაფხულის ოლიმპიურ თამაშებზე	Fiji under Sommer-OL 1988
ლეოპოლდ I (სრი)	Leopold I av Det tysk-romerske rike
გამბია 1992 წლის ზაფხულის ოლიმპიურ თამაშებზე	Gambia under Sommer-OL 1992
ახალი ზელანდია 1984 წლის ზაფხულის ოლიმპიურ თამაშებზე	New Zealand under Sommer-OL 1984
ეკვადორი 2004 წლის ზაფხულის ოლიმპიურ თამაშებზე	Ecuador under Sommer-OL 2004
ერაყი 1996 წლის ზაფხულის ოლიმპიურ თამაშებზე	Irak under Sommer-OL 1996
ოტო II წითური	Otto II av Det tysk-romerske rike
ჰაიტი 1996 წლის ზაფხულის ოლიმპიურ თამაშებზე	Haiti under Sommer-OL 1996
ახალი ზელანდია 1948 წლის ზაფხულის ოლიმპიურ თამაშებზე	New Zealand under Sommer-OL 1948
ფრანც ფონ პაპენი	Franz von Papen
კოლუმბია 1936 წლის ზაფხულის ოლიმპიურ თამაშებზე	Colombia under Sommer-OL 1936
ბელგია 2012 წლის ზაფხულის ოლიმპიურ თამაშებზე	Belgia under Sommer-OL 2012
გვინეა 1996 წლის ზაფხულის ოლიმპიურ თამაშებზე	Guinea under Sommer-OL 1996
შრი-ლანკა 1996 წლის ზაფხულის ოლიმპიურ თამაშებზე	Sri Lanka under Sommer-OL 1996
ფერდინანდ III	Ferdinand III av Det tysk-romerske rike
გერმანია 1896 წლის ზაფხულის ოლიმპიურ თამაშებზე	Tyskland under Sommer-OL 1896
რუდოლფ II ჰაბსბურგი	Rudolf II av Det tysk-romerske rike
კოსტა-რიკა 1936 წლის ზაფხულის ოლიმპიურ თამაშებზე	Costa Rica under Sommer-OL 1936
დიდი ბრიტანეთი 1976 წლის ზაფხულის ოლიმპიურ თამაშებზე	Storbritannia under Sommer-OL 1976
ფერდინანდ II შტირიელი	Ferdinand II av Det tysk-romerske rike
ეკვადორი 1924 წლის ზაფხულის ოლიმპიურ თამაშებზე	Ecuador under Sommer-OL 1924
მიგ-21	Mikojan-Gurevitsj MiG-21
ფერდინანდ I (სრი)	Ferdinand I av Det tysk-romerske rike
გვატემალა 1980 წლის ზაფხულის ოლიმპიურ თამაშებზე	Guatemala under Sommer-OL 1980
ჰაინრიხ I ფრინველმჭერი	Henrik I av Sachsen
გვატემალა 1984 წლის ზაფხულის ოლიმპიურ თამაშებზე	Guatemala under Sommer-OL 1984
ვიტორიო ემანუელე III	Viktor Emmanuel III av Italia
გვატემალა 1996 წლის ზაფხულის ოლიმპიურ თამაშებზე	Guatemala under Sommer-OL 1996
ვილჰელმ I (გერმანიის იმპერატორი)	Vilhelm I av Tyskland
ჟერარ ფილიპი	Gérard Philipe
კარლ VI (სრი)	Karl VI av Det tysk-romerske rike
ზაირი 1996 წლის ზაფხულის ოლიმპიურ თამაშებზე	Zaire under Sommer-OL 1996
ბოლივია 1988 წლის ზაფხულის ოლიმპიურ თამაშებზე	Bolivia under Sommer-OL 1988
პორფირიო დიასი	Porfirio Díaz
ალჟირი 1984 წლის ზაფხულის ოლიმპიურ თამაშებზე	Algerie under Sommer-OL 1984
ალჟირი 1972 წლის ზაფხულის ოლიმპიურ თამაშებზე	Algerie under Sommer-OL 1972
ომი ესპანური მემკვიდრეობისათვის	Den spanske arvefølgekrigen
შარლ III მსუქანი	Karl den tykke
კუბა 1996 წლის ზაფხულის ოლიმპიურ თამაშებზე	Cuba under Sommer-OL 1996
ახალი ზელანდია 1980 წლის ზაფხულის ოლიმპიურ თამაშებზე	New Zealand under Sommer-OL 1980
მაქსიმილიან I (სრი)	Maximilian I av Det tysk-romerske rike
დიდი ბრიტანეთი 1988 წლის ზაფხულის ოლიმპიურ თამაშებზე	Storbritannia under Sommer-OL 1988
ლოთარ I	Lothar I av Det tysk-romerske rike
აღმოსავლეთი გერმანია 1972 წლის ზაფხულის ოლიმპიურ თამაშებზე	Øst-Tyskland under Sommer-OL 1972
დიდი ბრიტანეთი 1984 წლის ზაფხულის ოლიმპიურ თამაშებზე	Storbritannia under Sommer-OL 1984
ენიგმა (მანქანა)	Enigma (krypteringsmaskin)
ბჰუტანი 1988 წლის ზაფხულის ოლიმპიურ თამაშებზე	Bhutan under Sommer-OL 1988
ელისაბედ ბავარიელი	Elisabeth av Bayern (østerriksk keiserinne)
კანიონი	Canyon
პიანისტი (2002 წლის ფილმი)	Pianisten
Playboy	Playboy
კოლინ პაუელი	Colin Powell
მაქსიმილიან II (სრი)	Maximilian II av Det tysk-romerske rike
