Yn Affrick	Afrika
Pronnag	Pølse
Queiggey Mooan	Munster
Sambucus	Hyll
Gowaltys	Gård
Carrane	Sandaler
William Lawrence Bragg	William Lawrence Bragg
Çhengaghyn Iddaalagh	Italiske språk
Bearkanagh	Bartrær
Pobblaght Hoveidjagh Hoshiallagh ny h-Armeain	Den armenske sosialistiske sovjetrepublikk
Jake Gyllenhaal	Jake Gyllenhaal
Limmeragh	Limerick
Marat Safin	Marat Safin
Pobblaght Hoveidjagh Hoshiallagh ny h-Ookraan	Den ukrainske sosialistiske sovjetrepublikk
Knesset	Knesset
William Henry Bragg	William Henry Bragg
Ellanyn Ashmore as Cartier	Ashmore og Cartierøyene
Organisation internationale de la Francophonie	La Francophonie
Cryss (eaddeeyn)	Belte
Eilat	Eilat
Boalley yn Accan	Vestmuren
Dicyemida	Rhombozoer
Screeu fockle	Logogram
Brest, y Velaroosh	Brest (Hviterussland)
Blaa greiney	Jordskokk
Keirn (billey)	Rogn
Brassica oleracea	Kål
Bossan	Smal dunkjevle
Berrish ghoo	Solbær
Berrish yiarg	Hagerips
Corockle daa-veillagh	Bilabialer
Çhengaghyn Anatoalagh	Anatoliske språk
Bullught	Bekkeblom
Cabbash nappinagh	Knutekål
Billey greimmey	Tarmvriasal
Bossan doo	Bred dunkjevle
Purt ny h-Inshey	Peel (Man)
Sniaul	Snaefell
Blaa Nollick	Julerose
Bugogue	Geitved
Billey frangagh	Gullregn
Airnag	Krike
Billey kidrane	Cedrat
Queiggaghyn ny Polynn	Polens voivodskap
Rhumsaa	Ramsey
Burgoonish (Germaanagh)	Burgundere
Burley	Brønnkarse
Caaylag	Rosenkål
Sphinx	Sfinks
Atlantic Airways	Atlantic Airways
Wikipedia:Kanys duillag dy reaghey	Hjelp:Redigering
Fillee beg	Kilt
Beetys shugyr	Sukkerbete
Bnei Brak	Bnei Brak
Herzliya	Herzliya
Macro-hengey ISO 639	Makrospråk
Sheeinteyder	Bluse
Cooat	Jakke
Bertie Ahern	Bertie Ahern
Crosh Yiarn	Jernkorset
Karlheinz Stockhausen	Karlheinz Stockhausen
Ushylagh killag	Cytoskjelett
Eretz Israel	Israels land
Spirited Away	Chihiro og heksene
Kronstadt	Kronsjtadt
Alfalfey	Lusern
Powys	Powys
Penshyn	Alderspensjon
Ardmarragh jiarg	Admiral (sommerfugl)
Billey rubbyr	Ekte gummitre
Çhengaghyn Oogragh	Ugriske språk
Beih argid	Hengebjørk
Unjin (billey)	Ask
Blaa arroo	Kornblom
Shykey	Platanlønn
Cabbag Pherick	Groblad
Rumex	Syreslekta
Ruyag veg	Neslesommerfugl
Booa ghone	Jordrøyk
Beih yiarg	Vanlig bjørk
Ard-firryn bane	Dauvnesle
Beih veg	Dvergbjørk
Billey coyin	Skrubbær
Lomonosov, y Roosh	Lomonosov (by)
Cabbash veein	Melde
Bossan argid	Gåsemure
Ellan Noo Perick	St Patrick's Isle
Langlish	Langness
An Ghaeltacht	Gaeltacht
Balley Chashtal	Castletown (Man)
Bee cooag	Gjøkesyre
Foillycan yn onnane	Tistelsommerfugl
Peacag	Dagpåfugløye
Arroghyr	Skjellgran
Hetra-veeagheyder	Heterotrofi
Steve McQueen	Steve McQueen
Blaa boalley	Gyldenlakk
Baboon	Bavianer
Faro	Faro
Harral Godwinson	Harald II av England
Queiggey Lion	Leinster
Billey masthag	Mastikstre
Inbhir Nis	Inverness
Amhrán na bhFiann	Amhrán na bhFiann
Ruble Belarooshagh	Hviterussisk rubel
Sarcopterygii	Kjøttfinnefisker
Sheshengoaylleeaght	Sosiolingvistikk
Brattagh ny Shillee	Chiles flagg
Billey smeyr	Sort morbær
Guilckagh (lus)	Ruscus aculeatus
Gorrymag chadjin	Tiriltungeblåvinge
Queiggey Cherkasy	Tsjerkasy oblast
Reeriaght ny Bretyn Mooar	Kongeriket Storbritannia
Cullee choshey	Fottøy
Coontae Chorkee	Cork (grevskap)
Colin Firth	Colin Firth
Ard-losserey	Korsknapp
Negev	Negevørkenen
Polygala vulgaris	Blåfjær
Billey plaaney	Platanslekta
Sant-Maloù	Saint-Malo
Jessica Biel	Jessica Biel
Queiggey Kherson	Kherson oblast
Hugh Grant	Hugh Grant
Doirrey	Londonderry
Kópavogur	Kópavogur
Queiggey Lviv	Lviv oblast
Queiggey Connaghtey	Connacht
Kione (grammeydys)	Subjekt (grammatikk)
Shillish	Morell
Caayl ny marrey	Strandkål
Bugogue varrey	Tindved
Billey shillish figgagh	Hegg
Beetys	Rødbete
Bananey garroo	Kokebanan
Eudicotyledonae	Egentlige tofrøbladede planter
Steornavaie	Stornoway
Fort Lauderdale, Florida	Fort Lauderdale
Heertçh	St. Kilda (Skottland)
Co-heshaght Dellal Seyr Oarpagh	EFTA
Queiggey Vinnytsia	Vinnytsia oblast
H. H. Asquith	Herbert Asquith
Corys parlamaidagh	Parlamentarisme
Gorllewin Morgannwg	West Glamorgan
Kistershee	Cistercienserordenen
Lhune ooyl	Sider
Meg Ryan	Meg Ryan
Frans Hals	Frans Hals
Nahariya	Nahariya
Queiggey Volyn	Volyn oblast
Queiggey Chernihiv	Tsjernihiv oblast
Trooid-ghaalaghey	Transpirasjon
Moan	Anglesey
Eeast scowanagh	Lungefisker
The Goon Show	The Goon Show
Pobblaght Hoveidjagh Hoshiallagh ny Kassaghstaan	Den kasakhiske sosialistiske sovjetrepublikk
Mooir yn Amlee	Sargassohavet
Queiggey Poltava	Poltava oblast
Howard Phillips Lovecraft	H.P. Lovecraft
Brattagh São Tomé as Príncipe	São Tomé og Príncipes flagg
Coontae ny Galliu	Galway (grevskap)
Queiggey Kyiv	Kiev oblast
Surransagh (grammeydys)	Patiens
Queiggey Zakarpattia	Zakarpattja oblast
Yn Çhaayr	Chester
Queiggey Sumy	Sumy oblast
Armys ny Polynn	Polens riksvåpen
Taganrog	Taganrog
Lofsöngur	Lofsöngur
Queiggey Kharkiv	Kharkiv oblast
Queiggey Dnipropetrovsk	Dnipropetrovsk oblast
Mirril	Mirakel
Pobblaght Hoveidjagh Hoshiallagh ny Moldaav	Den moldovske sosialistiske sovjetrepublikk
Crackan-oaylleeaght	Dermatologi
The Princess and the Frog	Prinsessen og frosken
Queiggey Khmelnytskyi	Khmelnytskyj oblast
Queiggey Zaporizhia	Zaporizjzja oblast
Ashdod	Ashdod
Queiggey Odessa	Odessa oblast
Queiggey Luhansk	Luhansk oblast
Lady and the Tramp	Lady og Landstrykeren
Arrane Ashoonagh ny h-Argenteen	Oid, Mortales
Reeriaght ny h-Iddaal	Kongedømmet Italia
Coigee	Vevstol
Coontae Cheeill Darey	Kildare (grevskap)
Mooir Weddell	Weddellhavet
Éamon de Valera	Éamon de Valera
Queiggey Ternopil	Ternopil oblast
Coontae Ghivlyn	Dublin (grevskap)
Abbey Road	Abbey Road (album)
Pobblaght Hoveidjagh Hoshiallagh ny Litaan	Den litauiske sosialistiske sovjetrepublikk
Eunysseyrys	Underholdning
Queiggey Rivne	Rivne oblast
Reeriaght Unnaneysit ny Bretyn Mooar as Nerin	Det forente kongerike Storbritannia og Irland
Co-vunstoo orgaanagh	Organisk forbindelse
Hemichordata	Hemichordater
Mary McAleese	Mary McAleese
Ocseed vercur	Kvikksølvoksid
Farang	Svelg
Michael Moore	Michael Moore
Cass (grammeydys)	Objekt (grammatikk)
Aahjioogh	Luftrør
Matt Damon	Matt Damon
Cleeah (cowrey)	Nummertegn
Cappan FIFA y Theihll 2010	VM i fotball 2010
Ayrneen fo-vreneenagh	Subatomær partikkel
Ocseed ollymin	Aluminiumoksid
Otradny, Queiggey Samara	Otradnyj
Purt Aer Ghivlyn	Dublin lufthavn
Queiggey Ivano-Frankivsk	Ivano-Frankivsk oblast
Coontae Limmeragh	Limerick (grevskap)
Chris Evans (aghteyr)	Chris Evans
Coontae Vay Eo	Mayo (grevskap)
Kristen Bell	Kristen Bell
Lisa Kudrow	Lisa Kudrow
Ooig-oaylleeaght	Speleologi
Steat unnaneagh	Enhetsstat
Coontae Shliggee	Sligo (grevskap)
Coontae Ghoon ny Ghoal	Donegal (grevskap)
Coontae Ros Comain	Roscommon (grevskap)
Euar	Barlind
Coondaeghyn Nerin	Irlands grevskap
Mwaagh slieau	Hare
Corsaid	Korsett
Coontae Cheeill Chennee	Kilkenny (grevskap)
Christopher Lee	Christopher Lee
Coondaeghyn jesh-chliaghtagh Hostyn	Seremonielt grevskap (England)
Truru	Truro
Natalie Wood	Natalie Wood
Queiggey Kirovohrad	Kirovohrad oblast
Keisht haaue jeeragh	Puslespill
Teri Hatcher	Teri Hatcher
Amniota	Amnioter
Queiggey Mykolaiv	Mykolajiv oblast
Eliezer Ben-Yehuda	Eliezer Ben-Yehuda
Please Please Me	Please Please Me (album)
Coontae yn Chlaair	Clare (grevskap)
Coontae Chaarlagh	Carlow (grevskap)
Sheelaght	Stavelsesskrift
With the Beatles	With The Beatles
Coontae Cheeill Mantan	Wicklow (grevskap)
Coontae ny h-Eearvee	Westmeath (grevskap)
Cluain Ioraird	Clonard (Meath)
Cercopithecidae	Dyreaper
Tree cassyn	Triskelion
Coontae Lhoo	Louth (grevskap)
Coontae ny Mee	Meath (grevskap)
Purt Largey	Waterford
Christina Ricci	Christina Ricci
Coontae Uíbh Fhailí	Offaly (grevskap)
Coontae Cherree	Kerry (grevskap)
Coontae Phurt Largey	Waterford (grevskap)
Coontae Logh Garman	Wexford (grevskap)
Coontae Hybbyrt Aarey	Tipperary (grevskap)
Jeihagane	Dekagon
Cloreed potashum	Kaliumklorid
Ogham	Ogham-skrift
The Aristocats	Aristokattene
Coontae Vuinaghan	Monaghan (grevskap)
Cowrey Israel	Israels riksvåpen
Croghaneyn-crooin y Reeriaght Unnaneysit	Kronbesittelse
Abjad	Abjad
Brian Cowen	Brian Cowen
Caghlaa-stayd	Faseovergang
Slyst Haifa	Haifa-distriktet
Coontae yn Lhongfort	Longford (grevskap)
Brattagh Vannin	Mans flagg
Carl Larsson	Carl Larsson
Armys Nerin	Irlands riksvåpen
Coontae yn Chavan	Cavan (grevskap)
Álvaro Uribe Vélez	Álvaro Uribe Vélez
Lusitania (lhong)	RMS «Lusitania»
Keyllys Kerch	Kertsjstredet
Ammyr Vristol	Bristolkanalen
Mary Robinson	Mary Robinson
Pesmad	Pastinakk
Slyst Yiass, Israel	Sørdistriktet
Slyst Veanagh, Israel	Sentraldistriktet
Bolgan (bea-oaylleeaght)	Vesikkel
Klaksvík	Klaksvík
Coontae Aontrym	Antrim (grevskap)
Vigdís Finnbogadóttir	Vigdís Finnbogadóttir
Aane ushtey	Levermoser
Coontae Aberdon	Aberdeenshire
Slyst Hwoaie, Israel	Norddistriktet
Flagellum	Flagell
Shliggagh	Sligo
Carboanaayt sodjum	Natriumkarbonat
Blaa villish	Stemorsblomst
Co-assee	Allelopati
Çhengoaylleeaght hennaghyssagh	Historisk lingvistikk
Christopher Plummer	Christopher Plummer
Vicente Fox	Vicente Fox
Coontae 'er Managh	Fermanagh (grevskap)
Coontae yn Doon	Down (grevskap)
Petah Tikva	Petah Tiqwa
Bootys	Støvler
Bussal mwannal	Skjerf
Króna Faaroagh	Færøysk krone
Thunney	Tonn
Zooey Deschanel	Zooey Deschanel
The Lion King II: Simba's Pride	Løvenes konge 2 – Simbas stolthet
Taoiseach	Taoiseach
Pobblaght Hoveidjagh Hoshiallagh ny Latvey	Den latviske sosialistiske sovjetrepublikk
Coontae Ghoirrey	Londonderry (grevskap)
Holon	Holon
Coontae Heer Eoin	Tyrone (grevskap)
Slyst Jerusalem	Jerusalem-distriktet
Chaetognatha	Pilormer
Arrishaght	Mimikry
Coontae Ard Maghey	Armagh (grevskap)
Far-skeealaght Ghothagh	Gotisk roman
Colloo Trajan	Trajansøylen
Ramat Gan	Ramat Gan
Slyst Tel Aviv	Tel Aviv-distriktet
Yn Çhannon	Shannon
Carlisle	Carlisle
Ivan Shishkin	Ivan Sjisjkin
Nomenclature d'unités territoriales statistiques	NUTS
Charlotte's Web (reddaghey)	Charlottes tryllevev
Sandomierz	Sandomierz
Tezuka Osamu	Osamu Tezuka
Ard Maghey	Armagh
Sienna Miller	Sienna Miller
Ardjyn Finnlynn	Finlands landskap
Emily Blunt	Emily Blunt
Slystyn Israel	Israels distrikter
Geayr salicylagh	Salisylsyre
Far-skeealaght scoaghagh	Grøsser
Unnaneys ny h-Affrick Yiass	Unionen Sør-Afrika
Sestroretsk	Sestroretsk
Kristin Kreuk	Kristin Kreuk
Mynreayrtan	Mikroskop
Fo-eaddagh	Undertøy
Peso Argenteenagh	Argentinsk peso
Oaylleeaght lioarlann	Bibliotek- og informasjonsvitenskap
Pobblaght Hoveidjagh Hoshiallagh ny Turkmenistaan	Den turkmenske sosialistiske sovjetrepublikk
Pobblaght Hoveidjagh Hoshiallagh ny Tajikistaan	Den tadsjikiske sosialistiske sovjetrepublikk
Peso Shilleeagh	Chilensk peso
Dooarchoo	Otere
Rishon LeZion	Rishon LeZion
Feevey	Fife
Dinan	Dinan
Dollar Soorinamagh	Surinamsk dollar
Queiggaghyn Nerin	Irlands provinser
Borðoy	Borðoy
Oirr ny Gaeil as Ellan Voaid	Argyll and Bute
Aonghas (ard coonseilagh)	Angus
Jason Segel	Jason Segel
Enez Eusa	Ouessant
Buada (slyst)	Buada
Kingston, Ontario	Kingston (Ontario)
Georges de La Tour	Georges de la Tour
Slieau Aragats	Aragats
Arabee Israelagh	Israelske arabere
Lodainn Heear	West Lothian
Doon Jialgan	Dundalk
Philosophiae Naturalis Principia Mathematica	Philosophiæ naturalis principia mathematica
Coontae Inver Ayre Hwoaie	North Ayrshire
Lítla Dímun	Lítla Dímun
Catarrhini	Østaper
Mean Lodainn	Midlothian
Elvis Costello	Elvis Costello
Logh Nay	Lough Neagh
Lannraig Hwoaie	North Lanarkshire
Sir Fynwy	Monmouthshire
Sveinn Björnsson	Sveinn Björnsson
Droghad Aah	Drogheda
Rolley ny rollageyn s'niessey da'n Chruinney	Liste over de nærmeste stjernene
Lodainn Hiar	East Lothian
Coontae Chlagh Manu	Clackmannanshire
Pobblaght ny Polynn (1918-1939)	Andre polske republikk
Agnieszka Radwańska	Agnieszka Radwańska
P. G. Wodehouse	P.G. Wodehouse
Daryl Hannah	Daryl Hannah
Peairt as Ceann Rois	Perth and Kinross
Mark Cavendish	Mark Cavendish
Cill Rìmhinn	St. Andrews
Émile Friant	Émile Friant
Ivan Kramskoi	Ivan Kramskoj
Elisabeth Shue	Elisabeth Shue
Coontae Dùn Breatainn Heear	West Dunbartonshire
Pen Sans	Penzance
Inver Chleayee	Inverclyde
Çheer ny Gaeil (ard coonseilagh)	Highland
Corockle meill-eeacklagh	Labiodentaler
Saint-Omer	Saint-Omer
Ammyr ny h-Albey	North Channel
Logh Garman	Wexford
Innys	Ennis
Coontae Inver Ayre Yiass	South Ayrshire
Coontae Inver Ayre Hiar	East Ayrshire
Ingólfr Arnarson	Ingolf Arnarsson
Lannraig Yiass	South Lanarkshire
Mooir Vretyn	St. George's Channel
Julia Stiles	Julia Stiles
Eliza Dushku	Eliza Dushku
Gass (çhengoaylleeaght)	Ordstamme
Niqāb	Niqab
Coontae Rinn Friù	Renfrewshire
Fwee (grammeydys)	Diatese
Moireibh	Moray
Creeaghyn ny h-Albey	Scottish Borders
Sulfaayt sodjum	Natriumsulfat
Coontae Dùn Breatainn Hiar	East Dunbartonshire
Coontae Rinn Friù Hiar	East Renfrewshire
Deynphobblaght ny Mongoil	Folkerepublikken Mongolia
Roger Ebert	Roger Ebert
Thie lhionney	Pub
Yn Laplann, y Toolynn	Lappland (Sverige)
Bohemian F.C.	Bohemian FC
Eaddagh-snaue	Badedrakt
Traie Lee	Tralee
Sir Benfro	Pembrokeshire
Baie Gdańsk	Gdańskbukten
Mykines, Ellanyn ny Geyrragh	Mykines
James Connolly	James Connolly
Eaghtyrane Nerin	Liste over Irlands presidenter
Grímsey	Grímsey
Immanaght	Hurling
The Hunchback of Notre Dame (scannane 1996)	Ringeren i Notre Dame (film)
John Bauer	John Bauer
Çhengaghyn Celtiagh ellanagh	Øykeltiske språk
Stoo	Materiale
Yn Cavan	Cavan
Emilie de Ravin	Emilie de Ravin
Reeriaght Nerin	Kongeriket Irland
Marçhan	Handelsmann
Çhengaghyn Celtiagh mooarheeragh	Fastlandskeltiske språk
Fianna Fáil	Fianna Fáil
Davy I ny h-Albey	David I av Skottland
Yn Agglish Vreck (ard coonseilagh)	Falkirk (region)
David Letterman	David Letterman
Lhune doo	Stout
Ceredigion	Ceredigion
Grianaig	Greenock
Landnámabók	Landnåmabok
Strooley (ard coonseilagh)	Stirling (region)
Sir Gaerfyrddin	Carmarthenshire
Yn Ooive	Navan
Ásgeir Ásgeirsson	Ásgeir Ásgeirsson
Rolley Eaghtyraneyn ny Latvey	Liste over Latvias presidenter
Oarlagh	Tomme (mål)
Coonseil Hreishteilaght ny h-Ashoonyn Unnaneysit	FNs tilsynsråd
Anabel Medina Garrigues	Anabel Medina Garrigues
Emilio Estevez	Emilio Estevez
Ramla	Ramla
Tim Henman	Tim Henman
Longwood, Ellan Helena Noo	Longwood
Nicanor Duarte Frutos	Nicanor Duarte Frutos
Faaroee	Færøyinger
Breeçhyn cuttagh	Kortbukse
Nunarput utoqqarsuanngoravit	Nunarput utoqqarsuanngoravit
Corockle lhiattagh	Lateraler
Wu Cheng'en	Wu Cheng'en
Ashoonaght	Nasjonalitet
Corockle cleaoil	Palataler
Gansee	Genser
Corockle sluggidagh	Glottaler
Kate Bosworth	Kate Bosworth
Diana Wynne Jones	Diana Wynne Jones
Natalie Dormer	Natalie Dormer
Kelly Preston	Kelly Preston
Summer Glau	Summer Glau
Urszula Radwańska	Urszula Radwańska
Ágnes Szávay	Ágnes Szávay
Thora Birch	Thora Birch
Ceboidea	Vestaper
Edith Mary Pargeter	Edith Pargeter
Aiwo (slyst)	Aiwo
Nólsoy (balley)	Nólsoy
Lambal	Lamballe
Sligo Rovers F.C.	Sligo Rovers FC
Bossan gorrym	Blåmunke
Fine Gael	Fine Gael
Trongisvágur	Trongisvágur
Glassag (foillycan)	Kystringvinge
Oie Houney	Allehelgensaften
Corockle farangagh	Faryngaler
Lhune freillagh	Lager (øl)
Eddie Izzard	Eddie Izzard
Kevin Phillips (bluckaneyr)	Kevin Phillips
Olonkinbyen	Olonkinbyen
Christy Moore	Christy Moore
Colaashtey ny Trinaid, Divlyn	Trinity College (Dublin)
Rolley çheeraghyn as thallooyn foddey ersooyl rere eaghtyr	Liste over verdens stater etter areal
Majandra Delfino	Majandra Delfino
Kollafjørður	Kollafjørður
Corockle cooyl-chroymmit	Retrofleks
Ard neu-chorpagh	Kommunefritt område
Yn Euar	Newry
Punt Yernagh	Irsk pund
Æðuvík	Æðuvík
Rosie O'Donnell	Rosie O'Donnell
Ben shee	Banshee
Patrick Pearse	Pádraig Pearse
Mur	Mûr-de-Bretagne
Ewa (slyst)	Ewa
Oashyryn bouinagh	Strømpebukse
Çhiarn Vannin	Herre av Mann
Aspickys Vannin	Sodor og Man bispedømme
Joseph Mary Plunkett	Joseph Mary Plunkett
Nicki Clyne	Nicki Clyne
Meechredjuagh	Agnostisisme
Marjorie Estiano	Marjorie Estiano
Chaim Herzog	Chaim Herzog
Fala	Fala
Sigmundur Brestisson	Sigmundur Brestisson
Lolo Ferrari	Lolo Ferrari
Cionn Mhálanna	Malin Head
Ree Vannin	Liste over konger av Man
Robert Englund	Robert Englund
Alan Alda	Alan Alda
Kristján Eldjárn	Kristján Eldjárn
James McFadden	James McFadden
Patrick Hillery	Patrick Hillery
Billey slaanee	Sennaslekten
Hal Holbrook	Hal Holbrook
Richard Griffiths	Richard Griffiths
Donald Pleasence	Donald Pleasence
Noo Niglus (persoonid Nollick)	Julenissen
Mozarabish	Mozarabisk
Pobblaght ny Taiwaan (1895)	Republikken Formosa
Ennalaghey (sheeanaghtys)	Aspirasjon
Abbyrlhit Coptagh	Det koptiske alfabetet
Baare jiarg-buigh	Aurorasommerfugl
Kiryat Shmona	Qiryat Shemona
Meneng (slyst)	Meneng
Baiti (slyst)	Baiti
Anibare (slyst)	Anibare
Anabar (slyst)	Anabar
Ijuw (slyst)	Ijuw
Uusimaa Hiar	Östra Nyland
Billey kenney	Jordbærtre
Steve Bruce	Steve Bruce
Stephen Kelly	Stephen Kelly
Radhi Jaïdi	Radhi Jaïdi
Rory Gallagher	Rory Gallagher
Liam Ridgewell	Liam Ridgewell
Jóannes Eidesgaard	Jóannes Eidesgaard
Charles Haughey	Charles J. Haughey
Rheynn (bea-oaylleeaght)	Divisjon (botanikk)
Magnus VI	Magnus Lagabøte
Þingvallavatn	Þingvallavatn
Abugida	Abugida
Þórisvatn	Þórisvatn
Clou iddaalagh	Kursiv
Lee Carsley	Lee Carsley
Balley Aah Luain	Athlone
Sean Faris	Sean Faris
Agglish Ashoonagh Ellanyn ny Geyrragh	Fólkakirkjan
Nibok (slyst)	Nibok
Anetan (slyst)	Anetan
Boe (slyst)	Boe
Garry O'Connor	Garry O'Connor
Aer Árann	Aer Arann
Jack Lynch	Jack Lynch
John A. Costello	John A. Costello
Finn Mac Cooil	Fionn mac Cumhaill
Saum 23	Salme 23
Świecie	Świecie
Thing	Ting (forsamling)
Rolley fir hoshee steat ny Keinney	Liste over Kenyas presidenter
Jantagh (grammeydys)	Agens (språkvitenskap)
Aittin	Gulltornslekta
St Patrick's Athletic F.C.	St Patrick's Athletic FC
Michael J. Fox	Michael J. Fox
Çhengey chadjinit	Standardspråk
Creg Ealish	Ailsa Craig
Sulfaayt kelkium	Kalsiumsulfat
Ocseed sodjum	Natriumoksid
Sulfaayt ollymin	Aluminiumsulfat
Caernarfon	Caernarfon
Nasair	Nasaret
Binn Éadair	Howth
Jeeghyn Egyptagh	Oldtidens egyptiske religion
Ronney:Shennaghys rere bun-chooish	Kategori:Historie etter tema
Crooin Hostyn	Kronen
Ollooscoill Ghurham	Universitetet i Durham
Armys Vannin	Mans våpenskjold
Shennaghys Vannin	Mans historie
Reeriaght Vannin as ny h-Ellanyn	Kongedømmet Mann og Øyene
Derry City F.C.	Derry City FC
Marcus Bent	Marcus Bent
Thomas Clarke (irreyder magh)	Thomas J. Clarke
Poagey laue	Veske
Seán Lemass	Seán Lemass
Abbyrlhit Gothagh	Det gotiske alfabetet
Poncho	Poncho
Hadera	Hadera
Uaboe (slyst)	Uaboe
Tczew	Tczew
Anemoi	Anemoi
Purt Aer Tan Son Nhat	Tan Son Nhat internasjonale lufthavn
Caslys	Bilde
Phenomenon	Fenomen
Elijah Wood	Elijah Wood
Fer sniaghtee	Snømann
Pobblaght Hoveidjagh Hoshiallagh ny h-Oosbeckistaan	Den usbekiske sosialistiske sovjetrepublikk
Caayr Kansas, Kansas	Kansas City (Kansas)
Çhionnal Ashoonagh Vretin	Nasjonalforsamlingen for Wales
Ulvey	Ulva
Taabyl	Tabell
Diepholz	Diepholz
Overland Park, Kansas	Overland Park
Emshir ry-heet	Futurum
Baljaght Ishøj	Ishøj kommune
Partee yn Lught Obbyr (Nerin)	Labour Party (Irland)
Chris Pratt	Chris Pratt
Sir y Fflint	Flintshire
Purt Çhiarn	Port Erin
Buighag ny shamrag	Vandregulvinge
Fo-hroar soe	Sekundær metabolitt
Onnane (lus)	Tistel
Ordnance Survey	Ordnance Survey
Ronney:Far-inçhynaght	Kategori:Kunstig intelligens
Christopher Massey	Christopher Massey
Nahuatl Chlassicagh	Klassisk nahuatl
Anna Chakvetadze	Anna Tsjakvetadze
Máirtín Ó Cadhain	Máirtín Ó Cadhain
Spike Milligan	Spike Milligan
Kronberg im Taunus	Kronberg im Taunus
Reagheyder (grammeydys)	Determinativ
An Tamer	Tamar (England)
Hvalvík	Hvalvík
Fontanka	Fontanka
Moyka (awin)	Mojka
Scannaneaght	Kinematografi
Blaenau Gwent	Blaenau Gwent
Reeriaght ny h-Ungaar (1920-1946)	Kongedømmet Ungarn (1920–1946)
Na Speiríní	Sperrinfjellene
Dellal	Handel
Vestmanna	Vestmanna
Keeill Airney	Killarney
Cooyl-screeudeyr	Skyggeforfatter
Corockle scoarnagh	Uvularer
Aghill	Achill
Genus (reddaghey)	Slekt
Ardjyn Vuirchol	Ardnamurchan
Ard Rushen	Ardrossan
Arenal (volcaan)	Arenal
Torfaen	Torfaen
Argir	Argir
Sir Ddinbych	Denbighshire
Dáil Éireann	Dáil Éireann
Keeill Mantan	Wicklow
Corockle crank	Flapp
Reykjanesbær	Reykjanesbær
Keeill Vreeshey Hiar	East Kilbride
Teachta Dála	Teachta Dála
Ooisht y Twoaie	North Uist
Breck ny keylley	Skogringvinge
Hvalba	Hvalba
Eisteddfod	Eisteddfod
Bilhorod-Dnistrovskyi	Bilhorod-Dnistrovskyj
Norðragøta	Norðragøta
Hoyvík	Hoyvík
Baneag gheayney	Rapssommerfugl
Ardjyn Vretin	Hovedområde (Wales)
Viðareiðis kommuna	Viðareiðis kommuna
Galicia	Galicia
Eiði	Eiði
Ny Gaeil	Gælere
Gaoth Dobhair	Gaoth Dobhair
Co-chorp Coontae Phen-y-bont ar Ogwr	Bridgend (grevskapsdistrikt)
Arrane Ashoonagh Vannin	Arrane Ashoonagh Dy Vannin
Frankfurt/Rhein-Main	Rhein-Main-området
Kilomeadar kerrinagh	Kvadratkilometer
Rolley çheeraghyn rere earroo yn phobble	Liste over verdens stater etter befolkningsstørrelse
Organe (ronsaghey-kirpey)	Organ
Clade	Klade
Yn Ghermaan Heear	Vest-Tyskland
Ocseed yiarn	Jernoksider
Mandarin Chadjinit	Standard kinesisk
William Heath Robinson	William Heath Robinson
Fuglafjørður	Fuglafjørður
Trójmiasto	Trippelbyen
Bogrenish	Kongsbregne
W. V. Awdry	W.V. Awdry
Bwoid saggyrt	Flekkmarihand
Portmeirion	Portmeirion
Rolley baljyn ayns Ellanyn ny Geyrragh	Liste over bosetninger på Færøyene
Slættaratindur	Slættaratindur
Hósvík	Hósvík
Cobbrag veg	Ildgullvinge
Kione Beih	Birkenhead
Co-chorp Coontae Chaerffili	Caerphilly (grevskapsdistrikt)
Castell-nedd Port Talbot	Neath Port Talbot
Co-chorp Coontae Verthyr Tudful	Merthyr Tydfil
Runavík	Runavík
Tvøroyri	Tvøroyri
Donnag faiyr	Rappringvinge
Manhua	Manhua
Vágur	Vágur
Polygonia c-album	Hvit c
Baile Átha Buí	Athboy
Lheiney polo	Pikéskjorte
Aah yn Ree	Athenry
Beinn na Faoghla	Benbecula
Pobblaght Hene-reiltagh ny Crimeea	Den autonome republikken Krim
Rolley Ard-Vinishteryn ny Spaainey	Liste over Spanias statsministere
Damhliag	Duleek
Colught	Selskap (jus)
Gorrymag hollin	Vårblåvinge
Béal Átha Seanaidh	Ballyshannon
Braag-spoyrt	Joggesko
Jees sloo	Minimalt par
Enmys mynphlanaidyn	Småplanetnavn
Rhondda Cynon Taf	Rhondda Cynon Taf
Co-chorp Coontae Chonwy	Conwy (grevskapsdistrikt)
Bolgan glare	Snakkeboble
Tinvaal	Tynwald
Abejar	Abejar
Alfey	Alfagress
Steat Seyr Lippe	Fristaten Lippe
Rolley ellanyn ayns Ellanyn ny Geyrragh	Liste over øyer på Færøyene
Toftir	Toftir
Leirvík	Leirvík
Classicee	Klassisk
Naghtyreen	Nektarin
Sandur, Ellanyn ny Geyrragh	Sandur
Traa ynnydagh ny h-Oarpey Heear	Vesteuropeisk tid
Co-chorp Coontae Wrecsam	Wrexham (grevskapsdistrikt)
Co-chorp Coontae Vro Morgannwg	Vale of Glamorgan
Sandavágur	Sandavágur
Hopen	Hopen
An Gearasdan	Fort William (Skottland)
Cammag Albinagh	Shinty
Breckag ghoo-ghlass	Aglajaperlemorvinge
Freoaghane beg	Engringvinge
Miðvágur	Miðvágur
Pictish	Piktisk
Çhengey ergatagh-jeeragh	Ergativspråk
