Àfrica	Afrika
Toy Story 3	Toy Story 3
Hurghada	Hurghada
Premi Goncourt	Goncourt-prisen
Lliga escocesa de futbol	Scottish Premier League
Carl Larsson	Carl Larsson
Robert I d'Escòcia	Robert I av Skottland
Aberdeen Football Club	Aberdeen FC
Palau Anítxkov	Anitsjkovpalasset
Giuseppe Mazzini	Giuseppe Mazzini
Constantina (Algèria)	Constantine (Algerie)
John H. Watson	Dr. Watson
Kavala	Kavala
Bolquer	Bleie
Robert Zemeckis	Robert Zemeckis
Província d'Hamadan	Hamadan (provins)
FA Premier League 2007-08	Premier League 2007/08
Mikoian-Gurévitx MiG-15	Mikojan-Gurevitsj MiG-15
Escut d'Irlanda	Irlands riksvåpen
Mielina	Myelin
Eiður Smári Guðjohnsen	Eiður Guðjohnsen
Comtat de Cavan	Cavan (grevskap)
Diorita	Dioritt
Copa del Món de Futbol 2010 - Grup B	VM i fotball 2010 – Gruppe B
Álvaro Uribe Vélez	Álvaro Uribe Vélez
Fòssil vivent	Levende fossil
RMS Lusitania	RMS «Lusitania»
Fernando Rubén Gago	Fernando Gago
Llenguatge script	Skriptspråk
Urticària	Elveblest
Pablo Escobar	Pablo Escobar
Turisme ecològic	Økoturisme
Philippe Sylvain Senderos	Philippe Senderos
Bar (comerç)	Bar (utested)
Entaulament	Entablement
Stargate SG-1	Stargate SG-1
Registres de la CPU	Prosessorregister
Ítaca	Ithaka
Howard Webb	Howard Webb
Tapís de Bayeux	Bayeux-teppet
Vaca marina de Steller	Stellers sjøku
Baklava	Baklava
Honoré Daumier	Honoré Daumier
Master of Puppets	Master of Puppets
Carles III de França	Karl den enfoldige
Charles Sanders Peirce	Charles S. Peirce
Dinastia Bagrationi	Bagrationidynastiet
Melanina	Melanin
Royal Sporting Club Anderlecht	RSC Anderlecht
Efecte papallona	Sommerfugleffekten
Orde de Sant Joan de Jerusalem	Johanitterordenen
Toyotomi Hideyoshi	Toyotomi Hideyoshi
Scheme	Scheme
Secret Garden	Secret Garden
24 Hores de Le Mans	24-timersløpet på Le Mans
Societat de classes	Klasse (sosiologi)
Lubumbashi	Lubumbashi
Circe	Kirke (gresk mytologi)
Taní	Tannin
Relíquia	Relikvie
Huracà Irene (2011)	Orkanen Irene (2011)
Interpolació	Interpolasjon
Emulsió	Emulsjon
Qutab Minar	Qutb Minar
Equador celeste	Himmelekvator
Gran Purga	Den store terroren
Doblatge	Dubbing
Termòstat	Termostat
Emigració	Utvandring
Lleis de Kirchhoff	Kirchhoffs lover
Despotat de l'Epir	Despotatet Epirus
Tesi doctoral	Avhandling
Oxidant	Oksidasjonsmiddel
Sarin	Sarin
Vimercate	Vimercate
François Duvalier	François Duvalier
Basílica del Sant Sepulcre	Den hellige gravs kirke
Coipú	Sumpbever
Abu Dhabi	Abu Dhabi
Secta dels assassins	Assasiner
Corpus Juris Civilis	Corpus juris civilis
Monsters, Inc.	Monsterbedriften
RuneScape	RuneScape
Güelfs i gibel·lins	Ghibellinerne og guelferne
Bohemian Rhapsody	Bohemian Rhapsody
Merelbeke	Merelbeke
New wave	New Wave
Henry Miller	Henry Miller
GmailFS	GmailFS
Llista de les ciutats de Rússia	Byer i Russland
Denari	Denarius
Ocarina	Okarina
Algorisme genètic	Genetisk algoritme
Serigrafia	Silketrykk
Aurenja	Orange (Vaucluse)
Citizendium	Citizendium
Spokane (Washington)	Spokane
Balantiocheilos melanopterus	Sølvhai
Tracy Chapman	Tracy Chapman
Leblon	Leblon
Guió (signe de puntuació)	Tankestrek
Jerome Isaac Friedman	Jerome Isaac Friedman
Història d'Àustria	Østerrikes historie
Mandy Moore	Mandy Moore
Torn	Dreiebenk
Saona	Saône
Vosges (serralada)	Vogesene
Pitbull (cantant)	Pitbull (rapper)
Alfabet rus	Det russiske alfabetet
Flauta dolça	Blokkfløyte
Oca de coll roig	Rødhalsgås
Scandinavian Airlines System	Scandinavian Airlines
Opció	Opsjon
Potenciòmetre	Potensiometer
Kunlun	Kunlunfjellene
Província de Plòvdiv	Plovdiv oblast
Gran khan	Khagan
Piga	Fregner
Sofia Amàlia Moth	Sophie Amalie Moth
Estret de Kertx	Kertsjstredet
Fernando Llorente Torres	Fernando Llorente
San Pedro de Atacama	San Pedro de Atacama
Zonguldak	Zonguldak
Civilització tolteca	Toltekere
Deep Blue	Deep Blue
Cristologia	Kristologi
Polla blava	Sultanhøne
Minix	Minix
Àgora	Agora
Brageirac	Bergerac (Dordogne)
Fenolftaleïna	Fenolftalein
Ginny Weasley	Gulla Wiltersen
Província de Caraş-Severin	Caraș-Severin
Monorail	Énskinnebane
Pitești	Pitești
Ochroma pyramidale	Balsatre
Antílop americà	Prærieantilope
Piatra Neamț	Piatra Neamț
Partitura	Partitur
Contenidor	Container (transport)
Pingüí d'Adèlia	Adeliepingvin
Propietat distributiva	Distributiv lov
Léon Foucault	Jean Bernard Léon Foucault
Uadi	Wadi
Iberia LAE	Iberia Airlines
Període tinita	Tidlig dynastisk tid i Egypt
Gymnocephalus cernua	Hork
Alcibíades	Alkibiades
Tibetans	Tibetanere
Truita arc de Sant Martí	Regnbueørret
Ragnar Frisch	Ragnar Frisch
Leighton Baines	Leighton Baines
Vegetació	Vegetasjon
Cèsar Borja	César de Borja
Crash (pel·lícula de 2004)	Crash (2004)
Dispnea	Dyspné
Nick Nolte	Nick Nolte
Mardin	Mardin
Llac salat	Saltsjø
Escut de l'Iran	Irans riksvåpen
Fasmatodeu	Spøkelsesinsekter
Metropolitan Opera	Metropolitan Opera
Lo Mont	Mont-de-Marsan
Apocalypto	Apocalypto
Pedrera	Pukkverk
Merlí	Merlin
Escut de Lituània	Litauens riksvåpen
Escut de Tailàndia	Thailands riksvåpen
ReCAPTCHA	ReCAPTCHA
Setge	Beleiring
Triangulació	Triangulering
Comtat de Vílnius	Vilnius fylke
Feu	Len
Comtat de Järva	Järva fylke
Bandera de Tonga	Tongas flagg
WIMP	Wimp (andre betydninger)
Comtat de Võru	Võru fylke
Arantxa Sánchez Vicario	Arantxa Sánchez Vicario
Český Krumlov	Český Krumlov
Escut del Txad	Tsjads riksvåpen
Comtat de Panevėžys	Panevėžys fylke
Penang	Penang
PhpMyAdmin	PhpMyAdmin
Francesca Schiavone	Francesca Schiavone
Ayumi Hamasaki	Ayumi Hamasaki
Ronald Coase	Ronald Coase
Yoichiro Nambu	Yoichiro Nambu
Staphylococcus aureus	Gule stafylokokker
Aleksei Abrikóssov	Aleksej Abrikosov
Jeffrey Jacob Abrams	J.J. Abrams
Montreal Canadiens	Montreal Canadiens
Província de Kunar	Konar (provins)
Isquèmia	Iskemi
Pectina	Pektin
Província de Parwan	Parvan (provins)
Universíades	Universiaden
A Dangerous Method	A Dangerous Method
Índies Orientals Neerlandeses	Nederlandsk India
Fat Man	Fat Man
Província d'Adrar	Adrar (provins)
Apollo 16	Apollo 16
William Seward Burroughs	William S. Burroughs
Premi Abel	Abelprisen
Palau de l'Elisi	Elyséepalasset
Corda (geometria)	Korde
Tocopilla	Tocopilla
Vättern	Vättern
Mario Kart	Mario Kart
Fabian Cancellara	Fabian Cancellara
Ogg	Ogg
Bòer	Boere
Canal de Bristol	Bristolkanalen
George Armstrong Custer	George Armstrong Custer
Eix (mecànica)	Aksling
Tauró tigre	Tigerhai
Estat confessional	Statskirke
Mary Robinson	Mary Robinson
SEAT	SEAT
Autoclau	Autoklav
Moda (estadística)	Typetall
Selecció de futbol del Salvador	El Salvadors herrelandslag i fotball
Successió vegetal	Suksesjon
Dècada del 1400	1400-årene
Cíbele	Kybele
Epífit	Epifytt
Ricardo Andrade Quaresma Bernardo	Ricardo Quaresma
Polièster	Polyester
Gluten	Gluten
Fezzan	Fezzan
Paradigma de programació	Programmeringsparadigme
Ubisoft	Ubisoft
Principi de les caselles	Skuffeprinsippet
Cruzeiro Esporte Clube	Cruzeiro Esporte Clube
Christina Applegate	Christina Applegate
Cantó d'Esch-sur-Alzette	Esch-sur-Alzette (kanton)
Motet	Motett
Rupia pakistanesa	Pakistansk rupi
Frits Zernike	Frits Zernike
Escut de Bahrain	Bahrains riksvåpen
Petit teorema de Fermat	Fermats lille teorem
Sunderland (Tyne i Wear)	Sunderland (Tyne and Wear)
Exèrcit de Salvació	Frelsesarmeen
Blackburn	Blackburn
Porto Venere	Portovenere
Futbol als Jocs Olímpics	Fotball under sommer-OL
Escut del Brasil	Brasils riksvåpen
H&M	Hennes & Mauritz
Safed	Safed
Nicéphore Niépce	Joseph Nicéphore Niépce
Geoffrey de Monmouth	Geoffrey av Monmouth
Mitjana harmònica	Harmonisk gjennomsnitt
Branquiòpode	Bladfotkreps
Rocky Marciano	Rocky Marciano
Selecció de futbol de Iugoslàvia	Jugoslavias herrelandslag i fotball
Relació d'ones estacionàries	Stående bølger
Gran Fam Irlandesa	Hungersnøden i Irland 1845–1849
Regió de Bohèmia Meridional	Sydböhmen (region)
Lucy Liu	Lucy Liu
Gertrude Stein	Gertrude Stein
Aladroc	Ansjos
Ficologia	Fykologi
Leptó tau	Tau (elementærpartikkel)
Nippur	Nippur
Regió de Bohèmia Central	Sentralböhmen (region)
Emily Osment	Emily Osment
Química quàntica	Kvantekjemi
Snow Patrol	Snow Patrol
Bernat de Claravall	Bernhard av Clairvaux
Newsweek	Newsweek
Neutròfil	Nøytrofil granulocytt
Esperança de vida	Forventet levealder
Roy Orbison	Roy Orbison
Bangka	Bangka
Football Club København	FC København
Apollo 12	Apollo 12
ALGOL	ALGOL (programmeringsspråk)
Teròpode	Theropoder
Tangled	To på rømmen
Micronació	Mikronasjon
Geometria diferencial	Differensialgeometri
Tallarol de casquet	Munk (fugl)
Cable elèctric	Kabel
Llista de ciutats i pobles de Romania	Liste over byer i Romania
Neurocirurgia	Nevrokirurgi
Yamaha Corporation	Yamaha
Ex-libris	Ex libris
Danny Welbeck	Danny Welbeck
Panspèrmia	Panspermi
Goldie Hawn	Goldie Hawn
Dannii Minogue	Dannii Minogue
Espectròmetre	Spektrometer
Pixies	Pixies
Incoterms	Incoterms
Jocs Olímpics de l'antiguitat	Antikkens olympiske leker
Artaxerxes II de Pèrsia	Artaxerxes II av Persia
Gènere d'acció	Actionfilm
Limusina	Limousin (bil)
Bandera de Samoa	Samoas flagg
Brăila	Brăila
Paramagnetisme	Paramagnetisme
Robin Gibb	Robin Gibb
Comerç just	Rettferdig handel
Apollo 7	Apollo 7
Llac Trasimè	Trasimeno
Escata	Fiskeskjell
Illa del Cap Bretó	Cape Breton
Seth MacFarlane	Seth MacFarlane
Dècada del 140	140-årene
Caça de bruixes	Hekseprosessene
Batalla d'Agincourt	Slaget ved Agincourt
Cos d'exèrcit	Korps (forband)
Elisha Cuthbert	Elisha Cuthbert
Llista de municipis de l'Ain	Kommuner i departementet Ain
Sebastian Newbold Coe	Sebastian Coe
Província de Brăila	Brăila (fylke)
Medicina alternativa	Alternativ behandling
Província de Constanța	Constanța (fylke)
Banca electrònica	Nettbank
Apartament	Leilighet
Raval (urbanisme)	Forstad
Garait	Guéret
Tata Motors	Tata Motors
Los Angeles Times	Los Angeles Times
Festival de la Cançó d'Eurovisió 1958	Eurovision Song Contest 1958
Horòscop	Horoskop
Egipci demòtic	Demotisk
Elements clàssics	Elementene
Placa eurasiàtica	Den eurasiske kontinentalplate
Proves de programari	Programvaretesting
Marina Tsvetàieva	Marina Tsvetajeva
Naxos (illa)	Naxos (øy)
Pont Vell de Mostar	Stari Most
Dècada del 1410	1410-årene
Objective-C	Objective-C
Acords de Bretton Woods	Bretton Woods-systemet
Cinturó de Van Allen	Van Allen-beltene
Tigre de la mar Càspia	Kaspitiger
An	An (gud)
El mestre i Margarida	Mesteren og Margarita
Glam metal	Glam metal
Economia dels Estats Units	USAs økonomi
Chandragupta Maurya	Chandragupta Maurya
Aliaksandr Paŭlavič Hleb	Alexandr Hleb
Clorur d'amoni	Salmiakk
Nélson de Jesus Silva	Dida
Pangrama	Pangram
Campionat d'Europa de futbol 1976	EM i fotball 1976
República Batava	Den bataviske republikk
Wine	Wine
Legió Estrangera Francesa	Fremmedlegionen
Llibre de Sofonies	Sefanja (bok)
Massimo Ambrosini	Massimo Ambrosini
Defensa siciliana	Siciliansk (sjakkåpning)
Grameen Bank	Grameen Bank
Selecció de futbol de Macedònia	Makedonias herrelandslag i fotball
William Godwin	William Godwin
Fèliks Dzerjinski	Feliks Dzerzjinskij
Copa del Món de Futbol 2010 - Grup D	VM i fotball 2010 – Gruppe D
Fet	Faktum
Winnie-the-Pooh	Ole Brumm
IMAX	IMAX
Copa del Món de Futbol 2010 - Grup C	VM i fotball 2010 – Gruppe C
Frenologia	Frenologi
Copa del Món de Futbol 2010 - Grup G	VM i fotball 2010 – Gruppe G
Regne de Sicília	Kongedømmet Sicilia
Tokamak	Tokamak
Exèrcit Zapatista d'Alliberament Nacional	EZLN
Copa del Món de Futbol 2010 - Grup F	VM i fotball 2010 – Gruppe F
Segona Internacional	Den andre internasjonalen
Cefeida	Kefeide
Copa del Món de Futbol 2010 - Grup E	VM i fotball 2010 – Gruppe E
Bomba Tsar	Tsar Bomba
Funció lineal	Lineær funksjon
Copa del Món de Futbol 2010 - Grup A	VM i fotball 2010 – Gruppe A
Sisó	Dvergtrappe
Purana (hinduisme)	Puranaene
Capil·laritat	Kapillarkrefter
Emfisema pulmonar	Lungeemfysem
Rial iranià	Iransk rial
Bandera de Palau	Palaus flagg
Pest	Pest (fylke)
Confirmació	Konfirmasjon
Xirivia	Pastinakk
Abdera	Abdera
Reial Jardí Botànic de Kew	Royal Botanic Gardens i Kew
Hanuman	Hanuman
Jerarquia	Hierarki
Rigoberta Menchú Tum	Rigoberta Menchú
La Bohème	La bohème
Anaconda	Anakondaer
François Viète	François Viète
Pyeongchang	Pyeongchang
Sonic Youth	Sonic Youth
Harold Harefoot	Harald Harefot
Consell d'administració	Styre
Vulcanització	Vulkanisering
Roy Maurice Keane	Roy Keane
Maties Corví	Mattias Corvinus
Pont de xarxa	Bro (datanettverk)
SI	SI
Serial ATA	Serial ATA
Mugró	Patte
Game Boy Advance	Game Boy Advance
Farinera borda	Grønn fluesopp
Terciari	Tertiær
Marc Anneu Lucà	Marcus Annæus Lucanus
Lusitània	Lusitania
Fotoquímica	Fotokjemi
Rocky	Rocky
Àhmad Yassín	Ahmed Yassin
Ediacarià	Ediacara
Salami	Salami
Fudbalski Klub Partizan	FK Partizan
Hiena ratllada	Stripehyene
Comtat d'Utena	Utena fylke
Hoatzín	Hoatsin
Província de Neamț	Neamț
Marin Mersenne	Marin Mersenne
Província de Prahova	Prahova (fylke)
Adhesió	Adhesjon
Burhanuddin Rabbani	Burhanuddin Rabbani
Thom Yorke	Thom Yorke
Llar de foc	Ildsted
Comunisme llibertari	Anarkokommunisme
Preity Zinta	Preity Zinta
Segó	Kli
Controlador lògic programable	Programmerbar logisk styring
Signatura	Signatur (navnetrekk)
Garuda	Garuda
Resurrecció	Oppstandelse
Edmund II Ironside	Edmund II av England
Ocupació militar	Okkupasjon
Gronxador	Huske
Mamba negra	Svart mamba
Teranyina	Edderkoppnett
Rodolfo Valentino	Rudolph Valentino
Butrint	Butrint
DirectX	DirectX
Christian Vieri	Christian Vieri
Alphonse de Lamartine	Alphonse de Lamartine
Kilauea	Kīlauea
Estadi Municipal de Poznań	Stadion Miejski (Poznań)
Maui	Maui
Estadi Municipal de Wrocław	Stadion Miejski (Wrocław)
Simfonia núm. 5 (Beethoven)	Symfoni nr. 5 (Beethoven)
Thai Airways International	Thai Airways International
Sahaba	Sahaba
The Kinks	The Kinks
Nau (arquitectura)	Midtskip
Smilodon	Smilodon
El pont del riu Kwai	Broen over Kwai
Isostàsia	Isostasi
Michael Laudrup	Michael Laudrup
Anihilació	Tilintetgjøring (kvantemekanikk)
Quod erat demonstrandum	Q.E.D.
Antiinflamatori no esteroïdal	Ikkesteroid antiinflammatorisk middel
Lligadura (tipografia)	Ligatur
Anthony Minghella	Anthony Minghella
Privadesa	Personvern
Rodes (ciutat)	Rhodos (by)
Província de Hómiel	Homjel voblast
Dolina	Synkehull
Enveja	Misunnelse
Museu d'Art Modern de Nova York	Museum of Modern Art
Pleonasme	Pleonasme
Lisieux	Lisieux
Freida Pinto	Freida Pinto
Jermain Defoe	Jermain Defoe
Bulb	Løk (botanikk)
Rossinyol (bolet)	Kantarell
Cèsar (títol)	Caesar (tittel)
Finlàndia del Sud	Södra Finlands län
Castell Himeji	Himejiborgen
Я	Я
Icosàedre	Ikosaeder
Democràcia representativa	Representativt demokrati
Hulk	Hulk
Vestal	Vestalinnene
Judas (cançó)	Judas (sang)
FLOPS	FLOPS
Telephone	Telephone
Acadèmia Francesa de les Ciències	Det franske vitenskapsakademiet
Willem Dafoe	Willem Dafoe
Okavango	Okavango
Castres (Tarn)	Castres
Amida (grup funcional)	Amid
Noruecs	Nordmenn
Rodés (Avairon)	Rodez
Districte del Sud (Israel)	Sørdistriktet
Selecció de futbol de Malta	Maltas herrelandslag i fotball
Moshe Dayan	Moshe Dayan
Superheroi	Superhelt
Districte Central (Israel)	Sentraldistriktet
Lliga de Campions de la UEFA 2008-09	Mesterligaen 2008/2009
Falàfel	Falafel
Ascas	Asques (Gironde)
Concubinat	Konkubinat
Selecció de futbol de Xipre	Kypros' herrelandslag i fotball
David Schwimmer	David Schwimmer
Joan Capdevila i Méndez	Joan Capdevila
Isaïes (profeta)	Jesaja
Província de Galaţi	Galați (fylke)
Província de Dâmbovița	Dâmbovița (fylke)
Matança a Virgínia Tech	Virginia Tech-massakren
Unió personal	Personalunion
Kensington i Chelsea	Kensington and Chelsea
Christiaan Barnard	Christiaan Barnard
Factorització	Faktorisering
Kitakyushu	Kitakyūshū
Xarjah	Sharjah
Província de Maramureș	Maramureș (fylke)
Església Ortodoxa Sèrbia	Den serbisk-ortodokse kirke
LDAP	Lightweight Directory Access Protocol
Billboard 200	Billboard Hot 200
Poni	Ponni
Esposa	Hustru
Xiongnu	Xiongnu
Bandera d'Aruba	Arubas flagg
Fortaleza Esporte Clube	Fortaleza Esporte Clube
Abrasió (geologia)	Abrasjon
Voluntariat	Frivillighet
Rain Man	Rain Man
Mamma Mia! (pel·lícula)	Mamma Mia! (film)
Bulbul	Bylbyler
Panteó de París	Panthéon
Nicolas Boileau-Despreaux	Nicolas Boileau-Despréaux
Biblioteca informàtica	Bibliotek (programvare)
Cicloalcà	Sykloalkan
Exili	Eksil
Lo Barp	Le Barp
Heptàgon	Heptagon
Camp (agricultura)	Åker
Orontes	Orontes
Història de l'Afganistan	Afghanistans historie
Càncer colorectal	Tarmkreft
Ping	Ping (program)
Pinsà mec	Bjørkefink
Dacs	Dax (Landes)
Salmó europeu	Laks
Climent d'Alexandria	Klemens av Alexandria
Octàedre	Oktaeder
Familiar (automòbil)	Stasjonsvogn
Llista de ciutats de Portugal	Liste over byer i Portugal
Dia del mestre	Lærerdag
Codi	Kode
Veszprém (província)	Veszprém (fylke)
Ribeirão Preto	Ribeirão Preto
Kütahya	Kütahya
Nova Iguaçú	Nova Iguaçu
The Fox and the Hound 2	To gode venner 2
Sorocaba	Sorocaba
Menci	Mencius
Gao	Gao (Gao)
Ouro Preto	Ouro Preto
Poliplacòfor	Leddsnegler
Llei de Murphy	Murphys lov
Divisió cel·lular	Celledeling
Cicle de Carnot	Carnotprosess
Agricultura de plantació	Plantasje
Premi Hugo	Hugo Award
Biblioteca Nacional d'Israel	Israels nasjonalbibliotek
Dècada del 1430	1430-årene
Delta Air Lines	Delta Air Lines
Ígor Deníssov	Igor Denisov
Jeet Kune Do	Jeet Kune Do
Galera	Galei
Batalla de Khalkhin Gol	Slaget om Khalkhin Gol
Caterina Howard	Katarina Howard
Arthur Evans	Arthur Evans
Limfòcit B	B-celle
Bes	Bes
Província de Kabul	Kabul (provins)
William T. Sherman	William Tecumseh Sherman
FA Premier League 2009-10	Premier League 2009/10
Gerba	Djerba
Emilio Aguinaldo	Emilio Aguinaldo
Buh Meridional	Søndre Bug
Cicle cel·lular	Cellesyklus
Mul·là	Mulla
Iaroslav I de Kíev	Jaroslav I av Kiev
Xacal de llom negre	Svartrygget sjakal
Província d'Olt	Olt (fylke)
Kedah	Kedah
Província de Călărași	Călărași (fylke)
Rinoceront llanut	Ullhåret neshorn
Extensible Messaging and Presence Protocol	Extensible Messaging and Presence Protocol
Anamnesi (medicina)	Anamnese
Perak	Perak
Matthew McConaughey	Matthew McConaughey
Xacal d'Etiòpia	Etiopisk ulv
Igualitarisme	Egalitarisme
Província de Covasna	Covasna (fylke)
Comtat de Tauragė	Tauragė fylke
Descentralització	Desentralisering
James Naismith	James Naismith
Comtat de Telšiai	Telšiai fylke
Madame de Pompadour	Madame de Pompadour
Bridge (joc)	Bridge
Perspectiva	Perspektiv (kunst)
B.B. King	B.B. King
Jean-Baptiste Colbert	Jean-Baptiste Colbert
Guerra civil grega	Borgerkrigen i Hellas 1946–49
Cliff Burton	Cliff Burton
Contracultura	Motkultur
Els Invàlids	Les Invalides
Kostas Karamanlís	Kostas Karamanlis
John Frusciante	John Frusciante
Mont Erebus	Mount Erebus
Giorgos Karagunis	Giorgos Karagounis
New York Rangers	New York Rangers
William Gibson	William Gibson
Aqüicultura	Akvakultur
Tinció de Gram	Gramfarging
Anarcosindicalisme	Anarkosyndikalisme
Drum and bass	Drum and Bass
Demetri I de Moscou	Dmitrij Donskoj
Wojciech Szczęsny	Wojciech Szczęsny
Austen Chamberlain	Austen Chamberlain
Regió de Prešov	Prešov (region)
Born This Way (cançó)	Born This Way (sang)
College	College
Charles Louis Alphonse Laveran	Alphonse Laveran
Just Dance	Just Dance
Konstantin Zyryanov	Konstantin Zyrjanov
Waterloo (desambiguació)	Waterloo (andre betydninger)
Notari	Notar
Alex Song	Alexandre Song
Squalius cephalus	Stam
Ruggero Leoncavallo	Ruggero Leoncavallo
Selecció de futbol de Montenegro	Montenegros herrelandslag i fotball
TED	TED (konferanse)
Imperial College London	Imperial College London
Copa del Món de Futbol 2010 - Grup H	VM i fotball 2010 – Gruppe H
Petròpolis	Petrópolis
Britpop	Britpop
Etnocentrisme	Etnosentrisme
Línia d'ordres	Kommandolinje
Mitilene	Mytilene
Tractat pel qual s'establix una Constitució per a Europa	Traktaten om en forfatning for Europa
Alyssa Milano	Alyssa Milano
Sinàpsid	Pattedyrliknende krypdyr
Teatre de l'Antiga Grècia	Antikkens greske teater
Harlem	Harlem
Xzibit	Xzibit
Lou Reed	Lou Reed
Howard Hughes	Howard Hughes
Arquitectura de von Neumann	Von Neumann-arkitektur
Fosgen	Fosgen
Maximí Daia	Maximinus II Daza
Pesseta	Spansk peseta
Llista de municipis d'Espanya per població	Liste over byer i Spania
Flavi Gracià	Gratian
Isomorfisme	Isomorfisme
L'Anse aux Meadows	L'Anse aux Meadows
Espiral	Spiral
Jan Matejko	Jan Matejko
CISC	CISC
Bescanviador de calor	Varmeveksler
Transgènere	Transperson
León	León (Guanajuato)
Sophie Monk	Sophie Monk
Cairns	Cairns
Uşak	Uşak
Teorema del valor mitjà	Middelverdisetningen
Hermosillo	Hermosillo
Ioannis Metaxàs	Ioannis Metaxas
Walter Raleigh	Walter Raleigh
Antonio López de Santa Anna	Antonio López de Santa Anna
George Eastman	George Eastman
Panteres Negres	Black Panthers
Saint-Cloud	Saint-Cloud
Cargol d'Arquimedes	Arkimedes' skrue
Utena (ciutat)	Utena
Fiódor Xaliapin	Fjodor Sjaljapin
Amadora	Amadora
Conan el Bàrbar	Conan
Jagiellonia Białystok	Jagiellonia Białystok
Andrei Korotàiev	Andrej Korotajev
Èter (mitologia)	Aither
Gràfics 3D per ordinador	3D-grafikk
Lliga de Campions de la UEFA 2010-11	Mesterligaen 2010/2011
Ad hominem	Ad hominem-argument
Rafael Pereira da Silva	Rafael da Silva
Community Shield	FA Community Shield
Newcastle	Newcastle (andre betydninger)
Gran gavot	Geirfugl
Joseph Raymond McCarthy	Joseph McCarthy
Selecció de futbol d'Islàndia	Islands herrelandslag i fotball
Música de cambra	Kammermusikk
Anacronisme	Anakronisme
Essenis	Esenerne
Vesícula	Vesikkel
Aplicació web	Webapplikasjon
Palla (begudes)	Sugerør
Tempo	Tempo
Davor Šuker	Davor Šuker
Queixal	Jeksel
Rocafort (formatge)	Roquefort
Intuïció	Intuisjon
Test de Turing	Turingtest
Pseudocodi	Pseudokode
Zelotes	Seloter
Amanda Seyfried	Amanda Seyfried
Tron	Tronstol
Rigoletto	Rigoletto
Kevin Garnett	Kevin Garnett
Defensa francesa	Fransk åpning
Estret de Davis	Davisstredet
Atri (pati)	Atrium
Front Oriental de la Segona Guerra Mundial	Østfronten (andre verdenskrig)
Two and a Half Men	Two and a Half Men
Mahmud de Ghazna	Mahmud av Ghazni
Federació de Futbol de l'URSS	Sovjetunionens herrelandslag i fotball
Catecisme	Katekisme
Socialisme democràtic	Demokratisk sosialisme
Stratford-upon-Avon	Stratford-upon-Avon
Federació Internacional de Natació	Fédération Internationale de Natation
Oficial	Offiser
Preguntes més freqüents	OSS
Serov	Serov
Comtat de Berat	Berat (region)
Reinhold Messner	Reinhold Messner
Retrovirus	Retrovirus
Petanca	Petanque
Selecció de futbol de Letònia	Latvias herrelandslag i fotball
Jet Propulsion Laboratory	Jet Propulsion Laboratory
Dinastia qajar	Qajar-dynastiet
Copa d'Or de la CONCACAF	CONCACAF Gold Cup
Arts liberals	De frie kunstene
El cavaller fosc: la llegenda reneix	The Dark Knight Rises
Arítmia	Arytmi
Clinker	Klinker (sement)
Pentaeritritol tetranitrat	Pentritt
Jujutsu brasiler	Brasiliansk jiu-jitsu
Estadi Royal Bafokeng	Royal Bafokeng Stadium
Himnos	Hypnos
Altai	Altai
Llegenda urbana	Vandrehistorie
Sean Astin	Sean Astin
Governació de Nínive	Ninawa
Castell de Kronborg	Kronborg slott
Klaksvík	Klaksvík
Yoü and I	Yoü and I
RISC	Reduced instruction set computer
Patrística	Patristikk
King Crimson	King Crimson
Damieta	Damietta
Ischia	Ischia
Didjeridú	Didgeridoo
Aneurisma	Aneurisme
Rododendre	Rododendronslekten
DRAM	DRAM
Brooke Shields	Brooke Shields
Memòria virtual	Virtuell hukommelse
Gloria Stuart	Gloria Stuart
Ole Einar Bjørndalen	Ole Einar Bjørndalen
Loteria	Lotteri
Andy García	Andy García
Via Àpia	Via Appia
Jean Dujardin	Jean Dujardin
Koror	Koror
A Chorus Line	A Chorus Line
Desert de Sonora	Sonoraørkenen
Qüestor	Kvestor
Vladimir Voronin	Vladimir Voronin
Reconeixement de la parla	Talegjenkjenning
Control de versions	Versjonskontrollsystem
Universitat Jagellònica	Det jagellonske universitet
MMS	Multimedia Messaging Service
Bicameralitat	Tokammersystem
Yossi Benayoun	Yossi Benayoun
Helena Blavatski	Helena Petrovna Blavatsky
Segle XVIII aC	18. århundre f.Kr.
Academicisme	Akademisk kunst
GTK+	GTK+
Theodore William Richards	Theodore William Richards
Mufló de les Muntanyes Rocalloses	Tykkhornsau
Fístula	Fistel
Cupertino	Cupertino
Acroesquí	Freestyle
Ceratina	Keratin
Nevill Francis Mott	Nevill Francis Mott
Willem Einthoven	Willem Einthoven
Zendaya	Zendaya Coleman
Jennifer Lawrence	Jennifer Lawrence
Plaça de la Concorde	Place de la Concorde
Jaws (pel·lícula)	Haisommer
Arístip de Cirene	Aristippos fra Kyrene
Màrqueting per internet	Internettmarkedsføring
Revolució Gloriosa	Den ærerike revolusjon
El llibre de la selva (novel·la)	Jungelboken
Cigarreta electrònica	Elektronisk sigarett
Elefant africà de bosc	Afrikansk skogselefant
Equilibri químic	Kjemisk likevekt
Quinina	Kinin
Flota	Flåte (marine)
Brian De Palma	Brian De Palma
Nereu	Nerevs
Grau acadèmic	Akademisk grad
Arvo Pärt	Arvo Pärt
Roberto Fabián Ayala	Roberto Ayala
Emprèstit	Lån
