Āfrika	Afrika
Britu—amerikāņu karš	1812-krigen
Grieze	Åkerrikse
Lauku balodis	Ringdue
Kaņepītis	Tornirisk
Burosa	Borås
Meža cauna	Mår
Mežastrazdu dzimta	Troster
Mājas čurkste	Taksvale
Dienviddānijas reģions	Region Syddanmark
Ziemeļjitlandes reģions	Region Nordjylland
Klāss Jans Hintelārs	Klaas-Jan Huntelaar
Ciānūdeņradis	Hydrogencyanid
Vatu jūra	Vadehavet
Ištaras vārti	Istarporten
Trumse	Tromsø
Laukirbe	Rapphøne
Eirāzijas sloka	Rugde
Prešova	Prešov
Mazais dumpis	Dvergrørdrum
Zīdaste	Sidensvans
Vekše	Växjö
Sintēstatiusa	Sint Eustatius
Kvartārs	Kvartær
Cionas gudro protokoli	Sions vises protokoller
Melnā vārna	Svartkråke
Dzeltenā stērste	Gulspurv
Dižraibais dzenis	Flaggspett
Žokļaiņi	Kjevemunner
3. tūkstošgade	3. årtusen
Esbjerga	Esbjerg
Rusīnu valoda	Rusinsk
Madeira	Madeira
Atropīns	Atropin
Sintmārtena	Sint Maarten
Ondatra	Bisam
Amerika (nozīmju atdalīšana)	Amerika (andre betydninger)
Pļavas skābene	Engsyre
Snuķaiņi	Snabeldyr
Kūzas Nikolaja universitāte	Università degli Studi Niccolò Cusano
Parastais kadiķis	Einer
Elektrostatika	Lakkelektrisitet
Džērsisitija	Jersey City
Kalmara	Kalmar
Dziedātājstrazds	Måltrost
Blakšu kārta	Nebbmunner
Fazānu dzimta	Fasaner
Dzegužu dzimta	Gjøkfamilien
Šķautne	Kant (geometri)
Atomfizika	Atomfysikk
Zutis	Europeisk ål
Anadira (upe)	Anadyr (elv)
Poprada	Poprad
Nitra	Nitra
Virsotne	Hjørne
Gugatnis	Brushane
Sniedze	Snøspurv
Sabulis	Sobel
Montpīljera	Montpelier
Kajaks	Fiskemåke
Ņižņaja Tunguska	Nedre Tunguska
Tilburga	Tilburg
Niedru lija	Sivhauk
Viļuja	Viljuj
Cekulpīle	Toppand
Baltvēderis	Brunnakke
Gregoriāņu dziedājums	Gregoriansk sang
Lauku piekūns	Tårnfalk
Gruzijas karogs	Georgias flagg
Sirmgalvis un jūra	Den gamle mannen og havet
Auglis (anatomija)	Foster
Estešunda	Östersund
Luiss Alverto Suaress	Luis Suárez
Starpplanētu zonde	Romsonde
Zemes mākslīgais pavadonis	Kunstig satellitt
Jaks	Jak
Egļu krustknābis	Grankorsnebb
Roskilde	Roskilde
Meža sesks	Ilder
Vidusjitlandes reģions	Region Midtjylland
Huaresa	Ciudad Juárez
Kākaulis	Havelle
Fukuoka	Fukuoka (Fukuoka)
Mazais gulbis	Dvergsvane
Sila virsis	Røsslyng
Svīru dzimta	Seilerfamilien
Dumbrvistiņu dzimta	Riksefugler
Sloku dzimta	Snipefugler
Brūnā čakste	Tornskate
Hi-Fi	Hi-fi
BMW	BMW
Palestīnas Atbrīvošanas organizācija	Palestinas frigjøringsorganisasjon
Dilles	Dill
Outokumpu (uzņēmums)	Outokumpu Oy
Laionels Ričijs	Lionel Richie
Ausroņi	Øreselfamilien
Kardināls Rišeljē	Armand-Jean du Plessis de Richelieu
Ņūtona binoms	Binomialformelen
Sējas kaņepe	Hamp
Kanādas zoss	Kanadagås
Nagliņkoks	Kryddernellik
Juzefs Goslavskis	Józef Gosławski
Brūnkaklis	Taffeland
M (nozīmju atdalīšana)	M (andre betydninger)
Feniķiešu alfabēts	Fønikisk alfabet
Degunragputnu dzimta	Neshornfugler
Egles	Granslekten
Bergena	Bergen
Jūras zīriņš	Rødnebbterne
Ab urbe condita	Ab urbe condita
Denijs DeVito	Danny DeVito
Pļavas ķimene	Karve
Hērodots	Herodot
Otello	Othello
Pelēkais zaķis	Sørhare
Zobenvalis	Spekkhogger
Teilora Svifta	Taylor Swift
Helsingēra	Helsingør
Akmeņtārtiņš	Steinvender
Parastā zirgkastaņa	Hestekastanje
Peļņa	Lønnsomhet
Alfa Romeo	Alfa Romeo
Lakšadvīpa	Lakkadivene
Sila cīrulis	Trelerke
Na-dene valodas	Na-dené-språk
Kuka Salas	Cookøyene
Martina	Martin (Slovakia)
Bardejova	Bardejov
Ūdensstrupaste	Vånd
Skrejvaboļu dzimta	Løpebiller
Āpsis	Grevling
Kaķveidīgie	Kattelignende rovpattedyr
Aston Martin	Aston Martin
Parastais biškrēsliņš	Reinfann
Japāņu jūra	Japanhavet
Plīvurpūču dzimta	Slørugler
Vejle	Vejle
Koldinga	Kolding
Ēre	Ærø
Auto Union	Auto Union
Parastā pīpene	Prestekrage
Randersa	Randers
Rietumfrīzu valoda	Vestfrisisk
Amerikas ūdele	Mink
Blaktis	Teger
Lorena Očoa	Lorena Ochoa
Kaulzivis	Beinfisker
Austrumāzija	Øst-Asia
V (nozīmju atdalīšana)	V (andre betydninger)
F (nozīmju atdalīšana)	F (andre betydninger)
I (nozīmju atdalīšana)	I (andre betydninger)
Centrālāzija	Sentral-Asia
H (nozīmju atdalīšana)	H (andre betydninger)
E (nozīmju atdalīšana)	E (andre betydninger)
Dienvidrietumāzija	Vest-Asia
B (nozīmju atdalīšana)	B (andre betydninger)
Vācijas Nacionālā bibliotēka	Deutsche Nationalbibliothek
Prūsijas karaliste	Kongeriket Preussen
Ziemeļāzija	Nord-Asia
Īves	Barlindslekten
Pelēkais ronis	Havert
Lielā polārkaija	Polarmåke
Laurāzijas placentāļi	Laurasiatheria
Ziemeļāfrika	Nord-Afrika
Dienvidu Āfrika	Sørlige Afrika
Āfrikas placentāļi	Afrotheria
Bugatti	Bugatti
Austrumāfrika	Øst-Afrika
Suņveidīgie	Hundelignende rovpattedyr
Modern Talking	Modern Talking
Centrālā Āfrika	Sentral-Afrika
Mēlndala	Mölndal
Dienvideiropa	Syd-Europa
Kungelva	Kungälv
Austrumeiropa	Øst-Europa
Ziemeļeiropa	Nord-Europa
Rietumeiropa	Vest-Europa
Džeimss van Rīmsdaiks	James van Riemsdyk
Centrāleiropa	Sentral-Europa
D (nozīmju atdalīšana)	D (andre betydninger)
Afroeirāzija	Afrika-Eurasia
Pernels Karls Sabens	P. K. Subban
Ružomberoka	Ružomberok
Bonaire, Sintēstatiusa un Saba	Karibisk Nederland
Ferrari	Ferrari
Kaiju dzimta	Måker
AC/DC	AC/DC
FIAT	Fiat
Centrālamerika	Mellom-Amerika
Ārstniecības lupstājs	Løpstikke
Sanktpēterburgas Valsts universitāte	Statsuniversitetet i St. Petersburg
Mihails Bakuņins	Mikhail Bakunin
FN SCAR	FN SCAR
Viesnīca	Hotell
Šaka	Shaka
U (nozīmju atdalīšana)	U (andre betydninger)
Savvaļas zirgs	Villhest
Mērija Džeina Votsone	Mary Jane Watson
Afāru valoda	Afar (språk)
Kristadelfieši	Kristadelfianere
ISO 3166-2:AR	ISO 3166-2:AR
Džajapura	Jaya Pura
Caunu apakšdzimta	Mustelinae
Neringa	Neringa kommune
Bitča	Bytča
Bass (balss)	Bass (stemme)
Tenors	Tenor
Gotiskā lolita	Gothic Lolita
Basketbols 2008. gada Vasaras Olimpiskajās spēlēs — Sievietes	Basketball under Sommer-OL 2008 – Kvinner
Basketbols 2008. gada Vasaras Olimpiskajās spēlēs — Vīrieši	Basketball under Sommer-OL 2008 – Menn
Dziedāšana	Vokalist
Ainu valoda	Ainu (språk)
Tunisijas futbola izlase	Tunisias herrelandslag i fotball
What Makes You Beautiful	What Makes You Beautiful
C (nozīmju atdalīšana)	C (andre betydninger)
Akanu valodas	Akan (språk)
Alfonso Kuarons	Alfonso Cuarón
A (nozīmju atdalīšana)	A (andre betydninger)
Džūdija Denča	Judi Dench
Turku pirts	Tyrkisk bad
Ādolfs Eihmanis	Adolf Eichmann
Ēģiptes futbola izlase	Egypts herrelandslag i fotball
Kosas	Sneller
Darba ekonomika	Arbeidsmarkedsøkonomi
Kanēlis	Kanel
Džefersonsitija	Jefferson City
Abduss Salams	Abdus Salam
Džeksona	Jackson (Mississippi)
Ogasta	Augusta (Maine)
Batonrūža	Baton Rouge
Magribs	Maghreb
Nožēlojamie (2012. gada filma)	Les Misérables (2012)
Sudrabkaija	Gråmåke
Lansinga	Lansing
Amharu valoda	Amharisk
Konkorda (Ņūhempšīra)	Concord
Armēņu kalendārs	Armensk kalender
Ežu dzimta	Piggsvinfamilien
Linkolna (ASV)	Lincoln (Nebraska)
Anapolisa	Annapolis
Edijs Redmeins	Eddie Redmayne
Selerija	Selleri
Zvīņspārņi	Sommerfugler
Ērnšeldsvīka	Örnsköldsvik
Izraēlas pilsētu uzskaitījums	Liste over israelske byer
Paipala	Vaktel
Sparģeļi	Asparges
Kogurjo	Goguryeo
Grāds (leņķis)	Grad (vinkel)
Sikspārņi	Flaggermus
Pekče	Baekje
Ārstniecības kumelīte	Kamille
Tārtiņu dzimta	Lofamilien
Silla	Silla
Sprakšķi	Smellere
Meško II Lamberts	Mieszko II Lambert av Polen
36. gads	36
Mati	Hår
Perimetrs	Omkrets
Stērstu dzimta	Buskspurver
Berenise Bežo	Bérénice Bejo
Mārtins	Martin
Ralfs Fainss	Ralph Fiennes
Stārķu dzimta	Storker
Austroungārija	Østerrike-Ungarn
Springfīlda (Ilinoisa)	Springfield (Illinois)
Tarnobžega	Tarnobrzeg
Koraļļpolipi	Koralldyr
Vampīra dienasgrāmatas	Vampire Diaries
Maiju civilizācija	Mayakulturen
Inku impērija	Inkariket
Grāfiste	Fylke
Deivids Petreuss	David Petraeus
Aramiešu valoda	Arameisk
Frankforta	Frankfort
Garijs Kasparovs	Garri Kasparov
Gorkijas Automobiļu rūpnīca	GAZ
Profesija	Profesjon
Parastais anīss	Anis
Sauls	Saul
Nukleotīdi	Nukleotid
Lietišķā zinātne	Anvendt vitenskap
Sendvičs	Sandwich
Krāpšana	Bedrageri
Audums	Tekstil
Fīldsa prēmija	Fieldsmedaljen
Sentpola	Saint Paul (Minnesota)
Python	Python
Ralfs-postītājs	Rive-Rolf
Islāma kalendārs	Islamsk kalender
Lahti	Lahtis
Stirols	Styren
Zvirbuļu dzimta	Spurvefamilien
Aleksis Klero	Alexis Claude Clairaut
Alfrēds fon Šlīfens	Alfred Graf von Schlieffen
PSRS čempionāts hokejā	Den sovjetiske toppligaen i ishockey
Apendikulārijas	Halesekkdyr
Kristofers Mārlovs	Christopher Marlowe
Ignacijs Lukasevičs	Ignacy Łukasiewicz
Grāfs	Greve
Milošs Zemans	Miloš Zeman
Agireiri	Akureyri
Saša Barons Koens	Sacha Baron Cohen
FK Kubaņ Krasnodara	FK Kuban Krasnodar
FK Zenit Sanktpēterburga	FK Zenit St. Petersburg
FK Spartak Maskava	FK Spartak Moskva
FK Lokomotiv Maskava	FK Lokomotiv Moskva
Nacionālās hokeja līgas Visu zvaigžņu spēle	NHL All-Star-kamp
Tomāšs Rosickis	Tomáš Rosický
Kājnieki	Infanteri
Atvasinājums	Derivasjon
Fransisko Franko	Francisco Franco
Bīskaps	Biskop
2011. gada Ēģiptes revolūcija	Den egyptiske revolusjonen i 2011
Sauli Nīniste	Sauli Niinistö
Tarja Halonena	Tarja Halonen
Sumatras degunradzis	Sumatraneshorn
Kārlis V	Karl V
Marti Ahtisāri	Martti Ahtisaari
Bills Marijs	Bill Murray
F-15 Eagle	Boeing F-15 Eagle
Fatālisms	Fatalisme
F-35 Lightning II	Lockheed Martin F-35 Lightning II
Pirmais Čečenijas karš	Den første Tsjetsjenia-krigen
Johans Štrauss	Johann Strauss
Piti pils	Palazzo Pitti
ESCP Europe	ESCP Europe
Vilisa tornis	Willis Tower
Septuaginta	Septuaginta
Orientēšanās sports	Orientering
Montgomeri	Montgomery
Asamiešu valoda	Assamesisk
Augusto De Luka	Augusto De Luca
Džūno	Juneau
Senkaku salas	Senkakuøyene
Narcises	Narsiss
Kaaba	Kaba
ASV Republikāniskā partija	Det republikanske parti (USA)
Cepamais pulveris	Bakepulver
Kriss Smolings	Chris Smalling
Leikēmija	Leukemi
Krili	Krill
Astūriešu valoda	Asturiansk
Teo Volkots	Theo Walcott
Ķīna (reģions)	Kina
Pagānisms	Paganisme
Blīvums	Tetthet
Kevins Durants	Kevin Durant
Šūnas membrāna	Cellemembran
ASV Demokrātiskā partija	Det demokratiske parti
Somijas prezidents	Finlands president
Avāru valoda	Avarisk
Maikls Keriks	Michael Carrick
Avesta (valoda)	Avestisk
Beatrikse	Beatrix av Nederland
Tīmekļkamera	Nettkamera
Škoda	Škoda Auto
Šahtarska	Sjakhtarsk
Cīruļu dzimta	Lerkefamilien
Asuāna	Aswan
815. gads	815
816. gads	816
822. gads	822
840. gads	840
823. gads	823
811. gads	811
888. gads	888
Asjūta	Asyut
851. gads	851
205. gads	205
107. gads	107
103. gads	103
802. gads	802
Pirmsvasas augi	Moser
Eiropas ūdrs	Oter
804. gads	804
Nīderlandes Karaliste	Kongeriket Nederlandene
119. gads	119
Čendu	Chengdu
118. gads	118
Evu valoda	Ewe
Brīvās krišanas paātrinājums	Tyngdeakselerasjon
801. gads	801
K (nozīmju atdalīšana)	K (andre betydninger)
807. gads	807
Sfagni	Torvmoser
806. gads	806
Pienenes	Løvetannslekta
Boja	Bøye
Eiropas medus bite	Europeisk honningbie
218. gads	218
Jaguar Cars	Jaguar (bil)
197. gads	197
784. gads	784
904. gads	904
921. gads	921
923. gads	923
1126. gads	1126
Atlantijas makrele	Makrell
956. gads	956
952. gads	952
Medūzas	Manet
70. gads	70
Pašvaldības vadītājs	Ordfører
81. gads	81
Griničas laiks	Greenwich Mean Time
Sniega leopards	Snøleopard
69. gads	69
87. gads	87
65. gads	65
66. gads	66
55. gads	55
34. gads	34
44. gads	44
35. gads	35
64. gads	64
Airkāji	Seler
Lara Guta	Lara Gut
155. gads	155
50. gads	50
45. gads	45
49. gads	49
Ečera	Ecser
978. gads	978
Silēziešu valoda	Schlesisk
787. gads	787
Džendžou	Zhengzhou
867. gads	867
865. gads	865
827. gads	827
824. gads	824
847. gads	847
883. gads	883
829. gads	829
813. gads	813
910. gads	910
850. gads	850
808. gads	808
853. gads	853
872. gads	872
873. gads	873
856. gads	856
858. gads	858
831. gads	831
857. gads	857
828. gads	828
826. gads	826
833. gads	833
848. gads	848
834. gads	834
881. gads	881
852. gads	852
803. gads	803
805. gads	805
52. gads	52
62. gads	62
795. gads	795
Avrila Laviņa	Avril Lavigne
846. gads	846
830. gads	830
404. gads	404
Prezidents	President
908. gads	908
896. gads	896
897. gads	897
927. gads	927
890. gads	890
Mihails Gorbačovs	Mikhail Gorbatsjov
99. gads	99
780. gads	780
Lielais piekūns	Vandrefalk
Māte Terēze	Moder Teresa
785. gads	785
783. gads	783
Deivids Dreimans	David Draiman
98. gads	98
Zīdtauriņi	Silkespinnere
894. gads	894
Urbāns II	Urban II
891. gads	891
892. gads	892
2013. gada Pasaules čempionāts šosejas riteņbraukšanā	VM i landeveissykling 2013
2013.—2014. gada UEFA Čempionu līgas sezona	Mesterligaen 2013/2014
821. gads	821
809. gads	809
Rūdolfs Klauziuss	Rudolf Clausius
788. gads	788
Ogists Rodēns	Auguste Rodin
Ana Ivanoviča	Ana Ivanović
Karolīna Vozņacka	Caroline Wozniacki
Melānija Udēna	Melanie Oudin
Kairas muhāfaza	Al Qahirah
Petra Kvitova	Petra Kvitová
Teniss 2012. gada Vasaras Olimpiskajās spēlēs	Tennis under Sommer-OL 2012
Karakals	Karakal
Tīmekļa žurnāls	Blogg
Dell	Dell
Oskars Vailds	Oscar Wilde
180. gads	180
794. gads	794
Kiribatiešu valoda	Kiribatisk
Soprāns	Sopran
106. gads	106
Ūbeles	Streptopelia
Tropu drudzis	Dengue
48. gads	48
Kingstona (Norfolkas Sala)	Kingston (Norfolkøya)
Alofi	Alofi
Džeimstauna	Jamestown (St. Helena)
Franču Polinēzija	Fransk Polynesia
Ruāna	Rouen
576. gads	576
287. gads	287
Jarena	Yaren
Virve	Tau
Norfolkas Sala	Norfolkøya
Ziemsvētku Sala	Christmasøya
Volters Kronkaits	Walter Cronkite
Florensa Grifita-Džoinere	Florence Griffith-Joyner
Vilma Rūdolfa	Wilma Rudolph
Kalkulators	Kalkulator
Gomiņdan	Kuomintang
812. gads	812
792. gads	792
895. gads	895
790. gads	790
Elija Goldinga	Ellie Goulding
781. gads	781
Čečeni	Tsjetsjenere
135. gads	135
96. gads	96
NBA Visu zvaigžņu spēles vērtīgākais spēlētājs	NBA All-Star Game Most Valuable Player
Papagaiļveidīgie	Papegøyefugler
Kakadū	Kakaduer
Lībijas Karaliste	Kongedømmet Libya
Krakova	Kraków
Knābis	Nebb
789. gads	789
Skanenis	Sonanter
Sergejs Jeseņins	Sergej Jesenin
Dveins Veids	Dwyane Wade
Īrijas Brīvvalsts	Den irske fristaten
Tītiņi	Vendehalser
.net	.net (toppnivådomene)
.asia	.asia
Anarhija	Anarki
Maratonas kauja	Slaget ved Marathon
797. gads	797
Vitālijs Kļičko	Vitalij Klytsjko
Arābijas pussala	Den arabiske halvøy
Smaidiņš	Emotikon
Evaņģēlists Marks	Evangelisten Markus
Dāvids Alaba	David Alaba
Dosts Muhammeds	Dost Mohammed Khan
Saskaitīšana	Addisjon
Liams Hemsvorts	Liam Hemsworth
Ilīrija	Illyria
Sarkanā grāmata	IUCNs rødliste
Auns (zodiaka zīme)	Væren (stjernetegn)
Dzīvesveids	Livsstil
Superkauss	Super Bowl
Bokss	Boksing
Mārtiņa Lutera Halles-Vitenbergas universitāte	Martin-Luther-Universität Halle-Wittenberg
.org	.org
Virgin Atlantic	Virgin Atlantic Airways
Stīvens Friks	Stephen N. Frick
Alfonso XII Burbons	Alfonso XII av Spania
Amadeo I	Amadeus I av Spania
Linkolns (filma)	Lincoln (film)
Raibeņi	Nymphalis
Die Toten Hosen	Die Toten Hosen
Nātru raibeņi	Aglais
Raibeņu cilts	Nymphalini
Modernā pieccīņa	Moderne femkamp
Nazis	Kniv
Gelzenkirhenes @@@u0026Schalke 04"	FC Schalke 04
Kārlis V Habsburgs	Karl V av Det tysk-romerske rike
Waterloo (dziesma)	Waterloo (sang)
Mertona	Merton (distrikt)
Daudzpunkte	Ellipse (skrift)
Augustīns no Kenterberijas	Augustin av Canterbury
Dženifere Anistone	Jennifer Aniston
Īstie raibeņi	Nettsommerfugler
Domēna nosaukums	Domenenavn
Maldīviešu valoda	Dhivehi
Venēciešu valoda	Venetiansk
Malāla Jūsafzaja	Malala Yousafzai
Veru valoda	Sørestisk
Anglosakši	Angelsaksere
Zebras	Sebra
Basanīts	Lydisk stein
Mošeja	Moské
Blue (grupa)	Blue
Akon	Akon
Votu valoda	Votisk
Dolganu valoda	Dolgansk
Ericsson Globe	Globen
Valērijs Ļeontjevs	Valerij Leontjev
Karš par Austrijas mantojumu	Den østerrikske arvefølgekrig
Beludžu valoda	Balutsji (språk)
ISBN	ISBN
Dzongke	Dzongkha
Kēnigsbergas tiltu problēma	Broene i Königsberg
Korsikāņu valoda	Korsikansk
125. gads	125
Baltu valodas	Baltiske språk
Septiņgadu karš	Syvårskrigen
Gāzi grīdā!	Top Gear
Čukču valoda	Luoravetlansk
Saku Suurhall	Saku Suurhall
Hartwall Arena	Hartwall Arena
Bugu valoda	Buginesisk
Tumšsarkanā dzeguzene	Rødflangre
Embrijs	Embryo
Armēnijas karogs	Armenias flagg
Mākslīgā valoda	Kunstig språk
Nadja Komaneči	Nadia Comăneci
Fotogrāfs	Fotograf
Drake (mūziķis)	Aubrey Drake Graham
Bambaru valoda	Bambara
Tasmana jūra	Tasmanhavet
Ocelots	Ozelot
Čamorru valoda	Chamorro (språk)
Lisičanska	Lysytsjansk
Kreolu valodas	Kreolspråk
Berdjanska	Berdjansk
Fidžiešu valoda	Fijiansk
Mogulu impērija	Mogulriket
Sun	Sun
Dravīdu valodas	Dravidiske språk
Baltijas somu valodas	Østersjøfinske språk
Bila Cerkva	Bila Tserkva
Eipatorija	Eupatoria
Čuvašu valoda	Tsjuvasjisk
Melitopole	Melitopol
Čečenu valoda	Tsjetsjensk
Krimas tatāru valoda	Krimtatarisk
Dialekts	Dialekt
Krī valoda	Cree (språk)
Ļevs Trockis	Lev Trotskij
Algonkinu valodas	Algonkinske språk
Litlroka	Little Rock
Starptautiskā teorētiskās un praktiskās ķīmijas savienība	IUPAC
Friulu valoda	Friulisk
Ideālisms	Idealisme
796. gads	796
Fulu valoda	Fulfulde
Kāpināšana	Potens (matematikk)
Gagauzu valoda	Gagausisk
798. gads	798
Kardamons	Kardemomme
793. gads	793
Ežēns Delakruā	Eugène Delacroix
Hārtforda	Hartford
Homofobija	Homofobi
Windows Home Server	Windows Home Server
Baltais grifs	Åtselgribb
Muzejs	Museum
Rolling Stone	Rolling Stone
Ebreju alfabēts	Det hebraiske alfabetet
Indoirāņu valodas	Indoiranske språk
Dovera	Dover (Delaware)
Irāņu valodas	Iranske språk
Volodimira-Volinska	Volodymyr-Volynskyj
ISO 639	ISO 639
Javiešu valoda	Javanesisk
Frīdrihs II Lielais	Fredrik II av Preussen
Kašmiriešu valoda	Kasjmiri
Karēļu valoda	Karelsk
Ižoru valoda	Ingrisk
Havajiešu valoda	Hawaiisk
Grunvaldes kauja	Slaget ved Tannenberg (1410)
Kiņaruandas valoda	Kinyarwanda
Indoāriešu valodas	Indoariske språk
Igbo valoda	Igbo
Fermi paradokss	Fermis paradoks
Slovjanska	Slovjansk
Kirundi	Kirundi
Lielā panda	Panda
Kesha	Kesha
Polārlācis	Isbjørn
Kramatorska	Kramatorsk
Karas jūra	Karahavet
Marsels Reihs-Ranickis	Marcel Reich-Ranicki
Izolēta valoda	Isolerte språk
Kempbela salas	Campbelløyene
Kannadu valoda	Kannada
Radiāns	Radian
Kašūbu valoda	Kasjubisk
Lībiešu valoda	Livisk
Mihaels Grabners	Michael Grabner
Fotoradars	Automatisk trafikkontroll
2005. gada Pasaules čempionāts šosejas riteņbraukšanā	VM i landeveissykling 2005
Maiju valodas	Mayiske språk
Zibens	Lyn
Peloponesas karš	Peloponneskrigen
Hannover 96	Hannover 96
Bērtrands Rasels	Bertrand Russell
Arābu pavasaris	Den arabiske våren
Plauksta	Hånd
Du Fu	Du Fu
Jaunkaledonija	Ny-Caledonia
Niuiešu valoda	Niuisk
Oriju valoda	Oriya
Edmunds Hilarijs	Edmund Hillary
Nepāliešu valoda	Nepali
Iedzīvotāju skaits	Befolkning
Pidžins	Pidginspråk
Arhipelāgs	Arkipel
Nigēras-Kongo valodas	Nigerkongo-språk
Neapoliešu valoda	Napolitansk-kalabresisk språk
Giro d'Italia	Giro d'Italia
Teodors Rūzvelts	Theodore Roosevelt
Tour de France	Tour de France
Paleoaziātu valodas	Paleosibirske språk
Uluru	Uluru
Svētais Pēteris	Apostelen Peter
Telaviva	Tel Aviv
Vuelta a España	Vuelta a España
Julians	Julian den frafalne
Čehoslovākija	Tsjekkoslovakia
Ziemeļsāmu valoda	Nordsamisk
Milāna—Sanremo	Milano–Sanremo
Nica	Nice
Sanremo	Sanremo
Osetīnu valoda	Ossetisk
Flandrijas tūre	Flandern rundt
Lapas	Blad
Sicīliešu valoda	Siciliansk
Sardu valoda	Sardisk
Žils Verns	Jules Verne
Nevaru valoda	Nepal bhasa
Valparaiso	Valparaíso
Parīze—Rubē	Paris–Roubaix
Sindu valoda	Sindhi (språk)
Aktieris	Skuespiller
Sundu valoda	Sundanesisk
Samodiešu valodas	Samojediske språk
Holivuda	Hollywood
Indijas rieksti	Kasjutre
Ljēža—Bastoņa—Ljēža	Liège–Bastogne–Liège
Haskell	Haskell
Samoāņu valoda	Samoansk
Marlons Brando	Marlon Brando
Žoržs Serā	Georges Seurat
Niue	Niue
Ģeogrāfiskais platums	Breddegrad
Giro di Lombardia	Il Lombardia
Ūdenskritums	Foss
Ikars	Ikaros
Skotijas futbola izlase	Skottlands herrelandslag i fotball
Bērdas sala	Birdøya
Semītu valodas	Semittiske språk
Tagalogu valoda	Tagalog
Kategorija:Programmēšanas valodas	Kategori:Programmeringsspråk
Ichaks Rabins	Yitzhak Rabin
Jūtu-acteku valodas	Uto-aztekiske språk
Natalija Dilla	Nathalia Dill
Džastins Bībers	Justin Bieber
Tjurku valodas	Tyrkiske språk
Bronza	Bronse
Hosnī Mubāraks	Hosni Mubarak
Leoniešu valoda	Leonesisk
Fārgo	Fargo (Nord-Dakota)
Oahaka	Oaxaca
Urāliešu valodas	Uralske språk
Tigrinja	Tigrinja (språk)
Tetunu valoda	Tetum
Funafuti	Funafuti
Taitiešu valoda	Tahitisk
Cilindrs	Sylinder
Grandforksa	Grand Forks
Slash	Slash
Sviests	Smør
Teoloģija	Teologi
Siu valodas	Siouxspråk
Pablo Neruda	Pablo Neruda
Zevs	Zevs
Vahanu valoda	Wakhi (språk)
Jāsirs Arafāts	Yasir Arafat
OpenBSD	OpenBSD
Mossad	Mossad
Oksforda	Oxford
Valoņu valoda	Vallonsk
Niagāras ūdenskritums	Niagarafallene
Žestu valoda	Tegnspråk
FreeBSD	FreeBSD
Linuss Torvaldss	Linus Torvalds
Portoprensa	Port-au-Prince
BSD	Berkeley Software Distribution
Krievijas Impērija	Det russiske keiserdømmet
Meņdzižeca Podlaska	Międzyrzec Podlaski
Tibetiešu valoda	Tibetansk
Evaņģēlijs	Evangelium
Aleksandrs Greiems Bells	Alexander Graham Bell
Vudro Vilsons	Woodrow Wilson
Jakutu valoda	Jakutisk
Jorubu valoda	Joruba (språk)
Doctor Who	Doctor Who
Astroloģija	Astrologi
Tasmanija	Tasmania
Roterdama	Rotterdam
Krēta	Kreta
Mūzikas instruments	Musikkinstrument
Gulbji	Svaner
Vitnija Hjūstone	Whitney Houston
Ziepes	Såpe
Ņūorleāna	New Orleans
Mošovce	Mošovce
Bēnazīra Bhuto	Benazir Bhutto
Logs uz sētu	Vinduet mot bakgården
Felipe II	Filip II av Spania
Šakira	Shakira
Filips II Augusts	Filip II August av Frankrike
Sendjēdevoža	Saint-Dié-des-Vosges
Oksfordas Universitāte	University of Oxford
Skārleta Johansone	Scarlett Johansson
Ceļš	Vei
Mahmūds Ahmadīnežāds	Mahmoud Ahmadinejad
Boriss Jeļcins	Boris Jeltsin
Gvineta Paltrova	Gwyneth Paltrow
Felipe III	Filip III av Spania
Kompaktdisks	CD
Aleksandrs Solžeņicins	Aleksandr Solzjenitsyn
Hirohito	Hirohito av Japan
Helikopters	Helikopter
Al-Qaeda	Al-Qaida
Motocikls	Motorsykkel
Svētās Helēnas Sala	St. Helena
Mehmeds II	Mehmet II
Vanilla Ninja	Vanilla Ninja
Nīlzirgs	Vanlig flodhest
Video	Video
Egejas jūra	Egeerhavet
Anastasija (mūziķe)	Anastacia
Eifrata	Eufrat
Džeimss Gārfīlds	James Garfield
Kioto	Kyoto
Senpjēra un Mikelona	Saint-Pierre og Miquelon
Gistavs Kurbē	Gustave Courbet
Desmit baušļi	De ti bud
Sinagoga	Synagoge
Gotholds Efraims Lesings	Gotthold Ephraim Lessing
Jūgendstils	Jugendstil
Lamanšs	Den engelske kanal
1980. gadi	1980-årene
Johannesburga	Johannesburg
1990. gadi	1990-årene
Dž. K. Roulinga	J.K. Rowling
Gustavs Klimts	Gustav Klimt
Hirosima	Hiroshima
Albērs Kamī	Albert Camus
Persijas līcis	Persiabukten
Smiltis	Sand (materiale)
Rozes	Roseslekta
Kingstona	Kingston (Jamaica)
Īpašības vārds	Adjektiv
Leopards	Leopard
Norfolka	Norfolk (andre betydninger)
Zalcburga	Salzburg
Degunradži	Neshorn
Sengrieķu mitoloģija	Gresk mytologi
Kompass	Kompass
Ģints (bioloģija)	Slekt (biologi)
Radjerds Kiplings	Rudyard Kipling
Sociālās zinātnes	Samfunnsvitenskap
Somālilenda	Somaliland
Pussala	Halvøy
Starptautisko tālsarunu kodu saraksts	Landsnumre for telefon
Rentgenstari	Røntgenstråling
Frīdrihs Engelss	Friedrich Engels
